"fiscalyear","pumpage","water_service_population","gallons_per_capita_per_day"
"1995-01-01T00:00:00.000","39485284858","630997","171"
"1996-01-01T00:00:00.000","45818995265","649660","193"
"1997-01-01T00:00:00.000","42802218907","668876","175"
"1998-01-01T00:00:00.000","46668518691","688660","186"
"1999-01-01T00:00:00.000","46604542024","709029","180"
"2000-01-01T00:00:00.000","52326072112","738229","194"
"2001-01-01T00:00:00.000","50184846041","754470","182"
"2002-01-01T00:00:00.000","50883135913","767296","182"
"2003-01-01T00:00:00.000","51110853373","774969","181"
"2004-01-01T00:00:00.000","48468969212","786594","169"
"2005-01-01T00:00:00.000","51373931437","799966","176"
"2006-01-01T00:00:00.000","56602598744","815085","190"
"2007-01-01T00:00:00.000","45867662567","834647","151"
"2008-01-01T00:00:00.000","53066075799","853843","170"
"2009-01-01T00:00:00.000","53331329600","872628","167"
"2010-01-01T00:00:00.000","43827360000","875936","137"
"2011-01-01T00:00:00.000","52823662000","891997","162"
"2012-01-01T00:00:00.000","47094082000","907161","142"
"2013-01-01T00:00:00.000","45901736000","928026","136"
"2014-01-01T00:00:00.000","43239355300","951329","125"
"2015-01-01T00:00:00.000","43480893300","977491","122"
"2016-01-01T00:00:00.000","44661178167","1006601","122"
"2017-01-01T00:00:00.000","47371407787","1033024","126"
"2018-01-01T00:00:00.000","48517758000","1055751","126"
"2019-01-01T00:00:00.000","47294233623","1080031","120"
"2020-01-01T00:00:00.000","51121360000","1099990","127"
"1995-01-01T00:00:00.000","39485284858","630997","171"
"1996-01-01T00:00:00.000","45818995265","649660","193"
"1997-01-01T00:00:00.000","42802218907","668876","175"
"1998-01-01T00:00:00.000","46668518691","688660","186"
"1999-01-01T00:00:00.000","46604542024","709029","180"
"2000-01-01T00:00:00.000","52326072112","738229","194"
"2001-01-01T00:00:00.000","50184846041","754470","182"
"2002-01-01T00:00:00.000","50883135913","767296","182"
"2003-01-01T00:00:00.000","51110853373","774969","181"
"2004-01-01T00:00:00.000","48468969212","786594","169"
"2005-01-01T00:00:00.000","51373931437","799966","176"
"2006-01-01T00:00:00.000","56602598744","815085","190"
"2007-01-01T00:00:00.000","45867662567","834647","151"
"2008-01-01T00:00:00.000","53066075799","853843","170"
"2009-01-01T00:00:00.000","53331329600","872628","167"
"2010-01-01T00:00:00.000","43827360000","875936","137"
"2011-01-01T00:00:00.000","52823662000","891997","162"
"2012-01-01T00:00:00.000","47094082000","907161","142"
"2013-01-01T00:00:00.000","45901736000","928026","136"
"2014-01-01T00:00:00.000","43239355300","951329","125"
"2015-01-01T00:00:00.000","43480893300","977491","122"
"2016-01-01T00:00:00.000","44661178167","1006601","122"
"2017-01-01T00:00:00.000","47371407787","1033024","126"
"2018-01-01T00:00:00.000","48517758000","1055751","126"
"2019-01-01T00:00:00.000","47294233623","1078171","120"
"2020-01-01T00:00:00.000","51121360000","1099990","127"
"2021-01-01T00:00:00.000","51419684000","1124512","125"
