"animal_id","name","datetime","datetime2","found_location","intake_type","intake_condition","animal_type","sex_upon_intake","age_upon_intake","breed","color"
"A864900","A864900","2022-09-02T09:57:00.000","2022-09-02T09:57:00.000","Airport And Bolm in Austin (TX)","Stray","Normal","Dog","Unknown","2 years","Alaskan Husky","Black/White"
"A864899","A864899","2022-09-02T09:12:00.000","2022-09-02T09:12:00.000","1406 Alta Vista Avenue in Austin (TX)","Wildlife","Normal","Other","Unknown","2 years","Raccoon","Brown/Black"
"A864898",,"2022-09-02T08:52:00.000","2022-09-02T08:52:00.000","9805 Briar Ridge Road in Austin (TX)","Owner Surrender","Normal","Dog","Intact Male","2 years","Australian Cattle Dog","Black/Brown"
"A864881",,"2022-09-02T06:51:00.000","2022-09-02T06:51:00.000","Austin (TX)","Wildlife","Sick","Other","Unknown","2 years","Skunk","Black/White"
"A864887",,"2022-09-01T20:34:00.000","2022-09-01T20:34:00.000","6607 S Us 183 Highway in Travis (TX)","Stray","Normal","Dog","Intact Female","3 years","Pit Bull","Brown Brindle/White"
"A864886",,"2022-09-01T20:28:00.000","2022-09-01T20:28:00.000","6607 S Us 183 Highway in Travis (TX)","Stray","Injured","Dog","Neutered Male","5 years","Mastiff","Tan/Black"
"A864885","A864885","2022-09-01T19:57:00.000","2022-09-01T19:57:00.000","806 Sirocco Drive in Austin (TX)","Stray","Normal","Dog","Intact Male","2 years","Pit Bull","Tan"
"A864884","A864884","2022-09-01T18:44:00.000","2022-09-01T18:44:00.000","1500 E Parmer Lane in Austin (TX)","Stray","Normal","Dog","Unknown","2 years","Chihuahua Shorthair","Tan/White"
"A863973","Asiago","2022-09-01T18:27:00.000","2022-09-01T18:27:00.000","Travis (TX)","Owner Surrender","Normal","Dog","Neutered Male","2 years","Pit Bull","Blue/White"
"A862543","*Queso","2022-09-01T17:59:00.000","2022-09-01T17:59:00.000","Austin (TX)","Owner Surrender","Normal","Cat","Spayed Female","5 months","Domestic Shorthair","White/Brown Tabby"
"A864878","Fluffy","2022-09-01T16:52:00.000","2022-09-01T16:52:00.000","Austin (TX)","Owner Surrender","Normal","Dog","Intact Male","5 months","Cairn Terrier","Tan"
"A864871","A864871","2022-09-01T15:27:00.000","2022-09-01T15:27:00.000","10501 North Lamar Boulevard in Austin (TX)","Stray","Normal","Dog","Intact Male","1 year","Pit Bull","Brown Brindle/White"
"A864869","A864869","2022-09-01T15:27:00.000","2022-09-01T15:27:00.000","10501 North Lamar Boulevard in Austin (TX)","Stray","Normal","Dog","Intact Female","1 year","Pit Bull","Brown Brindle/White"
"A864872","Dash","2022-09-01T15:09:00.000","2022-09-01T15:09:00.000","Austin (TX)","Owner Surrender","Normal","Cat","Intact Male","2 years","Domestic Shorthair","Black/White"
"A864875",,"2022-09-01T15:08:00.000","2022-09-01T15:08:00.000","3707 Menchaca Rd in Austin (TX)","Stray","Normal","Dog","Unknown","9 months","Australian Cattle Dog","White/Black"
"A864876",,"2022-09-01T15:08:00.000","2022-09-01T15:08:00.000","3707 Menchaca Rd in Austin (TX)","Stray","Normal","Dog","Unknown","9 months","Australian Cattle Dog","Blue Merle"
"A854920","Creed","2022-09-01T15:01:00.000","2022-09-01T15:01:00.000","Austin (TX)","Owner Surrender","Normal","Dog","Intact Male","1 year","Pit Bull","Brown Brindle"
"A864870",,"2022-09-01T15:00:00.000","2022-09-01T15:00:00.000","22711 Hog Eye Rd in Travis (TX)","Stray","Sick","Cat","Intact Female","4 months","Domestic Shorthair","White/Black"
"A864868","Marley","2022-09-01T14:46:00.000","2022-09-01T14:46:00.000","Spingdale And Santa Anna in Austin (TX)","Stray","Normal","Dog","Intact Female","2 years","Labrador Retriever","Yellow"
"A864864",,"2022-09-01T14:33:00.000","2022-09-01T14:33:00.000","12907 Lowden Lane in Travis (TX)","Stray","Normal","Dog","Intact Female","2 years","Pit Bull","Brown"
"A864861",,"2022-09-01T14:15:00.000","2022-09-01T14:15:00.000","5811 Nuckols Crossing in Austin (TX)","Stray","Normal","Dog","Intact Male","5 months","Belgian Malinois Mix","Tan/Black"
"A864860","Diamond","2022-09-01T14:11:00.000","2022-09-01T14:11:00.000","Austin (TX)","Owner Surrender","Normal","Dog","Intact Male","9 months","Pit Bull Mix","Brown Brindle/White"
"A864867","Dollar","2022-09-01T14:11:00.000","2022-09-01T14:11:00.000","Austin (TX)","Owner Surrender","Normal","Dog","Intact Female","9 months","Pit Bull Mix","White/Brown Brindle"
"A858157","Kite","2022-09-01T14:09:00.000","2022-09-01T14:09:00.000","124 West Anderson Lane in Austin (TX)","Stray","Injured","Dog","Intact Male","2 years","German Shepherd","Brown/Black"
"A864866",,"2022-09-01T13:49:00.000","2022-09-01T13:49:00.000","8714 Fm812 in Austin (TX)","Stray","Normal","Dog","Intact Female","1 month","Australian Cattle Dog Mix","Black/White"
"A864865",,"2022-09-01T13:49:00.000","2022-09-01T13:49:00.000","8714 Fm812 in Austin (TX)","Stray","Normal","Dog","Intact Female","1 month","Australian Cattle Dog Mix","Black/White"
"A864863",,"2022-09-01T13:49:00.000","2022-09-01T13:49:00.000","8714 Fm812 in Austin (TX)","Stray","Normal","Dog","Intact Male","1 month","Australian Cattle Dog Mix","Black/White"
