"fiscal_year","company_sponsor","contribution"
"2007-01-01T00:00:00.000","Intel Foundation","10000"
"2007-01-01T00:00:00.000","Synopsys","10000"
"2007-01-01T00:00:00.000","Holt, Rinehart and Winston","3000"
"2007-01-01T00:00:00.000","Austin Water Utility","1000"
"2007-01-01T00:00:00.000","BAE Systems","2000"
"2007-01-01T00:00:00.000","Ambion","1500"
"2007-01-01T00:00:00.000","Applied Materials","1000"
"2008-01-01T00:00:00.000","Synopsys","10000"
"2008-01-01T00:00:00.000","Intel Foundation","10000"
"2008-01-01T00:00:00.000","BAE Systems","2000"
"2008-01-01T00:00:00.000","Holt, Rinehart and Winston","3000"
"2008-01-01T00:00:00.000","H.E.B.","1000"
"2008-01-01T00:00:00.000","Applied Materials","1000"
"2008-01-01T00:00:00.000","Austin Water Utility","1000"
"2008-01-01T00:00:00.000","Lower Colorado River Authority","1000"
"2008-01-01T00:00:00.000","Travis County Medical Alliance","1000"
"2009-01-01T00:00:00.000","RES Americas","15000"
"2009-01-01T00:00:00.000","BAE Systems","15000"
"2009-01-01T00:00:00.000","Intel Foundation","12000"
"2009-01-01T00:00:00.000","Synopsys","10000"
"2009-01-01T00:00:00.000","Houghton Mifflin Co.","3000"
"2009-01-01T00:00:00.000","Alen Corporation","1000"
"2009-01-01T00:00:00.000","Lower Colorado River Authority","1000"
"2009-01-01T00:00:00.000","Travis County Medical Alliance","1000"
"2010-01-01T00:00:00.000","BAE Systems","20000"
"2010-01-01T00:00:00.000","Intel Foundation","10000"
"2010-01-01T00:00:00.000","Synopsys","10000"
"2010-01-01T00:00:00.000","Austin Climate Protection","5000"
"2010-01-01T00:00:00.000","Austin Water Utility","5000"
"2010-01-01T00:00:00.000","Freescale","2500"
"2010-01-01T00:00:00.000","RES Americas","1000"
"2010-01-01T00:00:00.000","Travis County Medical Alliance","1000"
"2010-01-01T00:00:00.000","Lower Colorado River Authority","1000"
"2011-01-01T00:00:00.000","Oransi","20000"
"2011-01-01T00:00:00.000","BAE Systems","20000"
"2011-01-01T00:00:00.000","Intel Foundation","15000"
"2011-01-01T00:00:00.000","Synopsys","10000"
"2011-01-01T00:00:00.000","Austin Climate Protection","5000"
"2011-01-01T00:00:00.000","Austin Water Utility","2500"
"2011-01-01T00:00:00.000","Lower Colorado River Authority","1000"
"2011-01-01T00:00:00.000","Travis County Medical Alliance","1000"
"2012-01-01T00:00:00.000","Intel","25000"
"2012-01-01T00:00:00.000","Oransi","10000"
"2012-01-01T00:00:00.000","BAE Systems","10000"
"2012-01-01T00:00:00.000","Synopsys","10000"
"2012-01-01T00:00:00.000","Austin Water","2500"
"2012-01-01T00:00:00.000","Texas Solar Society","1500"
"2012-01-01T00:00:00.000","Pearson","1000"
"2012-01-01T00:00:00.000","Compass Learning","1000"
"2012-01-01T00:00:00.000","Lower Colorado River Authority","1000"
"2012-01-01T00:00:00.000","Travis County Medical Alliance","500"
"2013-01-01T00:00:00.000","Intel","25000"
"2013-01-01T00:00:00.000","BAE Systems","15000"
"2013-01-01T00:00:00.000","Synopsys","15000"
"2013-01-01T00:00:00.000","Oransi","10000"
"2013-01-01T00:00:00.000","Compass Learning","5000"
"2013-01-01T00:00:00.000","Austin Water","2500"
"2013-01-01T00:00:00.000","Tokyo Electron","2500"
