"animal_id","location","at_aac","intake_date","type","looks_like","color","sex","age","image"
"A864855","13903 FM
,  78617","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Australian Shepherd Mix","Red/White","Intact Male","2 months","http://www.petharbor.com/pet.asp?uaid=ASTN.A864855"
"A864790","304 TAMWORTH AVE
AUSTIN,  78745
(30.209511, -97.767379)","Yes (come to the shelter)","2022-08-30T00:00:00.000","Cat","Domestic Shorthair","Blue Tabby/White","Intact Male","3 months","http://www.petharbor.com/pet.asp?uaid=ASTN.A864790"
"A864794","21501 QUAIL VALLEY COVE
,  78641
(30.514136, -97.963468)","Yes (come to the shelter)","2022-08-31T00:00:00.000","Cat","Domestic Shorthair","Brown Tabby","Intact Male","5 months","http://www.petharbor.com/pet.asp?uaid=ASTN.A864794"
"A552059","
AUSTIN,  78745
(30.206782, -97.798214)","Yes (come to the shelter)","2022-08-31T00:00:00.000","Dog","English Foxhound Mix","Brown/White","Intact Female","13 years","http://www.petharbor.com/pet.asp?uaid=ASTN.A552059"
"A864840","6600 ED BLUESTEIN BLVD
AUSTIN,  78723
(30.306749, -97.661294)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Black Mouth Cur","Brown/White","Intact Female","6 months","http://www.petharbor.com/pet.asp?uaid=ASTN.A864840"
"A864842","7259 WARDMAN DR
AUSTIN,  78617
(30.154899, -97.646038)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","German Shepherd Mix","Brown Brindle","Intact Male","5 months","http://www.petharbor.com/pet.asp?uaid=ASTN.A864842"
"A864853","2502 E WILLIAM
CANNON AUSTIN,  78744","Yes (come to the shelter)","2022-09-01T00:00:00.000","Cat","Domestic Shorthair","Brown Tabby","Intact Female","4 weeks","http://www.petharbor.com/pet.asp?uaid=ASTN.A864853"
"A842965","14111 DEWBERRY DR
,  78660
(30.412577, -97.632942)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Pit Bull Mix","Blue/White","Intact Male","2 years","http://www.petharbor.com/pet.asp?uaid=ASTN.A842965"
"A864841","1044 NORWOOD PARK BLVD
AUSTIN,  78753
(30.337, -97.692509)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Pit Bull/Standard Schnauzer","Black/White","Intact Female","8 weeks","http://www.petharbor.com/pet.asp?uaid=ASTN.A864841"
"A864795","508 EAST HOWARD LANE
,  78753
(30.414088, -97.654182)","Yes (come to the shelter)","2022-08-31T00:00:00.000","Dog","Australian Kelpie","Black/Brown","Intact Female","5 months","http://www.petharbor.com/pet.asp?uaid=ASTN.A864795"
"A864804","
DESSAU ROAD AUSTIN,  78753
(30.378511, -97.675352)","Yes (come to the shelter)","2022-08-31T00:00:00.000","Cat","Domestic Shorthair","Blue/White","Intact Female","2 weeks","http://www.petharbor.com/pet.asp?uaid=ASTN.A864804"
"A864843","1044 NORWOOD PARK BLVD
AUSTIN,  78753
(30.337, -97.692509)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Pit Bull/Standard Schnauzer","Black/White","Intact Female","8 weeks","http://www.petharbor.com/pet.asp?uaid=ASTN.A864843"
"A864844","1044 NORWOOD PARK BLVD
AUSTIN,  78753
(30.337, -97.692509)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Pit Bull/Standard Schnauzer","Black/White","Intact Male","8 weeks","http://www.petharbor.com/pet.asp?uaid=ASTN.A864844"
"A864796","9300 MISSION CIRCLE
,  78617","No (contact for more info)","2022-08-31T00:00:00.000","Cat","Domestic Shorthair","Black","Intact Male","2 years","http://www.petharbor.com/pet.asp?uaid=ASTN.A864796"
"A663813","6813 CRYSTALBROOK DR
AUSTIN,  78724
(30.305224, -97.652811)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Pit Bull Mix","Fawn/White","Neutered Male","9 years","http://www.petharbor.com/pet.asp?uaid=ASTN.A663813"
"A864822","2200 ROGGE LN
AUSTIN,  78723
(30.307525, -97.687557)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Treeing Walker Coonhound Mix","Brown/White","Intact Female","5 months","http://www.petharbor.com/pet.asp?uaid=ASTN.A864822"
"A864823","8905 LINDEN ROAD
,  78617
(30.124714, -97.598963)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","German Shepherd Mix","White","Intact Male","7 months","http://www.petharbor.com/pet.asp?uaid=ASTN.A864823"
"A864805","
DESSAU ROAD AUSTIN,  78753
(30.378511, -97.675352)","Yes (come to the shelter)","2022-08-31T00:00:00.000","Cat","Domestic Shorthair","Blue","Intact Male","2 weeks","http://www.petharbor.com/pet.asp?uaid=ASTN.A864805"
"A864806","
DESSAU ROAD AUSTIN,  78753
(30.378511, -97.675352)","Yes (come to the shelter)","2022-08-31T00:00:00.000","Cat","Domestic Shorthair","Blue","Intact Male","2 weeks","http://www.petharbor.com/pet.asp?uaid=ASTN.A864806"
"A864802","
DESSAU ROAD AUSTIN,  78753
(30.378511, -97.675352)","Yes (come to the shelter)","2022-08-31T00:00:00.000","Cat","Domestic Shorthair","Blue/White","Intact Male","2 weeks","http://www.petharbor.com/pet.asp?uaid=ASTN.A864802"
"A864807","
DESSAU ROAD AUSTIN,  78753
(30.378511, -97.675352)","Yes (come to the shelter)","2022-08-31T00:00:00.000","Cat","Domestic Shorthair","Blue","Intact Male","1 year","http://www.petharbor.com/pet.asp?uaid=ASTN.A864807"
"A864803","
DESSAU ROAD AUSTIN,  78753
(30.378511, -97.675352)","Yes (come to the shelter)","2022-08-31T00:00:00.000","Cat","Domestic Shorthair","Blue/White","Intact Female","2 weeks","http://www.petharbor.com/pet.asp?uaid=ASTN.A864803"
"A864846","7259 WARDMAN DR
AUSTIN,  78617
(30.154899, -97.646038)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","German Shepherd","Black/Tan","Intact Male","5 months","http://www.petharbor.com/pet.asp?uaid=ASTN.A864846"
"A864885","806 SIROCCO DRIVE
AUSTIN,  78745
(30.203065, -97.788783)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Pit Bull","Tan","Intact Male","2 years","http://www.petharbor.com/pet.asp?uaid=ASTN.A864885"
"A864856","13903 FM
,  78617","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Australian Shepherd Mix","Red","Intact Female","2 months","http://www.petharbor.com/pet.asp?uaid=ASTN.A864856"
"A864886","6607 S US 183 HIGHWAY
,  78744
(30.161955, -97.693618)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Mastiff","Tan/Black","Neutered Male","5 years","http://www.petharbor.com/pet.asp?uaid=ASTN.A864886"
"A864801","
DESSAU ROAD AUSTIN,  78753
(30.378511, -97.675352)","Yes (come to the shelter)","2022-08-31T00:00:00.000","Cat","Russian Blue Mix","Blue","Intact Female","1 year","http://www.petharbor.com/pet.asp?uaid=ASTN.A864801"
"A864845","1044 NORWOOD PARK BLVD
AUSTIN,  78753
(30.337, -97.692509)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Pit Bull","Blue/White","Intact Female","2 years","http://www.petharbor.com/pet.asp?uaid=ASTN.A864845"
"A864887","6607 S US 183 HIGHWAY
,  78744
(30.161955, -97.693618)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Pit Bull","Brown Brindle/White","Intact Female","3 years","http://www.petharbor.com/pet.asp?uaid=ASTN.A864887"
"A864848","14111 DEWBERRY DR
,  78660
(30.412577, -97.632942)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Pit Bull","Blue/Tan","Intact Male","2 years","http://www.petharbor.com/pet.asp?uaid=ASTN.A864848"
"A864849","14111 DEWBERRY DR
,  78660
(30.412577, -97.632942)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","American Staffordshire Terrier","Fawn/White","Intact Female","2 years","http://www.petharbor.com/pet.asp?uaid=ASTN.A864849"
"A864859","290 HWY
AUSTIN,  78701","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Alaskan Malamute","Black/White","Intact Male","2 years","http://www.petharbor.com/pet.asp?uaid=ASTN.A864859"
"A864850","6303 MELROSE TRAIL
AUSTIN,  78727
(30.438787, -97.747388)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Cat","Domestic Shorthair","Black/White","Intact Female","7 weeks","http://www.petharbor.com/pet.asp?uaid=ASTN.A864850"
"A864870","22711 HOG EYE RD
,  78621
(30.284219, -97.458097)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Cat","Domestic Shorthair","White/Black","Intact Female","4 months","http://www.petharbor.com/pet.asp?uaid=ASTN.A864870"
"A864854","13903 FM
,  78617","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Australian Shepherd Mix","Brown Brindle/White","Intact Female","2 months","http://www.petharbor.com/pet.asp?uaid=ASTN.A864854"
"A864862","10840 FM
,  78617","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","German Shepherd","Sable/Tan","Intact Male","1 year","http://www.petharbor.com/pet.asp?uaid=ASTN.A864862"
"A864876","3707 MENCHACA RD
AUSTIN,  78704
(30.236516, -97.784066)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Australian Cattle Dog","Blue Merle","Unknown","9 months","http://www.petharbor.com/pet.asp?uaid=ASTN.A864876"
"A864875","3707 MENCHACA RD
AUSTIN,  78704
(30.236516, -97.784066)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Australian Cattle Dog","White/Black","Unknown","9 months","http://www.petharbor.com/pet.asp?uaid=ASTN.A864875"
"A858157","124 WEST ANDERSON LANE
AUSTIN,  78752
(30.344335, -97.705529)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","German Shepherd","Brown/Black","Intact Male","2 years","http://www.petharbor.com/pet.asp?uaid=ASTN.A858157"
"A864861","5811 NUCKOLS CROSSING
AUSTIN,  78744
(30.187379, -97.742567)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Belgian Malinois Mix","Tan/Black","Intact Male","5 months","http://www.petharbor.com/pet.asp?uaid=ASTN.A864861"
"A864863","8714 FM812
AUSTIN,  78719
(30.163298, -97.69105)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Australian Cattle Dog Mix","Black/White","Intact Male","6 weeks","http://www.petharbor.com/pet.asp?uaid=ASTN.A864863"
"A864864","12907 LOWDEN LANE
,  78652
(30.129989, -97.835692)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Pit Bull","Brown","Intact Female","2 years","http://www.petharbor.com/pet.asp?uaid=ASTN.A864864"
"A864865","8714 FM812
AUSTIN,  78719
(30.163298, -97.69105)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Australian Cattle Dog Mix","Black/White","Intact Female","6 weeks","http://www.petharbor.com/pet.asp?uaid=ASTN.A864865"
"A864866","8714 FM812
AUSTIN,  78719
(30.163298, -97.69105)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Australian Cattle Dog Mix","Black/White","Intact Female","6 weeks","http://www.petharbor.com/pet.asp?uaid=ASTN.A864866"
"A864869","10501 NORTH LAMAR BOULEVARD
AUSTIN,  78753
(30.373767, -97.690991)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Pit Bull","Brown Brindle/White","Intact Female","1 year","http://www.petharbor.com/pet.asp?uaid=ASTN.A864869"
"A864871","10501 NORTH LAMAR BOULEVARD
AUSTIN,  78753
(30.373767, -97.690991)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Pit Bull","Brown Brindle/White","Intact Male","1 year","http://www.petharbor.com/pet.asp?uaid=ASTN.A864871"
"A864868","SPINGDALE
ANNA AUSTIN,  78721","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Labrador Retriever","Yellow","Intact Female","2 years","http://www.petharbor.com/pet.asp?uaid=ASTN.A864868"
"A864884","1500 E PARMER LANE
AUSTIN,  78753
(30.390231, -97.652248)","Yes (come to the shelter)","2022-09-01T00:00:00.000","Dog","Chihuahua Shorthair","Tan/White","Unknown","2 years","http://www.petharbor.com/pet.asp?uaid=ASTN.A864884"
"A864579","13415 CRANE ROAD
,  78610
(30.083631, -97.761186)","Yes (come to the shelter)","2022-08-29T00:00:00.000","Dog","Siberian Husky Mix","White","Intact Female","2 years","http://www.petharbor.com/pet.asp?uaid=ASTN.A864579"
"A864508","SOUTH WILLIAM CANNON
AUSTIN,  78744","Yes (come to the shelter)","2022-08-27T00:00:00.000","Cat","Domestic Shorthair","Brown Tabby","Intact Female","1 year","http://www.petharbor.com/pet.asp?uaid=ASTN.A864508"
"A864597","1156 W CESAR CHAVEZ ST
AUSTIN,  78703
(30.268935, -97.760486)","Yes (come to the shelter)","2022-08-29T00:00:00.000","Dog","Labrador Retriever","Black","Intact Female","9 months","http://www.petharbor.com/pet.asp?uaid=ASTN.A864597"
"A864605","S 1ST ST
AUSTIN,  78748","Yes (come to the shelter)","2022-08-29T00:00:00.000","Dog","Black Mouth Cur","Brown/Tan","Intact Female","5 months","http://www.petharbor.com/pet.asp?uaid=ASTN.A864605"
"A864581","8021 N FM
AUSTIN,  78750","Yes (come to the shelter)","2022-08-29T00:00:00.000","Dog","Chihuahua Shorthair","White/Black","Intact Male","2 months","http://www.petharbor.com/pet.asp?uaid=ASTN.A864581"
"A864596","SPRINGDALE
AUSTIN,  78723","No (contact for more info)","2022-08-29T00:00:00.000","Cat","Domestic Shorthair","Flame Point","Intact Female","5 weeks","http://www.petharbor.com/pet.asp?uaid=ASTN.A864596"
"A864604","1201 W 38TH ST
AUSTIN,  78705
(30.30614, -97.745186)","Yes (come to the shelter)","2022-08-29T00:00:00.000","Cat","Domestic Medium Hair","Blue/White","Intact Male","3 months","http://www.petharbor.com/pet.asp?uaid=ASTN.A864604"
