"the_geom","objectid","ancillaryrole","enabled","drainage_id","jtx_jobid","rotation","comments","date_built","year_built","year_source","year_abandoned","created_by","created_date","modified_by","modified_date","checked_by","watershed","map_index","mapsco","place_id","ownership","maintenance","dimen_source","elev_source","location_source","gps_x","gps_y","gps_source","gps_quality","top_elevation","surface_elevation","at_grade","endwall","invert","sump","depth_to_creek","dissipator","globalid","edit_status","support_material","outfall","header_type","fme_date","status","observation","modeled","collected_by","last_date_visited","measured_by","photolink","conduit_material","width","height","struc_shape","dryweatherflow","gps_pdop","gps_satqual","gps_date","gps_time","unit","dem_calculated_sump","dem_calculated_invert","dry_weather_screen_outfall","maximo_asset_number","maximo_site_id"
"POINT (-97.614665220862 30.332423432324)","5805974","0","1","1216267","1554834","72",,"2003-01-15T00:00:00.000Z","2003","APPLANEL",,"MAMARAL","2016-10-21T12:27:05.000Z","MAMARAL","2016-10-21T12:45:44.000Z",,"DKR","Q28","528X","5332042","OTHER","TXDOT","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","c4d64251-2563-4e86-88f9-1dbf208dc32b","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:47.000Z","ACTIVE","0",,,,,,"NODATA","48","48","CIRCULAR",,,,,,,,,,,
"POINT (-97.662324128402 30.324126500234)","5765268","0","1","207938","1834148","28",,"1973-10-18T00:00:00.000Z","1973","APPLANEL",,"LKAUFFMAN","2009-11-05T00:00:00.000Z","MMCDONALD","2017-11-20T08:26:58.000Z","LPUGH","WLN","N27","557E","94037","OTHER","OTHER","APPLANEL","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"573.66998291","N","0","569",,,"NODATA","e9a8256a-c122-4b7b-804c-c69b5e8e6d21","ENTERED","CONCRETE","F","DRAINPIPE_DN","2022-02-08T14:52:41.000Z","ACTIVE","0","N",,,,,"RCP","36","36","CIRCULAR",,,,,,,,,,,
"POINT (-97.780315405723 30.420470075296)","5761516","0","1","1212879","1759890","271","SPLITTER BOX","2012-12-05T00:00:00.000Z","2012","APPLANEL",,"MMCDONALD","2017-08-22T07:06:24.000Z","MMCDONALD","2017-08-22T07:07:25.000Z",,"BUL","G35","464K","3503955","CITY","CITY","NO_SOURCE","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"955.91998291","N","0","953.5",,,"NODATA","49f3c19d-4148-4f7a-86fa-fec8d23da2f3","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:45.000Z","ACTIVE","0",,,,,,,,,,,,,,,,,,,,
"POINT (-97.744588949886 30.230925012886)","5793548","0","1","421818","402175","337",,,,"NO_SOURCE",,"SBURZYNSKI","2012-07-16T12:17:26.000Z","SBURZYNSKI","2012-07-16T13:46:06.000Z","DDAVIS","CCW","J19","615W","120610","OTHER","OTHER","NO_SOURCE","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","b505a418-a4e5-4030-afef-45934ff7b03d","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:46.000Z","ACTIVE","0","N",,,,,"NODATA",,,"NODATA",,,,,,,,,,,
"POINT (-97.801976618137 30.201032278169)","5788001","0","1","499671","1754771","122",,"1988-09-16T00:00:00.000Z","1988","APPLANEL",,"CGORE","2013-05-24T10:41:03.000Z","JAMARTINEZ","2017-08-10T14:01:29.000Z","SJOHNSON","WMS","F16","643V","739370","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","78b3ff3b-7069-4520-a1cb-b21d2d3d4a80","ENTERED","NODATA","F","DRAINPIPE_UP","2022-02-08T14:52:46.000Z","ACTIVE","0","N",,,,,"NODATA","36","36","CIRCULAR",,,,,,,,,,,
"POINT (-97.750957053935 30.235075661576)","5778510","0","1","842642","1709012","320",,,,"NO_SOURCE",,"DDAVIS","2015-02-18T10:28:44.000Z","JAMARTINEZ","2017-06-14T09:27:38.000Z","SJOHNSON","BLU","H19","614V","415514","CITY","CITY","PHYS_INSP","DEM","GPS","3112013.3918","10058691.6948","FIELD","SUB-M",,"577.89001465","N","3","575.39001465",,"25","NOTPRESENT","48563e2c-5563-4003-9bf9-989256f5b828","ENTERED","CONCRETE","F","DRAINPIPE_DN","2022-02-08T14:52:44.000Z","ACTIVE","2",,"EWADSWORTH","2014-10-16T13:24:41.000Z","DDAVIS","10162014_5_957.jpg","RCP","30","30","CIRCULAR","F","5.6","1","2014-10-16T13:24:41.000Z","1:24:41 PM","5",,,,"401353395","WPD"
"POINT (-97.71971123473 30.401422867897)","5803330","0","1","1522038","1554786","66",,"2008-07-29T00:00:00.000Z","2008","APPLANEL",,"CWEYENBERG","2017-01-23T15:44:33.000Z","CWEYENBERG","2017-01-24T12:23:08.000Z","CGORE","WLN","K33","495C","3334491","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","118140ea-fe30-4fa9-b13e-ddeeb612d35d","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:47.000Z","ACTIVE","0",,,,,,"NODATA","24","24","CIRCULAR",,,,,,,,,,,
"POINT (-97.787008181084 30.193423174654)","5804289","0","1","1235119","1589987","253",,"1996-12-31T00:00:00.000Z","1996","APPLANEL",,"MAMARAL","2016-12-05T13:05:01.000Z","MAMARAL","2016-12-05T13:30:56.000Z","SJOHNSON","SBG","G16","644W","400149","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","8e94ccaa-c4dd-497c-a791-9996b7df89da","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:47.000Z","ACTIVE","0",,,,,,"NODATA","9","9","CIRCULAR",,,,,,,,,,,
"POINT (-97.729244812751 30.416212522275)","5767722","0","1","146942","1102946","175",,"1993-08-09T00:00:00.000Z","1993","APPLANEL",,"AMIRANDA","2015-04-15T12:15:44.000Z","AMIRANDA","2015-04-15T12:18:26.000Z",,"WLN","K35","465Q","544473","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3117332.9125","10124715.6638","DIG08","SUB-M",,"781.15997314","N","3","779.84997559",,"48","NOTPRESENT","2849d9fa-a1aa-48eb-bd45-31321f1f7393","ENTERED","CONCRETE","F","DRAINPIPE_DN","2022-02-08T14:52:44.000Z","ACTIVE","2",,"MARCUS ALLEN",,,"10132008_5_004.jpg","RCP","18","18","CIRCULAR","F",,,,,,,,,"1110855","WPD"
"POINT (-97.876623592815 30.256542282225)","5768988","0","1","689532","870622","86","RIP RAP","2001-08-17T00:00:00.000Z","2001","ASBLTEL",,"DWARDEN","2014-05-19T18:35:00.000Z","GDELANO","2014-06-24T13:09:15.000Z","GDELANO","WMS","B21","611D","3143179","CITY","CITY","NO_SOURCE","ASBLTEL","ASBLTEL",,,"NOGPS","NOGPS",,"979.84997559","N","2","978.63000488",,,"NOTPRESENT","87d422bc-4048-483f-91bc-2e4d2cb04239","ENTERED","CONCRETE","F","CULVERT_DN","2022-02-08T14:52:43.000Z","ACTIVE","0",,,,,,"RCP","18","18","CIRCULAR",,,,,,,,,,,
"POINT (-97.872149944345 30.187224667897)","5788421","0","1","678218","1877330","187",,"2003-02-27T00:00:00.000Z","2003","APPLANEL",,"AJURADO","2014-05-14T11:00:50.000Z","GDELANO","2018-03-16T17:10:23.000Z","SJOHNSON","SLA","C15","672A","3295967","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","e7834850-53b9-439d-a04d-52f9135e2a1f","ENTERED","ROCK","F","DRAINPIPE_DN","2022-02-08T14:52:46.000Z","NEVERCON","0",,,,,,"NODATA","4","4","CIRCULAR",,,,,,,,,,,
"POINT (-97.688984076353 30.356697485929)","5800006","0","1","1519391","1956370","40",,,,"NO_SOURCE",,"CWEYENBERG","2017-01-11T17:29:05.000Z","MMARKOWSKI","2018-06-27T09:28:53.000Z","ACOLEMAN","LWA","L30","526F","747484","OTHER","TXDOT","SUPP_INFO","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","c8ae4179-4fc0-4050-bc4c-afef7a34a24c","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:46.000Z","ACTIVE","0",,,,,,"NODATA","15","15","CIRCULAR",,,,,,,,,,,
"POINT (-97.798865891438 30.491238910057)","5781156","0","1","1217305","2136854","326",,"2003-06-25T00:00:00.000Z","2003","ASBLTEL",,"MMCDONALD","2016-10-24T15:34:02.000Z","JBALDERAS","2019-11-14T12:08:22.000Z","DWARDEN","SBR","F41","403M","3224737","CITY","CITY","NO_SOURCE","ASBLTEL","ASBLTEL",,,"NOGPS","NOGPS",,"926.10998535","N","0","925.70001221",,,"NODATA","3c4441ac-6f55-40a9-a6eb-5a9d85ea1c9f","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:45.000Z","ACTIVE","0",,,,,,"NODATA","120","96","BOX",,,,,,,,,,,
"POINT (-97.630366454122 30.275354962847)","5763611","0","1","214715","1789970","69",,"2007-01-09T00:00:00.000Z","2007","APPLANEL",,"TBARRINGTON","2013-01-02T11:30:44.000Z","JAMARTINEZ","2017-12-22T13:38:49.000Z","RODAVILA","ELM","P23","587R","3187703","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3149729.9609","10074245.1204","DIG09","SUB-M",,"501.14001465","N","4","499",,"0","NONNATURAL","221bbcbc-9ab1-4d2f-9b2b-0ec5c7846e96","ENTERED","CONCRETE","F","DRAINPIPE_DN","2022-02-08T14:52:42.000Z","ACTIVE","2","N","MARCUS ALLEN","2009-07-16T00:00:00.000Z","BILL BUTLER","07162009_1_019.jpg","RCP","42","42","CIRCULAR","F","2.2","2","2009-07-16T00:00:00.000Z","10:37","1",,,,"1113758","WPD"
"POINT (-97.694808041136 30.370953703303)","5778084","0","1","1101889","1350306","243",,"1983-09-29T00:00:00.000Z","1983","APPLANEL",,"ACABANA","2016-05-17T13:40:26.000Z","ACABANA","2016-05-18T13:53:02.000Z","DWARDEN","LWA","L31","496X","332127","CITY","CITY","NO_SOURCE","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"705.04998779","N","0","701.40002441",,,"NODATA","1bc799d0-f304-4a46-932a-4af0e19a1082","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:44.000Z","ACTIVE","0",,,,,,"RCP","48","48","CIRCULAR",,,,,,,,,,,
"POINT (-97.697321688471 30.391718697137)","5781232","0","1","147326","2152531","309",,"1983-02-02T00:00:00.000Z","1983","APPLANEL",,"RHANEY","2013-10-11T08:45:23.000Z","JAMARTINEZ","2020-05-15T13:32:29.000Z","DDAVIS","WLN","L33","496F","146272","CITY","CITY","PHYS_INSP","APPLANEL","GPS_AERIAL","3127601.8556","10116046.9756","DIG08","SUB-M",,"730.69000244","N","4","725.42999268",,"0","NOTPRESENT","53f57a0c-b04c-4fe9-a6b1-e74013bfce6f","ENTERED","CONCRETE","F","DRAINPIPE_DN","2022-02-08T14:52:43.000Z","ACTIVE","2","N","GEETHA GANESAN",,,"10302008_4_041.jpg","RCP","54","54","CIRCULAR","F",,,,,,,,,"1111081","WPD"
"POINT (-97.843902792557 30.324477656234)","5767201","0","1","216711","41812","45",,"1983-09-22T00:00:00.000Z","1983","APPLANEL",,"SJOHNSON","2009-12-11T00:00:00.000Z","SJOHNSON","2009-12-11T00:00:00.000Z","DDAVIS","LKA","D27","552H","79639","CITY","CITY","APPLANEL","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"493.95001221","N","0","491.79998779",,,"NODATA","ccb1e687-2382-4dfd-a028-ba4aeca04a18","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:41.000Z","ACTIVE","0","N",,,,,"CGMP","96","96","CIRCULAR",,,,,,,,,,,
"POINT (-97.781505818626 30.447474321868)","5776865","0","1","1571065","1669010","132",,"2011-10-27T00:00:00.000Z","2011","APPLANEL",,"JAMARTINEZ","2017-03-15T13:54:56.000Z","GDELANO","2017-05-02T16:16:41.000Z","GDELANO","LKC","G37","434T","1041200","CITY","CITY","NO_SOURCE","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,"944.17999268","N","0",,,,"NODATA","a456f048-6fbd-4261-a6db-4d424a604d7c","ENTERED","CONCRETE","F","CULVERT_DN","2022-02-08T14:52:45.000Z","ACTIVE","0",,,,,,"RCP","24","24","CIRCULAR",,,,,,,,,,,
"POINT (-97.614526317282 30.170893473735)","5775974","0","1","898720","1050469","21","Rip Rap","2000-12-21T00:00:00.000Z","2000","APPLANEL",,"MLEACH","2015-02-18T15:37:46.000Z","MLEACH","2015-02-18T16:23:10.000Z","CGORE","DRE","Q14","678P","3048873","CITY","CITY","NO_SOURCE","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"460.35998535","N","0","489.29998779",,,"NODATA","11fad4c1-9dba-440f-9f13-bece869e4073","ENTERED","CONCRETE","F","CULVERT_UP","2022-02-08T14:52:44.000Z","ACTIVE","0",,,,,,"NODATA","48","36","BOX",,,,,,,,,,,
"POINT (-97.681419347404 30.369473457131)","5805626","0","1","1126501","1524050","204",,"1952-06-17T00:00:00.000Z","1952","APPLANEL","2007","ACABANA","2016-07-06T16:38:37.000Z","CGORE","2017-03-02T14:45:44.000Z","CGORE","WLN","M31","496Y","3321815","OTHER","TXDOT","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","df4e635a-9ad5-4a28-a8eb-9b1b40f55b53","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:47.000Z","REMOVED","0",,,,,,"NODATA","12","12","CIRCULAR",,,,,,,,,,,
