"the_geom","objectid","ancillaryrole","enabled","drainage_id","jtx_jobid","rotation","comments","date_built","year_built","year_source","year_abandoned","created_by","created_date","modified_by","modified_date","checked_by","watershed","map_index","mapsco","place_id","ownership","maintenance","dimen_source","elev_source","location_source","gps_x","gps_y","gps_source","gps_quality","top_elevation","surface_elevation","at_grade","material","curb_op","height","depressed","depression_a","width","inlet_loc","manhole","inlet_type","marked","edit_status","outfall","fme_date","status","observation","modeled","collected_by","last_date_visited","measured_by","photolink","gps_pdop","gps_satqual","marked_date","catch_basket","gps_date","gps_time","unit","maximo_asset_number","maximo_site_id","globalid"
"POINT (-97.711620245485 30.36665125178)","118310","0","1","74809","1878323","200","BRIDGE INLET - diverts to creek","1975-06-20T00:00:00.000Z","1975","APPLANEL",,"MMARKOWSKI","2016-12-09T13:17:47.000Z","GDELANO","2018-02-27T14:02:35.000Z","CGORE","LWA","K30","525D","436874","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS","3123311.51","10106826.34","DIG07","SUB-M",,"694.33001709","N","CONCRETE","97","6","T","4","18","GRADE","NOTPRESENT","G1","NOTMARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2",,"DLEWIS","2008-10-21T00:00:00.000Z",,,,,,"0",,,,"40126","WPD","9da63458-6b82-4890-b273-f9b4fb6c3837"
"POINT (-97.770390378943 30.290955471514)","118020","0","1","81442","110622","34","BRIDGE INLET - diverts to creek","1938-04-06T00:00:00.000Z","1938","PLANNOEL",,"SBURZYNSKI","2010-09-15T00:00:00.000Z","SBURZYNSKI","2010-09-15T00:00:00.000Z","HCHOU","JOH","H24","584G","644625","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS_AERIAL","3105455.3649","10078783.732","DIG07","SUB-M",,"540.88000488","N","CONCRETE","122","4","T","2","17","SAG","PRESENT","S1","GOOD","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2","N","DLEWIS","2008-10-29T00:00:00.000Z",,,,,"2012-06-15T00:00:00.000Z","0",,,,"40035","WPD","71d5f7e2-2082-43e9-a6f5-af607027ca87"
"POINT (-97.727597101701 30.310915973415)","118190","0","1","77529","1812418","207","BRIDGE INLET - diverts to creek",,,"NO_SOURCE",,"VVINCENT","2017-10-24T13:20:39.000Z","VVINCENT","2017-10-24T13:42:50.000Z",,"WLR","K26","555Q","717620","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS","3118750.6659","10086446.518","DIG07","SUB-M",,"614.79998779","N","CONCRETE","102","6","T","2",,"GRADE","NOTPRESENT","G1","MARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2",,"RODAVILA","2008-10-30T00:00:00.000Z",,,,,,"0",,,,"40024","WPD","4516874b-4344-4c1e-a961-43e3561d108c"
"POINT (-97.710975746215 30.44491562811)","118491","0","1","106503","1941970","209",,,,"NO_SOURCE",,"PSTARKEL","2018-05-10T12:22:40.000Z","PSTARKEL","2018-05-10T15:25:10.000Z","SJOHNSON","WLN","K37","435V","87374","OTHER","OTHER","PHYS_INSP","NO_SOURCE","GPS","3122843.765","10135286.9775","DIG08","SUB-M",,"809.61999512","N","CONCRETE","120","6","T","5","37","GRADE","NOTPRESENT","G1R","NOTMARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2",,"MARCUS ALLEN",,,,,,,"0",,,,"40340","WPD","469b2453-ae9f-4908-a566-6653dc13d451"
"POINT (-97.71460809148 30.332882505065)","118415","0","1","75634","1716370","212","BRIDGE INLET - diverts to creek","1960-12-01T00:00:00.000Z","1960","APPLANEL",,"NPULLIAS","2011-02-07T00:00:00.000Z","CGORE","2017-07-13T12:39:54.000Z","EDUBIN","WLR","K28","525Z","3292997","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS_AERIAL","3122657.2545","10094518.595","DIG07","SUB-M",,"689.57000732","N","CONCRETE","96","5","T","6","18","SAG","NOTPRESENT","S1","NOTMARKED","ENTERED","T","2022-02-08T14:52:07.000Z","ACTIVE","2","N","SJOHNSON","2008-10-27T00:00:00.000Z",,,,,,"0",,,,"40132","WPD","fe5e6f01-8c82-40d1-9ec9-c2b330e4fcc5"
"POINT (-97.740152401676 30.191339192599)","118484","0","1","106555","1736530","108",,,,"NO_SOURCE",,"JAMARTINEZ","2017-07-14T14:46:20.000Z","JAMARTINEZ","2017-07-14T14:47:35.000Z","SJOHNSON","WMS","J15","675A","407817","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS","3115802.0463","10042873.5863","DIG08","SUB-M",,"574.96002197","N","CONCRETE","133","5","T","3","12","GRADE","NOTPRESENT","G1","NOTMARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","3",,"EZIO AMBROSETTI",,,,,,,"0",,,,"40199","WPD","351cb59f-e3d3-4d7f-ba99-cc419476f3ab"
"POINT (-97.741177147954 30.351067971687)","118626","0","1","276029","1834450","197","No field evidence. Removed with culverts.","1959-03-27T00:00:00.000Z","1959","PLANNOEL",,"RODAVILA","2010-11-01T00:00:00.000Z","GDELANO","2018-02-07T15:50:05.000Z","ACOLEMAN","SHL","J29","525J","3360176","CITY","CITY","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,"670.86999512","N","NODATA","96",,"N",,,"NODATA","NODATA","NODATA","NODATA","ENTERED","F","2022-03-11T21:12:44.000Z","REMOVED","0","N",,,,,,,,"0",,,,,,"da1d90fe-e5ed-47e7-a782-8c070c7fa820"
"POINT (-97.711429225209 30.270919032513)","118286","0","1","81056","1846930","341","BRIDGE INLET - diverts to creek",,,"NO_SOURCE",,"MMCDONALD","2017-12-07T10:04:42.000Z","MMCDONALD","2017-12-07T10:35:36.000Z",,"BOG","K22","585V","3323618","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS","3124191.8039","10072021.973","DIG07","SUB-M",,"490.95001221","N","CONCRETE","151","5","T","4","16","GRADE","NOTPRESENT","G1","NOTMARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2",,"SJOHNSON","2008-10-28T00:00:00.000Z",,,,,,"0",,,,"40083","WPD","b8a9f4c8-8e3e-4885-95ac-9e6c5dde2ff0"
"POINT (-97.716520202927 30.370433212248)","118205","0","1","74919","1935586","290","BRIDGE INLET - diverts to creek",,,"NO_SOURCE",,"MMARKOWSKI","2018-05-02T14:36:38.000Z","MMARKOWSKI","2018-05-02T14:38:03.000Z",,"LWA","K31","495Z","200246","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS_AERIAL","3121729.8192","10108177.767","DIG07","SUB-M",,"713.65002441","N","CONCRETE","86","5","T","6","20","SAG","NOTPRESENT","S1","NOTMARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2",,"DDAVIS","2008-11-04T00:00:00.000Z",,,,,,"0",,,,"40062","WPD","fd56df39-8f5c-4cae-bf43-9d1586778ca1"
"POINT (-97.74985978828 30.200389128874)","118362","0","1","1768167","517693","27",,"1981-06-26T00:00:00.000Z","1981","ASBLTEL",,"LBELL","2013-01-17T09:51:54.000Z","LBELL","2013-01-17T11:45:25.000Z",,"WMS","J16","645S","91197","CITY","CITY","PHYS_INSP","ASBLTEL","GPS","3112659.4894","10046092.7319","DIG08","SUB-M","616.14001465","613.15997314","N","CONCRETE","129","6","T","3","18","SAG","PRESENT","S1","GOOD","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2","N","ERIN ATKINSON","2018-06-11T14:18:07.000Z",,,,,"2018-06-15T00:00:00.000Z","0",,,,"5000074787","WPD","fddf3c52-285d-4c35-a279-094272549992"
