"department_name","measure_id","measure_name","frequency","fiscal_year","actual_value","amended_value","long_term_goal","data_as_of_date","frequency_of_goal","supports_goal_value","supports_goal","dashboard_indicator_value","dashboard_indicator","legend"
"Austin Water","7067","Dollar amount of revenue recovered","Annual","2011","1569225","2000000",,"2011-09-30T00:00:00.000","Annual","0","No","0","No",
"Austin Water","7067","Dollar amount of revenue recovered","Annual","2012","544610","3000000",,"2012-09-30T00:00:00.000","Annual","0","No","0","No",
"Austin Water","7067","Dollar amount of revenue recovered","Annual","2013","2246524","3000000",,"2013-09-30T00:00:00.000","Annual","0","No","0","No",
"Austin Water","7067","Dollar amount of revenue recovered","Annual","2014","2205378","3000000",,"2014-09-30T00:00:00.000","Annual","1","Yes","0","No",
"Austin Water","7067","Dollar amount of revenue recovered","Annual","2015","3330623","2500000",,"2015-09-30T00:00:00.000","Annual","1","Yes","0","No",
