"year","current_system_rate","system_rate_with_council","amount_over_affordability","amount_below_2_affordability_line_percentage_"
"2015-10-01T00:00:00.000","0.098","0.103","-0.0049999999999999906","-0.05"
"2016-10-01T00:00:00.000","0.089","0.105","-0.016","-0.15"
"2017-10-01T00:00:00.000","0.092","0.108","-0.016","-0.14"
"2018-10-01T00:00:00.000","0.093","0.110","-0.017","-0.15"
"2019-10-01T00:00:00.000","0.094","0.112","-0.018","-0.16"
"2020-10-01T00:00:00.000","0.094","0.114","-0.020","-0.18"
