"citation_number","citation_dates","citation_time","day_of_the_week","age","race","sex","tract"
"SE587209","2018-12-31T00:00:00.000","58","Mon","25","White","Female",
"SE587212","2018-12-31T00:00:00.000","118","Mon","18","Black","Male",
"SE587215","2018-12-31T00:00:00.000","658","Mon","32","Black","Female",
"SE587210","2018-12-31T00:00:00.000","58","Mon","25","White","Female",
"E202083","2018-12-31T00:00:00.000","2156","Mon","51","White","Male",
"SE587217","2018-12-31T00:00:00.000","2346","Mon","32","White","Male","72"
"SE587211","2018-12-31T00:00:00.000","118","Mon","18","Black","Male",
"YE738904","2018-12-31T00:00:00.000","411","Mon","39","Black","Male",
"E202082","2018-12-31T00:00:00.000","2133","Mon","28","White","Male",
"EV81092","2018-12-31T00:00:00.000","205","Mon",,"Black","Male",
"SE587218","2018-12-31T00:00:00.000","2346","Mon","32","White","Male","72"
"YE738903","2018-12-31T00:00:00.000","411","Mon","39","Black","Male",
"SE587213","2018-12-31T00:00:00.000","118","Mon","18","Black","Male",
"SE587216","2018-12-31T00:00:00.000","658","Mon","32","Black","Female",
"E202084","2018-12-31T00:00:00.000","2229","Mon","62","Asian","Male",
"E202085","2018-12-31T00:00:00.000","2322","Mon","31","Black","Male",
"SE587214","2018-12-31T00:00:00.000","648","Mon","55","Black","Male",
"YE600694","2018-12-30T00:00:00.000","17","Sun","25","White","Male",
"EV87673","2018-12-30T00:00:00.000","230","Sun",,"Black","Male",
"SE587204","2018-12-30T00:00:00.000","1917","Sun","18","White","Female",
"SE587203","2018-12-30T00:00:00.000","1917","Sun","18","White","Female",
"SE587206","2018-12-30T00:00:00.000","2225","Sun","56","White","Male",
"YE600696","2018-12-30T00:00:00.000","17","Sun","25","White","Male",
"SE587205","2018-12-30T00:00:00.000","2209","Sun","18","White","Male",
"SE587199","2018-12-30T00:00:00.000","701","Sun","30","Black","Male",
"SE587207","2018-12-30T00:00:00.000","2240","Sun","47","White","Male",
"E202081","2018-12-30T00:00:00.000","2358","Sun","18","Black","Female",
"SE587202","2018-12-30T00:00:00.000","1423","Sun","53","Asian","Male",
"YE600695","2018-12-30T00:00:00.000","17","Sun","25","White","Male",
"E202080","2018-12-30T00:00:00.000","2155","Sun","64","White","Male",
"SE587208","2018-12-30T00:00:00.000","2240","Sun","47","White","Male",
"SE587201","2018-12-30T00:00:00.000","1149","Sun","55","White","Female",
"SE587200","2018-12-30T00:00:00.000","724","Sun","27","White","Male",
"SE587193","2018-12-29T00:00:00.000","1541","Sat","27","White","Male",
"SE587192","2018-12-29T00:00:00.000","1530","Sat","32",,"Female",
"EV86820","2018-12-29T00:00:00.000","1647","Sat","28","White","Female",
"SE587183","2018-12-29T00:00:00.000","717","Sat","32","Black","Male",
"SE587182","2018-12-29T00:00:00.000","707","Sat","26","White","Male",
"SE587185","2018-12-29T00:00:00.000","742","Sat","35","White","Female",
"SE587191","2018-12-29T00:00:00.000","1510","Sat","57","White","Male",
"SE587176","2018-12-29T00:00:00.000","0","Sat","21","Black","Male",
"SE587188","2018-12-29T00:00:00.000","1045","Sat","37","Black","Male",
"SE587198","2018-12-29T00:00:00.000","2147","Sat","27","Unknown","Male",
"CL730297","2018-12-29T00:00:00.000","2338","Sat",,"Black","Male",
"SE587189","2018-12-29T00:00:00.000","1228","Sat","35","White","Male",
"YE738900","2018-12-29T00:00:00.000","2338","Sat","33","Black","Male",
"SE587177","2018-12-29T00:00:00.000","0","Sat","21","Black","Male",
"SE587186","2018-12-29T00:00:00.000","742","Sat","35","White","Female",
"SE587194","2018-12-29T00:00:00.000","1555","Sat","63","Black","Male",
"SE587184","2018-12-29T00:00:00.000","717","Sat","32","Black","Male",
"SE587187","2018-12-29T00:00:00.000","824","Sat","25","Black","Male",
"SE587180","2018-12-29T00:00:00.000","653","Sat","64","White","Male",
"SE587197","2018-12-29T00:00:00.000","1716","Sat","44","White","Female",
"YE738902","2018-12-29T00:00:00.000","2338","Sat","33","Black","Male",
"SE587190","2018-12-29T00:00:00.000","1228","Sat","35","White","Male",
"E202079","2018-12-29T00:00:00.000","1308","Sat","43","White","Male",
"SE587181","2018-12-29T00:00:00.000","707","Sat","26","White","Male",
"YE738901","2018-12-29T00:00:00.000","2338","Sat","33","Black","Male",
"SE587196","2018-12-29T00:00:00.000","1607","Sat","49","Black","Male",
"SE587179","2018-12-29T00:00:00.000","130","Sat","69","Black","Male",
"SE587178","2018-12-29T00:00:00.000","108","Sat","26","Asian","Male",
"EV85358","2018-12-29T00:00:00.000","1642","Sat","52","Black","Male",
"SE587195","2018-12-29T00:00:00.000","1607","Sat","49","Black","Male",
"SE587149","2018-12-28T00:00:00.000","651","Fri","50","Black","Female",
"SE587163","2018-12-28T00:00:00.000","1304","Fri","52","White","Male",
"E202071","2018-12-28T00:00:00.000","1235","Fri","49","White","Male",
"SE587172","2018-12-28T00:00:00.000","1658","Fri","26","Black","Female",
"SE587165","2018-12-28T00:00:00.000","1317","Fri","31","White","Male",
"E202069","2018-12-28T00:00:00.000","1143","Fri","48","White","Female",
"SE587169","2018-12-28T00:00:00.000","1445","Fri","19","White","Male",
"SE587152","2018-12-28T00:00:00.000","746","Fri","36","Black","Male",
"E202076","2018-12-28T00:00:00.000","2110","Fri","27","Asian","Male",
"SE587151","2018-12-28T00:00:00.000","727","Fri","59","White","Female",
"SE587159","2018-12-28T00:00:00.000","1008","Fri","41","Black","Male",
"SE587161","2018-12-28T00:00:00.000","1016","Fri","26","White","Male",
"E202066","2018-12-28T00:00:00.000","704","Fri","64","White","Male",
"SE587157","2018-12-28T00:00:00.000","922","Fri","18","White","Male",
"E202068","2018-12-28T00:00:00.000","1129","Fri","51","White","Male",
"SE587164","2018-12-28T00:00:00.000","1304","Fri","52","White","Male",
"SE587170","2018-12-28T00:00:00.000","1658","Fri","26","Black","Female",
"YE720757","2018-12-28T00:00:00.000","1631","Fri","31","Black","Male",
"E202072","2018-12-28T00:00:00.000","1313","Fri","33","White","Male",
"E202075","2018-12-28T00:00:00.000","1954","Fri","61","White","Male",
"E202067","2018-12-28T00:00:00.000","934","Fri","49","White","Male",
"SE587167","2018-12-28T00:00:00.000","1343","Fri","80","White","Female",
"SE587175","2018-12-28T00:00:00.000","2209","Fri","58","White","Male",
"SE587150","2018-12-28T00:00:00.000","727","Fri","59","White","Female",
"E202078","2018-12-28T00:00:00.000","2303","Fri","35","White","Male",
"E202073","2018-12-28T00:00:00.000","1330","Fri","46","White","Male",
"YE720756","2018-12-28T00:00:00.000","1631","Fri","31","Black","Male",
"E202070","2018-12-28T00:00:00.000","1202","Fri","72","White","Female",
"SE587156","2018-12-28T00:00:00.000","844","Fri","38","Black","Female",
"SE587168","2018-12-28T00:00:00.000","1343","Fri","80","White","Female",
"SE587162","2018-12-28T00:00:00.000","1114","Fri","66","White","Female",
"SE587166","2018-12-28T00:00:00.000","1325","Fri","67","White","Female",
"SE587158","2018-12-28T00:00:00.000","946","Fri","63","White","Female",
"SE587155","2018-12-28T00:00:00.000","824","Fri","47","White","Male",
"EV76390","2018-12-28T00:00:00.000","9","Fri","22","White","Male",
"SE587174","2018-12-28T00:00:00.000","1930","Fri","26","White","Male",
"SE587154","2018-12-28T00:00:00.000","814","Fri","59","White","Male",
