"id","year","month","period","emissions","target","date_time"
"1","2006","December","Dec -06","297920","154051","2006-12-31T00:00:00.000"
"2","2007","December","Dec-07","305585","154051","2007-12-31T00:00:00.000"
"3","2008","December","Dec-08","308013","154051","2008-12-31T00:00:00.000"
"4","2009","December","Dec-09","309882","154051","2009-12-31T00:00:00.000"
"5","2010","December","Dec-10","313640","154051","2010-12-31T00:00:00.000"
"6","2011","December","Dec-11","330591","154051","2011-12-31T00:00:00.000"
"7","2012","December","Dec-12","340272","154051","2012-12-31T00:00:00.000"
"8","2013","December","Dec-13","330080","154051","2013-12-31T00:00:00.000"
"9","2014","December","Dec-14","200000","154051","2014-12-31T00:00:00.000"
