"date","miles_per_gallon_for_compact_and_mid_size_vehicles","fiscal_year"
"2008-06-30T00:00:00.000","28","2007-08"
"2009-06-30T00:00:00.000","29","2008-09"
"2010-06-30T00:00:00.000","29","2009-10"
"2011-06-30T00:00:00.000","28.5","2010-11"
"2012-06-30T00:00:00.000","28.7","2011-12"
"2013-06-30T00:00:00.000","28.7","2012-13"
"2014-06-30T00:00:00.000","29.5","2013-14"
