"fiscal_year","commercial_recycling_rates_percentages","multi_family_recycling_rate_percentage","residential_recycling_rate_percentage"
"FY 2018-19","33","21","66"
"FY 2019-20","31","17","53"
"FY 2020-21","32","18","54"
"FY 2021-22","32","19","54"
