"fiscal_year","target_total_redi_wheels_ridership","percent_average_on_time_performance","target_percent_average_on_time_performance"
"FY 2015 – 16","319602","92","90"
"FY 2014 – 15","291802","90","90"
"FY 2013 – 14","276637","91","90"
"FY 2016 – 17","327257","92","90"
