"measure_name","measure_value","fiscal_year","date"
"Percent of Performance Goals Met","100","FY 2014-15","2015-06-30T00:00:00.000"
"Percent of Performance Goals Met","100","FY 2015-16","2016-06-30T00:00:00.000"
