"region","zip","cities","total_of_indiviuals_under_150_fpl"
"Mid-County","94002","Belmont","2221"
"North County","94005","Brisbane","288"
,"94010","Burlingame, Hillsborough","4056"
,"94014","Daly City, Colma","8317"
,"94015","Daly City ","6941"
"Coastside","94019","Half Moon Bay","2198"
,"94020","La Honda","66"
,"94021","Loma Mar","0"
"South County","94025","Menlo Park","4582"
,"94027","Menlo Park, Atherton","581"
,"94028","Menlo Park, Portola Valley","145"
,"94030","Millbrae","2031"
,"94037","Montara","124"
,"94038","Moss Beach","472"
,"94044","Pacifica","2302"
,"94060","Pescadero","356"
,"94061","Redwood City","7125"
,"94062","Redwood City, Woodside","2437"
,"94063","Redwood City","11338"
,"94065","Redwood City","646"
,"94066","San Bruno","4575"
,"94070","San Carlos","1794"
,"94074","San Gregorio","0"
,"94080","South San Francisco","9584"
,"94303","East Palo Alto, Palo Alto","10922"
,"94401","San Mateo","5805"
,"94402","San Mateo","2183"
,"94403","San Mateo","3626"
,"94404","San Mateo, Foster City","3210"
,,,
