"date","fiscal_year","library","number_registered","number_completed","percent_complete"
"2008-06-30T00:00:00.000","FY 07-08","Burlingame Public Library",,,
"2008-06-30T00:00:00.000","FY 07-08","Daly City Public Library",,,
"2008-06-30T00:00:00.000","FY 07-08","Menlo Park Library","1055","574","54"
"2008-06-30T00:00:00.000","FY 07-08","Redwood City Public Library",,,
"2008-06-30T00:00:00.000","FY 07-08","San Bruno Public Library","856","283","33"
"2008-06-30T00:00:00.000","FY 07-08","San Mateo County Library","8301","3476","42"
"2008-06-30T00:00:00.000","FY 07-08","San Mateo Public Library","1930","424","22"
"2008-06-30T00:00:00.000","FY 07-08","South San Francisco Public Library","1289","481","37"
"2009-06-30T00:00:00.000","FY 08-09","Burlingame Public Library",,,
"2009-06-30T00:00:00.000","FY 08-09","Daly City Public Library","1081","268","25"
"2009-06-30T00:00:00.000","FY 08-09","Menlo Park Library","1170",,"0"
"2009-06-30T00:00:00.000","FY 08-09","Redwood City Public Library",,,
"2009-06-30T00:00:00.000","FY 08-09","San Bruno Public Library","1036","326","31"
"2009-06-30T00:00:00.000","FY 08-09","San Mateo County Library","7846","3528","45"
"2009-06-30T00:00:00.000","FY 08-09","San Mateo Public Library","1185","518","44"
"2009-06-30T00:00:00.000","FY 08-09","South San Francisco Public Library","1140","464","41"
"2010-06-30T00:00:00.000","FY 09-10","Burlingame Public Library",,,
"2010-06-30T00:00:00.000","FY 09-10","Daly City Public Library","1469","546","37"
"2010-06-30T00:00:00.000","FY 09-10","Menlo Park Library","1662",,"0"
"2010-06-30T00:00:00.000","FY 09-10","Redwood City Public Library",,,
"2010-06-30T00:00:00.000","FY 09-10","San Bruno Public Library",,,
"2010-06-30T00:00:00.000","FY 09-10","San Mateo County Library","7865","3541","45"
"2010-06-30T00:00:00.000","FY 09-10","San Mateo Public Library","991","555","56"
"2010-06-30T00:00:00.000","FY 09-10","South San Francisco Public Library","1421","471","33"
"2011-06-30T00:00:00.000","FY 10-11","Burlingame Public Library",,,
"2011-06-30T00:00:00.000","FY 10-11","Daly City Public Library","1241","531","43"
"2011-06-30T00:00:00.000","FY 10-11","Menlo Park Library","852",,"0"
"2011-06-30T00:00:00.000","FY 10-11","Redwood City Public Library",,,
"2011-06-30T00:00:00.000","FY 10-11","San Bruno Public Library","1350",,"0"
"2011-06-30T00:00:00.000","FY 10-11","San Mateo County Library","6539","3101","47"
"2011-06-30T00:00:00.000","FY 10-11","San Mateo Public Library","1169","615","53"
"2011-06-30T00:00:00.000","FY 10-11","South San Francisco Public Library","1231","404","33"
"2012-06-30T00:00:00.000","FY 11-12","Burlingame Public Library","2700","915","34"
"2012-06-30T00:00:00.000","FY 11-12","Daly City Public Library","1231","524","43"
"2012-06-30T00:00:00.000","FY 11-12","Menlo Park Library","824","477","58"
"2012-06-30T00:00:00.000","FY 11-12","Redwood City Public Library","3440","1542","45"
"2012-06-30T00:00:00.000","FY 11-12","San Bruno Public Library","1017","27","3"
"2012-06-30T00:00:00.000","FY 11-12","San Mateo County Library","7282","3763","52"
"2012-06-30T00:00:00.000","FY 11-12","San Mateo Public Library","1487","680","46"
"2012-06-30T00:00:00.000","FY 11-12","South San Francisco Public Library","1028","448","44"
"2013-06-30T00:00:00.000","FY 12-13","Burlingame Public Library","3167","1095","35"
"2013-06-30T00:00:00.000","FY 12-13","Daly City Public Library","1006","493","49"
"2013-06-30T00:00:00.000","FY 12-13","Menlo Park Library","1233","751","61"
"2013-06-30T00:00:00.000","FY 12-13","Redwood City Public Library","16788","7001","42"
"2013-06-30T00:00:00.000","FY 12-13","San Bruno Public Library","1051","0","0"
"2013-06-30T00:00:00.000","FY 12-13","San Mateo County Library","11458","3877","34"
"2013-06-30T00:00:00.000","FY 12-13","San Mateo Public Library","1308","609","47"
"2013-06-30T00:00:00.000","FY 12-13","South San Francisco Public Library","750","397","53"
"2014-06-30T00:00:00.000","FY 13-14","Burlingame Public Library","3095","1108","36"
"2014-06-30T00:00:00.000","FY 13-14","Daly City Public Library","1472","471","32"
"2014-06-30T00:00:00.000","FY 13-14","Menlo Park Library","1586","37","2"
"2014-06-30T00:00:00.000","FY 13-14","Redwood City Public Library","10620","5590","53"
"2014-06-30T00:00:00.000","FY 13-14","San Bruno Public Library","1361","414","30"
"2014-06-30T00:00:00.000","FY 13-14","San Mateo County Library","21174","4355","21"
"2014-06-30T00:00:00.000","FY 13-14","San Mateo Public Library","3612","1207","33"
"2014-06-30T00:00:00.000","FY 13-14","South San Francisco Public Library","2449","914","37"
