"fiscal_year","actual_expenditures"
"2002-06-30T00:00:00.000","158885"
"2003-06-30T00:00:00.000","45151"
"2004-06-30T00:00:00.000","55613"
"2005-06-30T00:00:00.000","98834"
"2006-06-30T00:00:00.000","108636"
"2007-06-30T00:00:00.000","102326"
"2008-06-30T00:00:00.000","168792"
"2009-06-30T00:00:00.000","196120"
"2010-06-30T00:00:00.000","92157"
"2011-06-30T00:00:00.000","73229"
"2012-06-30T00:00:00.000","62873"
"2013-06-30T00:00:00.000","184313"
"2014-06-01T00:00:00.000","136963"
