"fiscal_year","residential_disposal_lbs_person_day","commercial_disposal_lbs_person_day","hidden"
"FY 2011-12","2.8","7","YES"
"FY 2012-13","2.7","6.1","YES"
"FY 2013-14","2.6","5.8","YES"
"FY 2014-15","2.5","5.7","YES"
"FY 2015-16","2.7","4.8","YES"
"FY 2016-17","3.1","7.1","NO"
"FY 2017-18","3.5","8.3","NO"
"FY 2018-19","3.8","8.3","NO"
"FY 2019-20","3.9","8.4","NO"
"FY 2020-21","3.2","6.5","NO"
"FY 2021-22","3.6","8.6","NO"
