"year","grade_level","description","gender","percent"
"2010-01-01T00:00:00.000","7th Grade","Very Safe","Female","21.5"
"2010-01-01T00:00:00.000","9th Grade","Very Safe","Female","18.100000000000001"
"2010-01-01T00:00:00.000","11th Grade","Very Safe","Female","19.899999999999999"
"2010-01-01T00:00:00.000","Non-Traditional","Very Safe","Female","17.3"
"2010-01-01T00:00:00.000","7th Grade","Safe","Female","46"
"2010-01-01T00:00:00.000","9th Grade","Safe","Female","49.6"
"2010-01-01T00:00:00.000","11th Grade","Safe","Female","51.3"
"2010-01-01T00:00:00.000","Non-Traditional","Safe","Female","26.5"
"2010-01-01T00:00:00.000","7th Grade","Neither Safe nor Unsafe","Female","26.4"
"2010-01-01T00:00:00.000","9th Grade","Neither Safe nor Unsafe","Female","28.2"
"2010-01-01T00:00:00.000","11th Grade","Neither Safe nor Unsafe","Female","26.4"
"2010-01-01T00:00:00.000","Non-Traditional","Neither Safe nor Unsafe","Female","47.6"
"2010-01-01T00:00:00.000","7th Grade","Unsafe","Female","3.9"
"2010-01-01T00:00:00.000","9th Grade","Unsafe","Female","2.9"
"2010-01-01T00:00:00.000","11th Grade","Unsafe","Female","1.9"
"2010-01-01T00:00:00.000","Non-Traditional","Unsafe","Female","8.6"
"2010-01-01T00:00:00.000","7th Grade","Very Unsafe","Female","2.2000000000000002"
"2010-01-01T00:00:00.000","9th Grade","Very Unsafe","Female","1.2"
"2010-01-01T00:00:00.000","11th Grade","Very Unsafe","Female","0.5"
"2010-01-01T00:00:00.000","Non-Traditional","Very Unsafe","Female","0"
"2010-01-01T00:00:00.000","7th Grade","Very Safe","Male","23.8"
"2010-01-01T00:00:00.000","9th Grade","Very Safe","Male","21.6"
"2010-01-01T00:00:00.000","11th Grade","Very Safe","Male","29.9"
"2010-01-01T00:00:00.000","Non-Traditional","Very Safe","Male","23.5"
"2010-01-01T00:00:00.000","7th Grade","Safe","Male","42.4"
"2010-01-01T00:00:00.000","9th Grade","Safe","Male","46.8"
"2010-01-01T00:00:00.000","11th Grade","Safe","Male","42.2"
"2010-01-01T00:00:00.000","Non-Traditional","Safe","Male","25.7"
