"date","fiscal_year","annual_water_consumption_use_all_districts_ccf","population_total_all_districts","annual_per_capita_consumption_all_districts_ccf","annual_per_capita_consumption_gallons_all_districts_gallons","per_capita_per_day_consumption_all_districts_gpcpd"
"1999-06-30T23:59:00.000","FY 1998-1999","44962176","695792","64.62","48339.22","132.44"
"2000-06-30T23:59:00.000","FY 1999-2000","47130621","703392","67","50123.05","137.32"
"2001-06-30T23:59:00.000","FY 2000-2001","47341470","798977","59.25","44324.03","121.44"
"2002-06-30T23:59:00.000","FY 2001-2002","46005863","708221","64.96","48593.27","133.13"
"2003-06-30T23:59:00.000","FY 2002-2003","46694878","705945","66.15","49480.05","135.56"
"2004-06-30T23:59:00.000","FY 2003-2004","53708484","698612","76.88","57509.37","157.56"
"2005-06-30T23:59:00.000","FY 2004-2005","42006563","696177","60.34","45136.64","123.66"
"2006-06-30T23:59:00.000","FY 2005-2006","42364059","702607","60.3","45104.19","123.57"
"2007-06-30T23:59:00.000","FY 2006-2007","44732406","703231","63.61","47583.46","130.37"
"2008-06-30T23:59:00.000","FY 2007-2008","46152098","706073","65.36","48896.03","133.96"
"2009-06-30T23:59:00.000","FY 2008-2009","43609110","709602","61.46","45972.08","125.95"
"2010-06-30T23:59:00.000","FY 2009-2010","39262494","713556","55.02","41160.59","112.77"
"2011-06-30T23:59:00.000","FY 2010-2011","39582155","713399","55.48","41504.84","113.71"
"2012-06-30T23:59:00.000","FY 2011-2012","40164834","715082","56.17","42016.7","115.11"
"2013-06-30T23:59:00.000","FY 2012-2014","53315612","714820","74.59","55794.25","152.86"
