OBJECTID,Accident_ID,Date,Time,Street1,Distance,Measurement,Direction,Street2,StatePlaneX,StatePlaneY,Location 1,Zip Codes,Neighborhoods,Police Sector,Council Districts
195,201106210476,06/21/2011,1720,1807 STAPLES MILL ROAD,None,None,None,None,11774424,3736435,"(37.580400459, -77.494033912)",10123,84,6,8
227,201110170557,10/17/2011,1950,NATIONAL ST,None,None,None,CENTRAL AVE,11804630,3713833,"(37.517401171, -77.390721282)",10375,53,1,4
241,201201060579,01/06/2012,1830,BROAD ST,None,None,None,LAUREL ST,11787586,3725465,"(37.549880708, -77.44903811)",23523,114,12,1
296,201209050424,09/05/2012,1730,23RD ST,None,None,None,LEIGH ST,11796607,3720274,"(37.535345247, -77.418127908)",9689,110,1,4
492,201506140481,06/14/2015,1849,JEFFERSON DAVIS HWY,None,None,None,YORKTOWN AVE,11789007,3702321,"(37.486278357, -77.445028892)",10382,13,5,5
252,201203110386,03/11/2012,1755,BROAD ST,30,Feet,E,HAMILTON ST,11778667,3732708,"(37.570040265, -77.479531849)",10123,108,6,1
133,201009150110,09/15/2010,730,HULL ST,None,None,None,COMMERCE ROAD,11790035,3715676,"(37.522922781, -77.440969741)",10104,9,11,9
341,201303070466,03/07/2013,1815,OLD MAIN ST,None,None,None,E MAIN ST,11797420,3714374,"(37.519116942, -77.415557973)",10375,112,11,4
483,201501270370,01/27/2015,1825,MEADOW ST,None,None,None,MAIN ST,11782713,3725168,"(37.549212876, -77.465857471)",23523,126,8,7
448,201407280400,07/28/2014,1813,CARTER ST,100,Feet,S,COLORADO AVE,11781774,3720857,"(37.537402105, -77.469258638)",23523,76,8,7
50,200907280692,07/28/2009,2201,NICKEL BRIDGE,None,None,None,None,0,0,"(21.84881981, -111.898763822)",,,,
229,201110210689,10/21/2011,2054,HULL STREET ROAD,669,Feet,E,LINWOOD AVE,11774837,3703154,"(37.488990823, -77.493832835)",10111,123,4,6
469,201410220188,10/22/2014,1156,MONUMENT AVE,None,None,None,STUART CIRCLE,11785044,3726368,"(37.552437937, -77.457771678)",23523,126,8,1
287,201208070392,08/07/2012,1549,JEFFERSON DAVIS HWY,260,Feet,S,HADEN AVE,11789299,3699130,"(37.477506097, -77.444145571)",10382,70,5,5
85,200911210278,11/21/2009,936,1500 MECHANICSVILLE TPKE,None,None,None,None,11797199,3724498,"(37.546926584, -77.415919083)",9689,79,2,9
458,201409020476,09/02/2014,2000,DOCK ST,None,None,None,18TH ST,11793549,3718942,"(37.53178306, -77.428725722)",9689,112,11,4
422,201403280297,03/28/2014,1427,2ND ST,None,None,None,CARY ST,11789253,3722291,"(37.541113114, -77.443410782)",23520,83,12,9
112,201006100547,06/10/2010,1752,WINTER ROAD,500,Feet,W,SANBORN DR,11769921,3705422,"(37.495362046, -77.510693734)",10111,148,4,6
156,201011180342,11/18/2010,1313,CANAL ST,None,None,None,8TH ST,11790586,3720802,"(37.536982933, -77.438871223)",23520,19,12,9
276,201206250668,06/25/2012,2025,FOREST HILL AVE,None,None,None,LEICESTER ROAD,11773455,3716716,"(37.5262759, -77.498099762)",10111,17,7,3
113,201006120447,06/12/2010,1639,TROY ROAD,20,Feet,W,FERNBROOK DR,11776313,3700458,"(37.481543578, -77.488845393)",10104,115,4,6
38,200906100718,06/10/2009,2100,5TH ST,None,None,None,HOSPITAL ST,11793301,3726134,"(37.551541553, -77.429299626)",23520,54,9,9
44,200907210472,07/21/2009,1638,DOCK ST,200,Feet,W,16TH ST,11792915,3719160,"(37.532401475, -77.43090349)",23520,113,11,4
28,200905190497,05/19/2009,1716,FAIRMOUNT AVE,None,None,None,21ST ST,11797732,3722905,"(37.542535054, -77.414143923)",9689,45,2,4
60,200908230427,08/23/2009,1539,IDLEWOOD AVE,50,Feet,W,BELVIDERE ST,11787589,3722523,"(37.541801245, -77.449140726)",23523,94,12,7
