"licnum","tradename","add1","citycounty","st","postalcode","ctycnty","estabdesc","privdesc","statusdesc","wine_beereffectdate","wine_beerexpirdate","mixbevstatusdesc","mixbeveffdate","mixbevexpirdate","origdate"
"72953","88 GARDEN","6135 MIDLOTHIAN TPKE","RICHMOND","VA","23225-5921","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","1995-09-12T00:00:00.000"
"72975","OCEAN MARKET","2438 VENABLE ST","RICHMOND","VA","23223-6465","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1996-07-11T00:00:00.000"
"73113","FINE FOOD MARKET","700 IDLEWOOD AVE","RICHMOND","VA","23220-6225","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises & Keg Permit","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000",,,,"1995-10-05T00:00:00.000"
"73670","48 HOURS","5091 FOREST HILL AVE","RICHMOND","VA","23225-3147","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-02-01T00:00:00.000","2019-01-31T00:00:00.000",,,,"1996-02-15T00:00:00.000"
"73906","THE SIDEWALK CAFE","2101 W MAIN ST","RICHMOND","VA","23220-4527","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","1996-03-01T00:00:00.000"
"74614","J EMERSON INCORPORATED","5716 GROVE AVE","RICHMOND","VA","23226-2346","Richmond City","Gourmet Shop","Wine and Beer Off Premises & Keg Permit & Delivery Permit","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000",,,,"1996-06-04T00:00:00.000"
"75153","CURBSIDE CAFE","2525 HANOVER AVE","RICHMOND","VA","23220-4003","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","1996-09-26T00:00:00.000"
"76012","THE FOREST RESTAURANT","5057 FOREST HILL AVE","RICHMOND","VA","23225-3147","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-05-01T00:00:00.000","2019-04-30T00:00:00.000","Active","2018-05-01T00:00:00.000","2019-04-30T00:00:00.000","1997-05-12T00:00:00.000"
"76366","MOJOS","733 W CARY ST","RICHMOND","VA","23220-5504","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","1997-03-27T00:00:00.000"
"77722","WESTWOOD PHARMACY","5823 PATTERSON AVE","RICHMOND","VA","23226-2536","Richmond City","Drug Store","Wine & Beer Off Premises & Keg Permit","Active","2019-02-01T00:00:00.000","2020-01-31T00:00:00.000",,,,"1998-02-01T00:00:00.000"
"77756","BACCHUS","2 N MEADOW ST","RICHMOND","VA","23220-4524","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","1998-02-24T00:00:00.000"
