"licnum","tradename","add1","citycounty","st","postalcode","ctycnty","estabdesc","privdesc","statusdesc","wine_beereffectdate","wine_beerexpirdate","mixbevstatusdesc","mixbeveffdate","mixbevexpirdate","origdate"
"28","THE COUNTRY CLUB OF VIRGINIA","6031 SAINT ANDREWS LN","RICHMOND","VA","23226-3210","Richmond City","Club - National","Wine & Beer On & Off Premises & Keg Permit","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000","1948-07-01T00:00:00.000"
"67","ROWLAND FINE DINING","2132 W MAIN ST","RICHMOND","VA","23220-4528","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2019-01-01T00:00:00.000","2019-12-31T00:00:00.000","Active","2019-01-01T00:00:00.000","2019-12-31T00:00:00.000","1998-01-16T00:00:00.000"
"957","THE TUCKAHOE WOMANS CLUB","4215 DOVER RD","RICHMOND","VA","23221-3267","Richmond City","Club - National","Wine & Beer On Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1954-12-14T00:00:00.000"
"1025","CIVITAN WORKSHOP","1901 WESTWOOD AVE","RICHMOND","VA","23227-4347","Richmond City","Out of Bond Permit","Out of Bond Certificate of Approval","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1992-11-01T00:00:00.000"
"1526","KUBA KUBA","1601 PARK AVE","RICHMOND","VA","23220-2908","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000",,,,"1998-06-05T00:00:00.000"
"2057","IPANEMA CAFE","917 W GRACE ST","RICHMOND","VA","23220-4109","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","1998-09-29T00:00:00.000"
"2655","BEARS HIDEAWAY RESTAURANT","5267 HULL STREET RD","RICHMOND","VA","23224-2423","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-03-02T00:00:00.000","2019-02-28T00:00:00.000","Active","2018-03-02T00:00:00.000","2019-02-28T00:00:00.000","1998-12-01T00:00:00.000"
"3103","ACCA TEMPLE SHRINE AAONMS","1712 BELLEVUE AVE","RICHMOND","VA","23227","Richmond City","Club - National","Wine & Beer On Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1950-01-10T00:00:00.000"
"3321","PICCOLA ITALY PIZZA & SUBS","1100 W MAIN ST","RICHMOND","VA","23220-4810","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","Voluntary  Surrendered","2015-05-07T00:00:00.000","2015-08-31T00:00:00.000","1999-01-07T00:00:00.000"
"3599","O TOOLES GAY 90S RESTAURANT","4800 FOREST HILL AVE","RICHMOND","VA","23225-3144","Richmond City","Restaurant","Wine & Beer On & Off Premises & Keg Permit","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000","1966-10-14T00:00:00.000"
"3605","PEGASUS RESTAURANT","5604 PATTERSON AVE","RICHMOND","VA","23226","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","1998-09-01T00:00:00.000"
"4944","CHIOCCAS","425 N BELMONT AVE","RICHMOND","VA","23221-2416","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-04-01T00:00:00.000","2019-03-31T00:00:00.000","Active","2018-04-01T00:00:00.000","2019-03-31T00:00:00.000","1953-10-13T00:00:00.000"
"5259","SODEXHO MANAGEMENT INC","701 E BRYD ST","RICHMOND","VA","23219","Richmond City","Caterers Establishment","Annual Caterers License","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1999-06-11T00:00:00.000"
"5423","MOCHA TEMPLE # 7","611 N 2ND ST","RICHMOND","VA","23219-1311","Richmond City","Club - National","Wine & Beer On Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1964-11-05T00:00:00.000"
"5526","PALANI DRIVE","401 LIBBIE AVE STE 1","RICHMOND","VA","23226-2661","Richmond City","Restaurant","Wine & Beer On Premises","Active","2019-01-01T00:00:00.000","2019-12-31T00:00:00.000","Active","2019-01-01T00:00:00.000","2019-12-31T00:00:00.000","1999-01-13T00:00:00.000"
"5565","JACK RABBIT CONVENIENCE LLC","3415 HULL ST","RICHMOND","VA","23224-3452","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2019-01-01T00:00:00.000","2019-12-31T00:00:00.000",,,,"1999-01-21T00:00:00.000"
"5799","CLUB 533","700 N 3RD ST","RICHMOND","VA","23219","Richmond City","Club - National","Beer On Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1999-02-24T00:00:00.000"
"5816","SINE IRISH PUB","1327 E CARY ST","RICHMOND","VA","23219","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-05-01T00:00:00.000","2019-04-30T00:00:00.000","Active","2018-05-01T00:00:00.000","2019-04-30T00:00:00.000","1999-05-05T00:00:00.000"
"6109","BAKERS CRUST BREAD MARKET","3553 W CARY ST","RICHMOND","VA","23221","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-05-01T00:00:00.000","2019-04-30T00:00:00.000","Active","2018-05-01T00:00:00.000","2019-04-30T00:00:00.000","1999-05-28T00:00:00.000"
"6514","SONGS MARKET","1400 MECHANICSVILLE TPKE","RICHMOND","VA","23223","Richmond City","Grocery Store","Wine & Beer Off Premises","Active","2018-05-01T00:00:00.000","2019-04-30T00:00:00.000",,,,"1999-05-17T00:00:00.000"
"6623","THE CANAL CLUB","1545 E CARY ST","RICHMOND","VA","23219","Richmond City","Restaurant","Wine & Beer On & Off Premises & Keg Permit","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","2000-03-01T00:00:00.000"
"6714","BAJA BEAN CO REST & CANTINA","1520 W MAIN ST","RICHMOND","VA","23220-4687","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000","1999-05-28T00:00:00.000"
"7181","B & S FOOD MART","3610 E BROAD ROCK RD","RICHMOND","VA","23224-3426","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000",,,,"1999-09-02T00:00:00.000"
"7448","GALAXY DINER","3109 W CARY ST","RICHMOND","VA","23221-3503","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","1999-09-27T00:00:00.000"
"8600","ORIGINAL DEVILS CLUB","16 E MARSHALL ST","RICHMOND","VA","23219-1744","Richmond City","Club - National","Wine & Beer On Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1953-10-06T00:00:00.000"
"9148","WILLOW OAKS COUNTRY CLUB","6228 FOREST HILL AVE","RICHMOND","VA","23225-1834","Richmond City","Club - National","Wine & Beer On & Off Premises","Active","2018-09-26T00:00:00.000","2019-08-31T00:00:00.000","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000","1957-12-20T00:00:00.000"
"9261","LADY N AWLINS","2329 W MAIN ST","RICHMOND","VA","23220-4434","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","2000-03-01T00:00:00.000"
"9816","FOOD LION 1156","5620 HULL STREET RD","RICHMOND","VA","23224-2840","Richmond City","Grocery Store","Wine & Beer Off Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"2000-07-01T00:00:00.000"
"9887","FOOD LION 1240","6815 FOREST HILL AVE","RICHMOND","VA","23225-1603","Richmond City","Gourmet Shop","Wine & Beer Off Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"2000-07-01T00:00:00.000"
"9890","SAM MILLERS WAREHOUSE","1208 E CARY ST","RICHMOND","VA","23219-4116","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000","1974-07-26T00:00:00.000"
"9903","FOOD LION 1318","6490 JAHNKE RD","RICHMOND","VA","23225","Richmond City","Gourmet Shop","Wine & Beer Off Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"2000-07-01T00:00:00.000"
"10788","KROGER # 504","3507 W CARY ST","RICHMOND","VA","23221-2728","Richmond City","Gourmet Shop","Wine & Beer Off Premises & Keg Permit","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"2000-08-01T00:00:00.000"
"10892","CARIBBEAN CHEF","901 HULL ST","RICHMOND","VA","23224","Richmond City","Restaurant","Wine & Beer On Premises","Active","2019-01-01T00:00:00.000","2019-12-31T00:00:00.000","Voluntary  Surrendered","2008-12-31T00:00:00.000","2008-12-31T00:00:00.000","2001-01-26T00:00:00.000"
"10900","MCCORMACKS IRISH PUB","12 N 18TH ST","RICHMOND","VA","23223-6902","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","2000-09-18T00:00:00.000"
"11367","OLD ORIGINAL BOOKBINDERS","2306 E CARY ST","RICHMOND","VA","23223-7822","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","Active","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","2000-11-09T00:00:00.000"
"11683","PAPER MOON","3300 NORFOLK ST","RICHMOND","VA","23230","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2018-04-01T00:00:00.000","2019-03-31T00:00:00.000","Voluntary  Surrendered","2008-12-01T00:00:00.000","2009-03-31T00:00:00.000","2001-04-26T00:00:00.000"
"11716","JD SUPERMARKET","3600 JEFFERSON DAVIS HWY","RICHMOND","VA","23234","Richmond City","Grocery Store","Wine & Beer Off Premises","Active","2019-02-01T00:00:00.000","2020-01-31T00:00:00.000",,,,"2000-12-27T00:00:00.000"
"11880","BRUNCH","2600 W MAIN ST","RICHMOND","VA","23220-4313","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-02-01T00:00:00.000","2019-01-31T00:00:00.000","Active","2018-02-01T00:00:00.000","2019-01-31T00:00:00.000","2001-02-05T00:00:00.000"
"11985","THE JEFFERSON HOTEL","101 W FRANKLIN ST","RICHMOND","VA","23220-5009","Richmond City","Hotel","Wine & Beer On & Off Premises","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000","2001-06-25T00:00:00.000"
"12037","THE RENAISSANCE","107 W BROAD ST","RICHMOND","VA","23220","Richmond City","Caterers Establishment","Annual Caterers License","Active","2018-04-01T00:00:00.000","2019-03-31T00:00:00.000",,,,"2002-04-05T00:00:00.000"
"12174","3 MONKEYS BAR AND GRILL","2525 W MAIN ST","RICHMOND","VA","23220-4427","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000","2001-08-03T00:00:00.000"
"12551","FIREHOUSE THEATRE PROJECT INC","1609 W BROAD ST","RICHMOND","VA","23220","Richmond City","Annual MB Special Event","Annual Mixed Beverage Special Event","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000",,,,"2001-10-19T00:00:00.000"
"12551","FIREHOUSE THEATRE PROJECT INC","1609 W BROAD ST","RICHMOND","VA","23220","Richmond City","Annual MB Special Event","Fairground","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000",,,,"2001-10-19T00:00:00.000"
"12609","BRANCH & VINE","2001 1/2 W MAIN ST","RICHMOND","VA","23220-4525","Richmond City","Restaurant","Wine and Beer On & Off Premises & Delivery Permit","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000","Voluntary  Surrendered","2018-06-14T00:00:00.000","2018-06-30T00:00:00.000","2001-07-17T00:00:00.000"
"12894","ATHINIA IMPORTS","808 N MULBERRY ST","RICHMOND","VA","23220-1914","Richmond City","Wine Wholesaler","Wholesale Wine (150,000 gals or less annually)","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"2001-07-01T00:00:00.000"
"12895","ATHINIA IMPORTS","808 N MULBERRY ST","RICHMOND","VA","23220-1914","Richmond City","Beer Wholesaler","Wholesale Beer (300,000 cases or less annually)","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"2001-07-01T00:00:00.000"
"13338","A-Z EXPRESS","6232 JAHNKE RD","RICHMOND","VA","23225-2641","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000",,,,"2002-03-07T00:00:00.000"
"13609","LEWIS GINTER RECREATION ASSOCIATION","3421 HAWTHORNE AVE","RICHMOND","VA","23222","Richmond City","Club - National","Wine & Beer On Premises","Active","2019-02-01T00:00:00.000","2020-01-31T00:00:00.000",,,,"2002-02-21T00:00:00.000"
"13829","RICHMOND BALLET, THE","407 E CANAL ST","RICHMOND","VA","23219","Richmond City","Annual MB Special Event","Annual Mixed Beverage Special Event","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000",,,,"2001-10-04T00:00:00.000"
"13829","RICHMOND BALLET, THE","407 E CANAL ST","RICHMOND","VA","23219","Richmond City","Annual MB Special Event","Fairground","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000",,,,"2001-10-04T00:00:00.000"
"13841","FAROUKS HOUSE OF INDIA","3033 W CARY ST","RICHMOND","VA","23221-3501","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000",,,,"2001-11-02T00:00:00.000"
"13865","SUPER STARS PIZZA","5700 PATTERSON AVE","RICHMOND","VA","23226","Richmond City","Restaurant","Beer On & Off Premises","Active","2018-02-01T00:00:00.000","2019-01-31T00:00:00.000",,,,"2001-09-28T00:00:00.000"
"13884","BARCODE","6 E GRACE ST","RICHMOND","VA","23219-1740","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","Active","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","2001-11-07T00:00:00.000"
"14148","RICHMOND COLISEUM","601 E LEIGH ST","RICHMOND","VA","23219-1431","Richmond City","Food Concession - Stadium","Wine & Beer On Premises","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000",,,,"2001-10-19T00:00:00.000"
"14149","THE COLISEUM CLUB","601 E LEIGH ST","RICHMOND","VA","23219-1431","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000","2001-10-19T00:00:00.000"
"14277","EDOS SQUID","411 N HARRISON ST","RICHMOND","VA","23220-3614","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","Active","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","2001-11-15T00:00:00.000"
"14303","MILITARY RETIREES CLUB","2220 SLEDD ST","RICHMOND","VA","23222","Richmond City","Club - National","Wine & Beer On Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1975-03-20T00:00:00.000"
"15896","KINGS SUPER MARKET","2102 KESWICK AVE","RICHMOND","VA","23224-7420","Richmond City","Grocery Store","Wine & Beer Off Premises","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000",,,,"2002-03-11T00:00:00.000"
"16178","WAL MART SUPERCENTER # 2821","2501 SHEILA LN","RICHMOND","VA","23225-2041","Richmond City","Gourmet Shop","Wine & Beer Off Premises & Keg Permit","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000",,,,"2002-03-20T00:00:00.000"
"16743","UNITED GROCERY","2200 BROAD ROCK BLVD","RICHMOND","VA","23224-4810","Richmond City","Grocery Store","Wine & Beer Off Premises","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000",,,,"2002-09-05T00:00:00.000"
"17085","K FOOD STORE","3159 MIDLOTHIAN TPKE","RICHMOND","VA","23224-1957","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-05-01T00:00:00.000","2019-04-30T00:00:00.000",,,,"2002-05-20T00:00:00.000"
"18734","CARY STREET BP AMOCO","1920 W CARY ST","RICHMOND","VA","23220-5331","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"2002-07-03T00:00:00.000"
"18922","THE MARKET PLACE # 14","1235 MOSBY ST","RICHMOND","VA","23223-4311","Richmond City","Grocery Store","Wine & Beer Off Premises","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000",,,,"1976-08-02T00:00:00.000"
"19091","HOPKINS STORE THE YELLOW STORE","1437 HOPKINS RD","RICHMOND","VA","23224-6511","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000",,,,"2002-10-01T00:00:00.000"
"19209","ARCO IRIS LATINO MARKET INC","6445 MIDLOTHIAN TPKE","RICHMOND","VA","23225-5607","Richmond City","Grocery Store","Beer Off Premises","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000",,,,"2002-10-11T00:00:00.000"
"19273","LOCKER ROOM RESTAURANT","5035 FOREST HILL AVE","RICHMOND","VA","23225-3147","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","Active","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","1976-09-22T00:00:00.000"
"19426","COMFORT","200 W BROAD ST","RICHMOND","VA","23220","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","2002-09-18T00:00:00.000"
"19566","CAPITAL ALE HOUSE","623 E MAIN ST","RICHMOND","VA","23219-2405","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","Active","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","2002-11-04T00:00:00.000"
"20574","BELT BOULEVARD BP","1 W BELT BLVD","RICHMOND","VA","23225-6346","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000",,,,"2002-11-06T00:00:00.000"
"22411","REGULARS SOCIAL CLUB","2523 CHAMBERLAYNE AVE","RICHMOND","VA","23222-4214","Richmond City","Club - National","Wine & Beer On Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1990-07-01T00:00:00.000"
"23543","FIELDENS","2033 W BROAD ST","RICHMOND","VA","23220","Richmond City","Club - National","Wine & Beer On Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1979-04-25T00:00:00.000"
"23656","MORTONS OF CHICAGO THE STEAKHOUSE","111 VIRGINIA ST","RICHMOND","VA","23219-4162","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-02-01T00:00:00.000","2019-01-31T00:00:00.000","Active","2018-02-01T00:00:00.000","2019-01-31T00:00:00.000","2003-02-03T00:00:00.000"
"25334","MOREKAS","2869 BROAD ROCK BLVD","RICHMOND","VA","23224-6109","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2019-01-01T00:00:00.000","2019-12-31T00:00:00.000",,,,"2003-01-30T00:00:00.000"
"25723","CRENSHAWS GROCERY 2","1801 N 22ND ST","RICHMOND","VA","23223-4433","Richmond City","Grocery Store","Wine & Beer Off Premises","Active","2018-04-01T00:00:00.000","2019-03-31T00:00:00.000",,,,"1978-11-14T00:00:00.000"
"25886","BANDITOS BURRITO LOUNGE","2905 PATTERSON AVE","RICHMOND","VA","23221","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","2003-03-01T00:00:00.000"
"26049","FAS MART # 72","2107 SEMMES AVE","RICHMOND","VA","23225-3843","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000",,,,"2003-04-01T00:00:00.000"
"26051","FAS MART # 75","1201 WESTOVER HILLS BLVD","RICHMOND","VA","23225-4433","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000",,,,"2003-08-27T00:00:00.000"
"26053","FAS MART # 79","6220 MIDLOTHIAN TPKE","RICHMOND","VA","23225-5810","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000",,,,"2003-04-29T00:00:00.000"
"26080","FAS MART # 77","6401 HULL STREET RD","RICHMOND","VA","23224","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000",,,,"2003-04-04T00:00:00.000"
"26251","GOLDIES CONVENIENCE STORE","3338 N BOULEVARD","RICHMOND","VA","23230","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-05-01T00:00:00.000","2019-04-30T00:00:00.000",,,,"2003-05-23T00:00:00.000"
"26257","3RD ST DINER","218 E MAIN ST","RICHMOND","VA","23219-3715","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000","2003-07-11T00:00:00.000"
"26502","P F CHANGS CHINA BISTRO","9212 STONY POINT PKWY","RICHMOND","VA","23235-1955","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-12-01T00:00:00.000","2019-11-30T00:00:00.000","Active","2018-12-01T00:00:00.000","2019-11-30T00:00:00.000","2003-09-11T00:00:00.000"
"26594","THE SHEPPARD STREET TAVERN","2922 PARK AVE","RICHMOND","VA","23221","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-12-01T00:00:00.000","2019-11-30T00:00:00.000","Active","2018-12-01T00:00:00.000","2019-11-30T00:00:00.000","2003-12-18T00:00:00.000"
"26734","BUZ AND NEDS REAL BARBECUE","1119 N BOULEVARD","RICHMOND","VA","23230-4805","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000","2004-02-13T00:00:00.000"
"27495","JOHN MARSHALL LODGE 2 FOP","410 PLAZAVIEW RD","RICHMOND","VA","23224-1230","Richmond City","Club - National","Wine & Beer On Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1979-09-26T00:00:00.000"
"27741","QUICK N EASY","4105 W BROAD ST","RICHMOND","VA","23230-3301","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000",,,,"2003-08-19T00:00:00.000"
"27743","MAIN STAGE/GOLD ROOM/HOLLYWOOD HOOKAH","112 N 5TH ST","RICHMOND","VA","23219-2204","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000","2003-10-02T00:00:00.000"
"27810","701 EXPRESS","701 JEFFERSON DAVIS HWY","RICHMOND","VA","23224-5244","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000",,,,"2003-10-24T00:00:00.000"
"27813","SIMPSONS MARKET","3006 MEADOWBRIDGE RD","RICHMOND","VA","23222-3104","Richmond City","Grocery Store","Wine & Beer Off Premises","Active","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000",,,,"1979-10-12T00:00:00.000"
"27845","BRIO TUSCAN GRILLE","9210 STONY POINT PKWY","RICHMOND","VA","23235-1955","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","2003-09-11T00:00:00.000"
"27913","PENNY LANE PUB & RESTAURANT","421 E FRANKLIN ST","RICHMOND","VA","23219-2205","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000","2003-11-21T00:00:00.000"
"28029","BUFFALO WILD WINGS BAR & GRILL","1501 E CARY ST","RICHMOND","VA","23219-4251","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000","2003-10-23T00:00:00.000"
"28590","KROGER # 511","901 N LOMBARDY ST","RICHMOND","VA","23220","Richmond City","Gourmet Shop","Wine & Beer Off Premises & Keg Permit","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"2003-11-03T00:00:00.000"
"28616","VIRGINIA MUSEUM MEMBERS RESTAURANT","BOULEVARD & GROVE AVE","RICHMOND","VA","23221","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000","1980-05-02T00:00:00.000"
"28973","BRUCE SUPER MARKET","1641 COMMERCE RD","RICHMOND","VA","23224-7501","Richmond City","Grocery Store","Wine & Beer Off Premises","Active","2019-02-01T00:00:00.000","2020-01-31T00:00:00.000",,,,"2004-02-19T00:00:00.000"
"29344","A PLUS 25","5024 BROOK RD","RICHMOND","VA","23227","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"2003-11-18T00:00:00.000"
"29410","HONEY WHYTES ALL AMERICAN CAFE","2116 E MAIN ST","RICHMOND","VA","23223-7051","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-12-01T00:00:00.000","2019-11-30T00:00:00.000","Active","2018-12-01T00:00:00.000","2019-11-30T00:00:00.000","2003-12-22T00:00:00.000"
"29415","ROBIN INN","2601 PARK AVE","RICHMOND","VA","23220","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2018-05-01T00:00:00.000","2019-04-30T00:00:00.000",,,,"1980-07-28T00:00:00.000"
"29470","ATHINIA IMPORTS","808 N MULBERRY ST","RICHMOND","VA","23220-1914","Richmond City","Wine Importer","Wine Importer - In-State","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"2003-11-17T00:00:00.000"
"29471","ATHINIA IMPORTS","808 N MULBERRY ST","RICHMOND","VA","23220-1914","Richmond City","Beer Imported","Beer Imported - In-State","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"2003-11-17T00:00:00.000"
