"fiscal_year","period","dist_amount","entry"
"2016","01 | JUL","139767801.34","17849"
"2016","02 | AUG","76695067.57","18083"
"2016","03 | SEP","80695738.34","13968"
"2016","04 | OCT","92101293.36","13547"
"2016","05 | NOV","86840144.56","13511"
"2016","06 | DEC","91600124.31","14193"
"2016","07 | JAN","91587076.87","10232"
"2016","08 | FEB","101642005.89","13848"
"2016","09 | MAR","92737674.77","13172"
"2016","10 | APR","86918146.46","14738"
"2016","11 | MAY","126288882.38","12260"
"2016","12 | JUN","209951679.54","14540"
"2017","01 | JUL","154318966.71","12854"
"2017","02 | AUG","98358971.21","17079"
"2017","03 | SEP","83130623.08","13996"
"2017","04 | OCT","90536375.60","14569"
"2017","05 | NOV","75248602.18","11900"
"2017","06 | DEC","101938758.13","14070"
"2017","07 | JAN","173710206.42","13623"
"2017","08 | FEB","147801237.77","14080"
"2017","09 | MAR","105164769.02","16814"
"2017","10 | APR","96513431.87","12774"
"2017","11 | MAY","145412519.33","20288"
"2017","12 | JUN","249836318.30","21099"
"2018","01 | JUL","152484149.21","13880"
"2018","02 | AUG","103036313.34","14344"
"2018","03 | SEP","99714522.28","12191"
"2018","04 | OCT","92839955.30","13655"
"2018","05 | NOV","99070546.89","15258"
"2018","06 | DEC","85569384.28","14208"
"2018","07 | JAN","177626212.17","13159"
"2018","08 | FEB","128937603.53","13580"
"2018","09 | MAR","90207245.12","15512"
"2018","10 | APR","88039430.77","12846"
"2018","11 | MAY","130797418.33","37438"
"2018","12 | JUN","234613859.45","19679"
"2019","01 | JUL","146411975.82","11719"
"2019","02 | AUG","143932396.18","12789"
"2019","03 | SEP","76260300.96","21705"
"2019","04 | OCT","101803224.87","35299"
"2019","05 | NOV","105138202.45","17697"
"2019","06 | DEC","102226821.19","14287"
"2019","07 | JAN","197518994.39","16828"
"2019","08 | FEB","137288995.09","15553"
"2019","09 | MAR","115118028.28","17115"
"2019","10 | APR","120877118.23","17649"
"2019","11 | MAY","116686287.53","17216"
