"title","details","updated"
"DELAYS","None at this time.","2016-06-09T18:00:25.000Z"
"DETOUR ROUTE 75 & 79","LONG TERM DETOUR DUE TO ROAD CONSTRUCTION","2016-06-09T18:00:29.000Z"
"DETOUR ROUTE 45","Route 45 to Rockville Regional will stay on Middle Lane, by-passing Gibbs Street and Beall Avenue, due to construction.","2016-06-09T18:00:36.000Z"
"DETOUR ROUTE 34","34 to Friendship Heights, bypass Woodmont, right on Battery Lane, left on Old Georgetown Rd, left into Bethesda Station.","2016-06-09T18:00:33.000Z"
"DETOUR ROUTE 34","34 to Wheaton: north on Old Georgetown Rd, right on Battery Lane, left on Wisconsin Ave, back on route.","2016-06-09T18:00:33.000Z"
"MISSED TRIPS","None at this time.","2016-06-09T18:00:22.000Z"
"DETOUR ROUTE 75 & 79","To Germantown Transit: Leaving Clarksburg, continue on Clarksburg Road right on Snowden Farm Pkwy, right on Clarks Crossing Drive, left on Clarksburg Square, left on Snowden Farm Pkwy, back on route. In both directions.","2016-06-09T18:00:29.000Z"
