"publication_year","department","dataset_name","status","url"
"FY17","Agriculture","Annual Farm Tours","Published","https://data.montgomerycountymd.gov/Community-Recreation/Farm-Tour/pc9u-imet"
"FY17","Agriculture","Easement","Published","https://data.montgomerycountymd.gov/Community-Recreation/Agricultural-and-Conservation-Easement-Inventory/jh6m-rvdj/data"
"FY17","Agriculture","Geographic Representation of Reserves","Published","https://data.montgomerycountymd.gov/Environment/Agricultural-Preservation-District/wktf-pae6"
"FY17","Alcohol Beverage Services","Product Purchases by DLC","Published","https://data.montgomerycountymd.gov/Community-Recreation/Product-Purchases-by-DLC/kpfd-c5d5/data"
"FY17","Alcohol Beverage Services","Sales Data (warehouse and stores)","Published","https://data.montgomerycountymd.gov/Community-Recreation/Warehouse-and-Retail-Sales/v76h-r7br/data"
"FY17","Alcohol Beverage Services","Special Order Fulfillment","Published","https://data.montgomerycountymd.gov/Community-Recreation/Department-of-Liquor-Control-Special-Order-Fulfill/ne9e-g5cg/data"
"FY17","Alcohol Beverage Services","Store Inventory and sale items","Published","https://data.montgomerycountymd.gov/Community-Recreation/Store-Inventory-and-Sale-Items/ib5t-5ncy/data"
"FY17","Community Engagement Cluster","RSC Locations and Hours","Published","https://data.montgomerycountymd.gov/Community-Recreation/Regional-Services-Centers/tydp-ctbi"
"FY17","Consumer Protection","Commercial Parking Lots","Published","https://data.montgomerycountymd.gov/Consumer-Housing/Commercial-Parking-Lots/weic-kzbi"
"FY17","Consumer Protection","OCP Licensing","Published","https://data.montgomerycountymd.gov/Consumer-Housing/New-Home-Builders/c7hs-c9qq"
"FY17","Consumer Protection","Second Hand Personal Property","Published","https://data.montgomerycountymd.gov/Consumer-Housing/Second-Hand-Personal-Property/2pp9-yjcs"
"FY17","Correction and Rehabilitation","Correctional Facility Average Daily Population","Published","https://data.montgomerycountymd.gov/Public-Safety/Correctional-Facility-Average-Daily-Population/gknn-vrfa"
"FY17","County Executives Office","Executive Orders","Published","https://data.montgomerycountymd.gov/Government/Executive-Orders/nwpd-eiz6/data"
"FY17","Emergency Management & Homeland Security","FEMA Disaster Reimbursements","Published","https://data.montgomerycountymd.gov/Public-Safety/FEMA-Disaster-Reimbursements/supq-ye8j/data"
"FY17","Emergency Management & Homeland Security","Shelter Activation Status","Published","https://data.montgomerycountymd.gov/Public-Safety/Emergency-Shelter-Activation-Status/mhua-idee/data"
"FY17","Employee Retirement Plans","Deferred Compensation Plan (DCP) participants","Published","https://na01.safelinks.protection.outlook.com/?url=http%3A%2F%2Fem-links.socrata.com%2Fwf%2Fclick%3Fupn%3DiXYDhytvTUpx-2Fw-2FkxmwhB52gUbbxBib7ZbjPdIXSKTLoT9O4vGExhQdEUlgZp29feskQttdckGC8dAjuxVgxqyOtZNGY6bDDU5ZqlUejUzbMHgq2OkxnzD3kA2K4wDyCFdsWVFFYdp0yQg72g49dIer9S-2B7p40vV1ypzqMWQvzY-3D_r-2B6rBVPyGmD0fdN9orXYpYKMdy5SwnP0oPK1XKYBqbLXAdlHdRr04UeM-2FFO-2BJ5zAIZaW6Axp-2B0yfd4jKLUW3nNAkI46tf0ZSHT700bXz2SvWmsgglqBuNd8PCL3pEqbaVy3SYxRw1peeg2cS5lRZHsj8gz1zvrVxXVwHavb6JV13AH4bcbYytR02HD-2FXsiuH66f82V5npfB2HVPWSpKKDLJ-2B2Azs16qfSS8hLVsysfk-3D&data=01%7C01%7Ckathy.luh%40montgomerycountymd.gov%7C8e766fbb9fb6436c4f3408d4ace33fb3%7C6e01b1f9b1e54073ac97778069a0ad64%7C1&sdata=%2BUTdAth%2BYQo672jDguzvL5C1mfpW%2BodgdLvdMQZUm6M%3D&reserved=0"
"FY17","Environmental Protection","Noise complaints","Published","https://data.montgomerycountymd.gov/Environment/Noise-Complaints/pv7j-pdxw/data"
"FY17","Environmental Protection","Rainscapes Rewards","Published","https://data.montgomerycountymd.gov/Environment/Rainscapes-Rewards-Projects/gtrx-qk3r"
"FY17","Environmental Protection","Stormwater facilities","Published","https://data.montgomerycountymd.gov/Environment/Stormwater-Facilities/5wqk-4any"
"FY17","Environmental Protection","Stream Restoration Map","Published","https://data.montgomerycountymd.gov/Environment/Stream-Restoration-Map/jvkn-48qv"
"FY17","Environmental Protection","Tree planting locations","Published","https://data.montgomerycountymd.gov/Environment/Tree-Planting-Locations/tzdk-4ivt"
"FY17","Environmental Protection","Water Quality Protection Charges","Published","https://data.montgomerycountymd.gov/Environment/Water-Quality-Protection-Charges/97f6-dhn4"
"FY17","Environmental Protection","Water Quality Stream Map -water level","Published","https://data.montgomerycountymd.gov/Environment/Water-Quality-Stream-Map/f9ya-b3gf"
"FY17","Ethics Commission","General Outside Employment","Published","https://data.montgomerycountymd.gov/Government/General-Outside-Employment/j6hr-qfpx"
"FY17","Ethics Commission","Lobbying Semi-Annual Activity Reports","Published","https://data.montgomerycountymd.gov/Government/Lobbying-Semi-Annual-Activity/d6t5-ejmw"
"FY17","Finance","Bag Tax","Published","https://data.montgomerycountymd.gov/Finance-Tax-Property/Bag-Tax/xnjh-vgc4"
"FY17","Finance","Property Tax Credits","Published","https://data.montgomerycountymd.gov/Finance-Tax-Property/Property-Tax-Credits/nidv-zajy"
"FY17","Housing & Community Affairs","MPDU","Published","https://data.montgomerycountymd.gov/Consumer-Housing/Moderately-Priced-Dwelling-Units/pbh5-g4e5/data"
"FY17","Housing & Community Affairs","Multi-family Housing Loans","Published","https://data.montgomerycountymd.gov/Consumer-Housing/Multi-Family-Home-Loans/n724-uy7d/data"
"FY17","Human Rights","Calendar of Events","Published","https://data.montgomerycountymd.gov/Community-Recreation/Human-Rights-Calendar/7tbu-af89/data"
"FY17","Management & Budget","Fiscal Revenues","Published","https://data.montgomerycountymd.gov/Finance-Tax-Property/Approved-Fiscal-Revenues/9qa6-3ucq"
"FY17","Permitting Services","Development Standards Variance","Published","https://data.montgomerycountymd.gov/Licenses-Permits/Development-Standard-Variance/ba7y-a7iy/data"
"FY17","Permitting Services","Door to Door Vendors License","Published","https://data.montgomerycountymd.gov/Licenses-Permits/Door-To-Door-Vendor-s-License/99mh-igdc/data"
"FY17","Permitting Services","Floodplain District Permits","Published","https://data.montgomerycountymd.gov/Licenses-Permits/Floodplain-District-Permit/sgci-afes/data"
"FY17","Permitting Services","Regular Route Vendors License","Published","https://data.montgomerycountymd.gov/Licenses-Permits/Regular-Route-Vendor-s-License/hdw5-8g8d/data"
