Establishment ID,Name,Address 1,Address 2,City,Zip,Inspection Date,Inspection Results,Food from Approved Source (C),Food Protected from Contamination (C),Ill Workers Restricted (C),Proper Hand Washing (C),Cooling Time and Temperature (C),Cold Holding Temperature (C),Hot Holding Temperature (C),Cooking Time and Temperature (C),Reheating Time and Temperature (C),Hot and Cold Running Water Provided (C),Proper Sewage Disposal (C),Toxic Substances & Pesticides,Rodent and Insects,Nutritional Labeling,Trans Fat Ban,No-Smoking Sign Posted,Inspection Type,Owner,Category,Type,Latitude,Longitude,Location,Council Districts,Councils,Communities,Zip Codes,Municipalities,Montgomery County Boundary
1053,GIANT FOOD #0169,13060 MIDDLEBROOK RD.,,GERMANTOWN,20874,08/25/2022,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Reinspection,"GIANT OF MARYLAND, LLC",Market,Food,39.1818,-77.2712,"(39.1818, -77.2712)",2,2,39,39,1,1
1053,GIANT FOOD #0169,13060 MIDDLEBROOK RD.,,GERMANTOWN,20874,02/18/2022,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"GIANT OF MARYLAND, LLC",Market,Food,39.1818,-77.2712,"(39.1818, -77.2712)",2,2,39,39,1,1
1053,GIANT FOOD #0169,13060 MIDDLEBROOK RD.,,GERMANTOWN,20874,10/11/2021,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"GIANT OF MARYLAND, LLC",Market,Food,39.1818,-77.2712,"(39.1818, -77.2712)",2,2,39,39,1,1
1053,GIANT FOOD #0169,13060 MIDDLEBROOK RD.,,GERMANTOWN,20874,09/02/2021,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Reinspection,"GIANT OF MARYLAND, LLC",Market,Food,39.1818,-77.2712,"(39.1818, -77.2712)",2,2,39,39,1,1
1053,GIANT FOOD #0169,13060 MIDDLEBROOK RD.,,GERMANTOWN,20874,09/02/2021,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Fire Call,"GIANT OF MARYLAND, LLC",Market,Food,39.1818,-77.2712,"(39.1818, -77.2712)",2,2,39,39,1,1
1053,GIANT FOOD #0169,13060 MIDDLEBROOK RD.,,GERMANTOWN,20874,04/12/2021,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"GIANT OF MARYLAND, LLC",Market,Food,39.1818,-77.2712,"(39.1818, -77.2712)",2,2,39,39,1,1
1053,GIANT FOOD #0169,13060 MIDDLEBROOK RD.,,GERMANTOWN,20874,12/03/2020,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Pre-Opening - Environmental,"GIANT OF MARYLAND, LLC",Market,Food,39.1818,-77.2712,"(39.1818, -77.2712)",2,2,39,39,1,1
1053,GIANT FOOD #0169,13060 MIDDLEBROOK RD.,,GERMANTOWN,20874,09/29/2020,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"GIANT OF MARYLAND, LLC",Market,Food,39.1818,-77.2712,"(39.1818, -77.2712)",2,2,39,39,1,1
11273,GIANT FOOD #0313,18331 LEAMAN FARM RD.,,GERMANTOWN,20874,04/25/2022,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"GIANT OF MARYLAND, LLC",Market,Food,39.1597,-77.2788,"(39.1597, -77.2788)",2,2,39,39,1,1
11273,GIANT FOOD #0313,18331 LEAMAN FARM RD.,,GERMANTOWN,20874,12/07/2021,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"GIANT OF MARYLAND, LLC",Market,Food,39.1597,-77.2788,"(39.1597, -77.2788)",2,2,39,39,1,1
