"date_effective","department","correct_desc","order_id","contact_name","contact_phone","signed"
"2021-01-08T00:00:00.000","DOT","Acceptance of an Option Contract Wisdom Tyron Martin & Monifa Alexander Martin, Clarksburg @ Snowden Farm Parkway, CIP 508000","001-21","Demetris Obrec","7-7258","Adriana Hochberg"
"2021-01-07T00:00:00.000","DOT","Acceptance of an Option Contract Chang Sup Choi and Hyunsoon Hur Choi, Clarksburg @ Snowden Farm Parkway, CIP 508000","002-21","Demetris Obrec","7-7258","Adriana Hochberg"
"2021-01-07T00:00:00.000","DOT","Acceptance of an Option Contract Carmela G. Stamper and David M. Stamper, Clarksburg A Snowden Farm Parkway, CIP 508000","003-21","Demetris Obrec","7-7258","Adriana Hochberg"
"2020-12-31T00:00:00.000","DOT","Disposition of building located on County Parking Lot No. 41, Bethesda Parking Lot District","158-20","Joshua Tracey","7-7256","Adriana Hochberg"
"2020-12-30T00:00:00.000","DOT","Traffic Order - Silver Spring - Barron Street T.O. 98-20","109-20","Boris Calderon","7-2183","Michael L. Paylor"
"2020-12-15T00:00:00.000","Other","COVID-19-Local Order Amending and Restating Order dated November 10, 2020","139-20AM","Lisa Austin","7-2590","Marc Elrich"
"2020-12-15T00:00:00.000","Permitting","Designation Of Strategic Economic Development Projects","141-20","Tina Benjamin","7-2002","Marc Elrich"
"2020-12-14T00:00:00.000","DGS","Disposition of County Property: Halpine View Real Property","155-20","Amy Donin","7-6174","Jerome Fletcher"
"2020-12-14T00:00:00.000","DOT","Acceptance of Grant of Temporary Construction Easement, Richard Bosnic and Kimberly Bosnic, Oak Drive Sidewalk, CIP 501908","156-20","Tiara McCray","7-7882","Adriana Hochberg"
"2020-12-14T00:00:00.000","DOT","Acceptance of an Option Contract, Ronald Lee Price, Oak Drive Sidewalk, CIP 501908","157-20","Tiara McCray","7-7862","Adriana Hochberg"
"2020-12-07T00:00:00.000","DOT","Acceptance of an Option Contract, Janice L. Jones, Clarksburg @ Snowden Farm Parkway, CIP 508000","144-20","Demetris Obrec","7-7258","Adriana Hochberg"
"2020-12-07T00:00:00.000","DOT","Acceptance of an Option Contract, David A.. Salkeid, Jr., Clarksburg Road Culvert Replacement Project, CIP 509753","143-20","Tiara McCray","7-7862","Adriana Hochberg"
