"fiscal_year","aspen_hill","chevy_chase","damascus","davis","gaithersburg","germantown","kensington_park","little_falls","long_branch","connie_morella","maggie_nightingale","noyes_library_for_children","olney","potomac","marilyn_j_praisner","quince_orchard","rockville","silver_spring","twinbrook","wheaton","white_oak","total"
"FY20","7643","2838","1388","1831","3333","1853","1060","437","365","3031","520","452","3861","852","213","2098","2064","11261","928","2492","1045","49565"
"FY19","5115","1627","813","1304","1953","1187","781","79","223","3415","581","225","3607","564","45","915","1352","8072","787","1490","632","34767"
"FY18","4569","2006","1453","1674","3426","1402","659","307","440","991","381","52","3140","864","197","953","650","10110","521","1413","120","35328"
