"category","facility","age_group","day","times"
"Badminton","Bauer Drive Community Center","18 & Up","Tuesday","6:00pm - 9:45pm"
"Basketball","Bauer Drive Community Center","17 & Under","Monday - Thursday","2:30pm - 5:45pm"
"Basketball","Bauer Drive Community Center","18 & Up","Thursday","8:15pm - 9:45pm"
"Basketball","Bauer Drive Community Center","55 & Up","Tuesday & Thursday","9:00am - 12:00pm"
"Basketball","Bauer Drive Community Center","All Ages","Saturday","2:00pm - 3:45pm"
"Micro Flyers","Bauer Drive Community Center","55 & Up","Wednesday","12:30pm - 2:30pm"
"Pickleball","Bauer Drive Community Center","55 & Up","Monday","12:30pm - 2:30pm"
"Pickleball (Instructional)","Bauer Drive Community Center","55 & UP","Friday","10:30am - 12:30pm"
"Pickleball (Advanced)","Bauer Drive Community Center","55 & Up","Friday","12:30pm - 2:30pm"
"Table Tennis","Bauer Drive Community Center","18 & Up","Tuesday & Thursday","8:25pm - 9:45pm"
"Tiny Tots","Bauer Drive Community Center","5 & Under w/Parent","Tuesday","12:00pm - 2:30pm"
"Volleyball","Bauer Drive Community Center","18 & Up","Wednesday","8:15pm - 9:45pm"
"Volleyball","Bauer Drive Community Center","55 & Up","Monday & Wednesday","10:30am - 12:30pm"
"Pickleball","Clara Barton Community Center","55 & Up","Monday","12:00pm - 1:15pm"
"Table Tennis","Clara Barton Community Center","18 & Up","Monday","6:00pm - 9:00pm"
"Table Tennis","Clara Barton Community Center","18 & Up","Tuesday & Thursday","5:00pm - 8:00pm"
"Badminton","Coffield Community Center","18 & Up","Thursday","6:00pm - 8:45pm"
"Basketball","Coffield Community Center","17 & Under","Monday - Friday","3:00pm - 6:00pm"
"Basketball","Coffield Community Center","18 & Up","Monday, Tuesday & Thursday","12:00pm - 2:00pm"
"Basketball","Coffield Community Center","18 & Up","Wednesday & Friday","12:00pm - 3:00pm"
"Basketball","Coffield Community Center","18 & Up","Wednesday","6:00pm - 8:45pm"
"Basketball","Coffield Community Center","All Ages","Saturday","9:30am - 6:00pm"
"Basketball","Coffield Community Center","All Ages","Sunday","3:00pm - 5:00pm"
"Floor Hockey","Coffield Community Center","18 & Up","Monday","6:00pm - 8:45pm"
"Table Tennis","Coffield Community Center","55 & Up","Wednesday & Friday","12:00pm - 3:00pm"
"Table Tennis","Coffield Community Center","18 & Up","Sunday","1:00pm - 2:00pm"
"Tiny Tots","Coffield Community Center","5 & Under w/Parent","Monday & Wednesday","9:30am - 12:00pm"
"Tiny Tots","Coffield Community Center","5 & Under w/Parent","Friday","9:30am - 11:00am"
"Volleyball","Coffield Community Center","18 & Up","Tuesday","6:00pm - 8:45pm"
"Badminton","Damascus Community Center","All Ages","Thursday","6:30pm - 8:30pm"
"Basketball","Damascus Community Center","18 & Up","Monday","7:30pm - 8:50pm"
"Basketball","Damascus Community Center","17 & Under","Monday - Thursday","2:30pm - 5:45pm"
"Basketball","Damascus Community Center","17 & Under","Friday","2:30pm - 4:00pm"
"Pickleball","Damascus Community Center","All Ages","Tuesday, Thursday & Saturday","10:30am - 12:30pm"
"Volleyball","Damascus Community Center","17 & Under","Friday","4:00pm - 6:00pm"
"Volleyball","Damascus Community Center","All Ages","Monday","6:15pm - 7:00pm"
"Badminton","East County Community Center","18 & Up","Thursday","6:00pm - 9:00pm"
"Basketball","East County Community Center","17 & Under","Monday - Friday","2:45pm - 5:45pm"
"Basketball","East County Community Center","18 & Up","Monday, Wednesday - Friday","10:00am - 2:00pm"
"Basketball","East County Community Center","18 & Up","Tuesday","10:30am - 12:30pm"
"Basketball","East County Community Center","18 & Up","Tuesday & Wednesday","6:30pm - 8:50pm"
"Basketball","East County Community Center","18 & Up","Saturday","10:00am - 3:00pm"
"Badminton","Germantown Community Center","18 & Up","Thursday","6:00pm - 8:45pm"
"Badminton","Germantown Community Center","18 & Up","Sunday","2:30pm - 4:45pm"
"Basketball","Germantown Community Center","18 & Up","Monday","6:00pm - 8:45pm"
"Basketball","Germantown Community Center","Middle & High School","Monday, Wednesday & Thursday","3:00pm - 5:45pm"
"Basketball","Germantown Community Center","Middle & High School","Friday","3:00pm - 4:45pm"
"Basketball","Germantown Community Center","All Ages","Saturday","12:00pm - 2:45pm"
"Pickleball","Germantown Community Center","55 & Up","Sunday","12:00pm - 2:15pm"
"Volleyball","Germantown Community Center","18 & Up","Wednesday","6:00pm - 8:45pm"
"Volleyball","Germantown Community Center","18 & Up","Saturday","9:00am - 11:45am"
"Badminton","Lawton Community Center","18 & Up","Thursday","6:00pm - 9:00pm"
"Badminton","Lawton Community Center","18 & Up","Sunday","1:00pm - 2:00pm"
"Basketball","Lawton Community Center","17 & Under","Monday - Thursday","3:00pm - 6:00pm"
"Basketball","Lawton Community Center","17 & Under","Friday","3:00pm - 5:00pm"
"Basketball","Lawton Community Center","Elementary w/Parent","Saturday","10:00am - 12:00pm"
"Basketball","Lawton Community Center","Middle & High School","Saturday","12:00pm - 3:00pm"
"Badminton","Plum Gar Community Center","18 & Up","Monday","12:00pm - 1:15pm"
"Basketball","Lawton Community Center","18 & Up","Monday - Wednesday & Friday","12:00pm - 3:00pm"
"Basketball","Lawton Community Center","18 & Up","Tuesday","6:00pm - 9:00pm"
"Basketball","Lawton Community Center","18 & Up","Saturday","3:00pm - 5:00pm"
"Pickleball","Lawton Community Center","55 & Up","Monday & Friday","10:00am - 12:00pm"
"Pickleball","Lawton Community Center","55 & Up","Thursday","12:00pm - 2:30pm"
"Table Tennis","Lawton Community Center","18 & Up","Thursday","6:00pm - 9:00pm"
"Tiny Tots","Lawton Community Center","5 & Under w/Parent","Tuesday & Thursday","10:30am - 12:00pm"
"Volleyball","Lawton Community Center","18 & Up","Monday","6:00pm - 9:00pm"
"Basketball","Long Branch Community Center","17 & Under","Monday - Friday","3:00pm - 6:00pm"
"Basketball","Long Branch Community Center","18 & Up","Monday - Friday","11:00am - 3:00pm"
"Basketball","Long Branch Community Center","18 & Up","Monday - Thursday","6:00pm - 9:30pm"
"Basketball","Long Branch Community Center","All Ages","Saturday","10:00am - 6:00pm"
"Tiny Tots","Long Branch Community Center","5 & Under w/Parent","Wednesday","10:30am - 12:00pm"
"Basketball","Longwood Community Center","Gr. K - 6th","Monday","3:00pm - 6:00pm"
"Basketball","Longwood Community Center","Gr. 6th - 8th","Tuesday & Wednesday","3:00pm - 6:00pm"
"Basketball","Longwood Community Center","Gr. 9th - 12th","Tuesday","6:00pm - 9:00pm"
"Basketball","Longwood Community Center","18 & Up","Wednesday","6:00pm - 9:00pm"
"Basketball","Longwood Community Center","Gr. 9th - 12th","Thursday","3:00pm - 6:00pm"
"Basketball","Longwood Community Center","18 & Up","Thursday","6:00pm - 9:00pm"
"Basketball","Longwood Community Center","18 & Up","Saturday","3:00pm - 5:00pm"
"Basketball","Longwood Community Center","Gr. 6th - 12th","Saturday","1:00pm - 3:00pm"
"Basketball","Longwood Community Center","All Ages","Saturday","11:30am - 1:00pm"
"Pickleball","Longwood Community Center","55 & Up","Tuesday","10:00am - 12:00pm"
"Pickleball","Longwood Community Center","55 & Up","Thursday","12:30pm - 2:30pm"
"Tiny Tots","Longwood Community Center","5 & Under w/Parent","Wednesday & Thursday","10:00am - 12:00pm"
"Badminton","Mid County Community Center","18 & Up","Tuesday","6:00pm - 8:45pm"
"Basketball","Mid County Community Center","17 & Under","Monday - Thursday","2:30pm - 6:00pm"
"Basketball","Mid County Community Center","17 & Under","Friday","2:30pm - 5:30pm"
"Basketball","Mid County Community Center","18 & Up","Monday","6:00pm - 8:45pm"
"Basketball","Mid County Community Center","17 & Under","Saturday","1:00pm - 3:00pm"
"Basketball","Mid County Community Center","18 & Up","Saturday","3:00pm - 6:45pm"
"Pickleball","Mid County Community Center","18 & Up","Thursday","6:00pm - 8:45pm"
"Pickleball","Mid County Community Center","18 & Up","Monday & Wednesday","12:00pm - 2:30pm"
"Tiny Tots","Mid County Community Center","5 & Under w/Parent","Monday & Wednesday","9:30am - 10:30am"
"Volleyball","Mid County Community Center","18 & Up","Monday","6:00pm - 8:45pm"
"Volleyball","Mid County Community Center","55 & Up","Friday","12:00pm - 2:00pm"
"Volleyball","Mid County Community Center","18 & Up","Saturday","10:00am - 1:00pm"
"Badminton","North Potomac Community Center","55 & Up","Thursday","9:00am - 12:00pm"
