Establishment ID,Name,Address 1,Address 2,City,Zip,Owner,Category,Type,Latitude,Longitude,Location,Council Districts,Councils,Communities,Zip Codes,Municipalities,Montgomery County Boundary
37032,168 ASIAN BURRITO,18000 GEORGIA AVE.,,OLNEY,20832,168 ASIAN BURRITO LLC,Market,Food,39.1511,-77.0673,"(39.1511, -77.0673)",4,4,58,100,1,1
37032,168 ASIAN BURRITO,18000 GEORGIA AVE.,,OLNEY,20832,168 ASIAN BURRITO LLC,Market,Food,39.1511,-77.0673,"(39.1511, -77.0673)",4,4,58,100,1,1
37032,168 ASIAN BURRITO,18000 GEORGIA AVE.,,OLNEY,20832,168 ASIAN BURRITO LLC,Market,Food,39.1511,-77.0673,"(39.1511, -77.0673)",4,4,58,100,1,1
37032,168 ASIAN BURRITO,18000 GEORGIA AVE.,,OLNEY,20832,168 ASIAN BURRITO LLC,Market,Food,39.1511,-77.0673,"(39.1511, -77.0673)",4,4,58,100,1,1
37032,168 ASIAN BURRITO,18000 GEORGIA AVE.,,OLNEY,20832,168 ASIAN BURRITO LLC,Market,Food,39.1511,-77.0673,"(39.1511, -77.0673)",4,4,58,100,1,1
32992,29 CONVENIENCE MART,10755 COLESVILLE RD,,SILVER SPRING,20901,A&I ENTERPRISE VI INC - ALEENA MALIK,Market,Food,39.032,-77.0034,"(39.032, -77.0034)",5,5,18,21,1,1
32992,29 CONVENIENCE MART,10755 COLESVILLE RD,,SILVER SPRING,20901,A&I ENTERPRISE VI INC - ALEENA MALIK,Market,Food,39.032,-77.0034,"(39.032, -77.0034)",5,5,18,21,1,1
32992,29 CONVENIENCE MART,10755 COLESVILLE RD,,SILVER SPRING,20901,A&I ENTERPRISE VI INC - ALEENA MALIK,Market,Food,39.032,-77.0034,"(39.032, -77.0034)",5,5,18,21,1,1
32992,29 CONVENIENCE MART,10755 COLESVILLE RD,,SILVER SPRING,20901,A&I ENTERPRISE VI INC - ALEENA MALIK,Market,Food,39.032,-77.0034,"(39.032, -77.0034)",5,5,18,21,1,1
32992,29 CONVENIENCE MART,10755 COLESVILLE RD,,SILVER SPRING,20901,A&I ENTERPRISE VI INC - ALEENA MALIK,Market,Food,39.032,-77.0034,"(39.032, -77.0034)",5,5,18,21,1,1
