OBJECTID,NAME,MUNIC_PCODE,HPIDRAW,INCORPORATED,AREA_NAME,ACRES,X_COORD,Y_COORD,OFFICIAL_N,ADDRESS,CITY,ZIP_CODE,WEBSITE,SHAPE,SHAPE.AREA,SHAPE.LEN
1,LAYTONSVILLE,LA,180,Y,LAYTONSVILLE,644.120000000000005,1273052.313000000081956,561677.719000000040978,Town of Laytonsville,P.O. Box 5158,Laytonsville,20882,www.laytonsville.md.us,"(39.21160572500003, -77.15011794499998)",28118921.283326901495457,
2,POOLESVILLE,PO,180,Y,POOLESVILLE,2431.58600000000024,1195340.313000000081956,537399.187999999965541,Town of Poolesville,P.O. Box 158,Poolesville,20837-0158,ci.poolesville.md.us,"(39.16268126700004, -77.40003600199998)",104809057.74421900510788,
3,GARRETT PARK,GP,180,Y,GARRETT PARK,153.932000000000016,1285992.063000000081956,499168.313000000023749,Town of Garrett Park,4600 Waverly Ave.,Garrett Park,20896,www.garrettpark.org,"(39.043926043000056, -77.09954870799999)",6707346.517683009617031,
4,KENSINGTON,KE,180,Y,KENSINGTON,302.074000000000012,1291155.5,495026.48399999999674,Town of Kensington,3710 Mitchell St.,Kensington,20895,tok.md.gov,"(39.02297225600006, -77.08125700699998)",13158527.907531600445509,
5,CHEVY CHASE VIEW,CU,180,Y,CHEVY CHASE VIEW,174.115000000000009,1289262.25,492673.093999999982771,Town of Chevy Chase View,P.O. Box 136,Kensington,20895-3719,www.chevychaseview.org,"(39.02297225600006, -77.08125700699998)",7369839.087211599573493,
6,NORTH CHEVY CHASE,NC,180,Y,NORTH CHEVY CHASE,64.236000000000004,1291253.813000000081956,486352.60899999999674,Village of North Chevy Chase,P.O. Box 15887,Chevy Chase,20815,www.northchevychase.org,"(39.004650740000045, -77.07170278999996)",3035298.514887880068272,
8,TOWN OF CHEVY CHASE,C4,180,Y,TOWN OF CHEVY CHASE,309.011000000000024,1288272.375,479214.75,Town of Chevy Chase,4301 Willow La.,Chevy Chase,20815,www.townofchevychase.org,"(38.98180806500005, -77.07715839299993)",13168462.343649400398135,
9,CHEVY CHASE SEC. 5,C5,180,Y,CHEVY CHASE SEC. 5,67.555999999999997,1291423,479721.952999999979511,Section 5 Village of Chevy Chase,P.O. Box 15140,Chevy Chase,20815,users.starpower.net/sfovcc,"(38.98180806500005, -77.07715839299993)",2960692.230539219919592,
10,MARTINS ADDITION,MA,180,Y,MARTINS ADDITION,83.76400000000001,1292591,478073.5,Village of Martin's Addition,P.O. Box 15267,Chevy Chase,20815,www.martinsadditions.org,"(38.98472856200004, -77.07006095099996)",3682590.31376727996394,
11,CHEVY CHASE SEC. 3,C3,180,Y,CHEVY CHASE SEC. 3,74.760000000000005,1291302.375,478039.26600000000326,Section 3 of the Village of Chevy Chase,P.O. Box 15281,Chevy Chase,20815,www.chevychasesection3.org,"(38.98111447000008, -77.07142054599996)",3186595.387754019815475,
13,BROOKEVILLE,BR,180,Y,BROOKEVILLE,83.853000000000009,1295441.125,551474.094000000040978,Town of Brookeville,P.O. Box 67,Brookeville,20833,www.townofbrookevillemd.org,"(39.18496800300005, -77.06078645899998)",3653085.032285090070218,
15,BARNESVILLE,BA,180,Y,BARNESVILLE,301.012,1204167.75,565949.280999999959022,Town of Barnesville,P.O. Box 95,Barnesville,20838-0363,www.barnesvillemd.org,"(39.22544514800006, -77.37299244599996)",13150382.108063599094748,
18,GAITHERSBURG,GA,180,Y,GAITHERSBURG,6628.720000000000255,1257396.55199999990873,535016.630000000004657,City of Gaithersburg,31 S Summit Ave.,Gaithersburg,20877-2032,www.gaithersburgmd.org,"(39.119554211000036, -77.25420151099996)",1107505.053863900015131,
19,ROCKVILLE,RO,180,Y,ROCKVILLE,8669.219999999999345,1268254.100000000093132,515987.168000000005122,City of Rockville,111 Maryland Ave.,Rockville,20850,www.rockvillemd.gov,"(39.07662325300004, -77.19113965699995)",379188302.50347101688385,
20,GAITHERSBURG,GA,180,Y,GAITHERSBURG,6628.720000000000255,1257396.55199999990873,535016.630000000004657,City of Gaithersburg,31 S Summit Ave.,Gaithersburg,20877-2032,www.gaithersburgmd.org,"(39.12039570700006, -77.18488201499997)",201157.640536795021035,
26,TAKOMA PARK,TP,180,Y,TAKOMA PARK,1321.629000000000133,1311230.438000000081956,479036.188000000023749,City of Takoma Park,7500 Maple Ave.,Takoma Park,20912,www.cityoftakomapark.org,"(38.99236803400004, -76.99116359099997)",58002503.572660602629185,
27,CHEVY CHASE VILLAGE,CV,180,Y,CHEVY CHASE VILLAGE,252.239000000000004,1289786.313000000081956,474626.422000000020489,Village of Chevy Chase,5906 Connecticut Ave.,Chevy Chase,20815,www.ccvillage.org,"(38.97669871900007, -77.07716209399996)",11294062.208026999607682,
28,GLEN ECHO,GE,180,Y,GLEN ECHO,67.275000000000006,1271870.813000000081956,474149.093999999982771,Town of Glen Echo,6106 Harvard Ave.,Glen Echo,20812,www.glenecho.org,"(38.97284532800006, -77.14613360699997)",3197616.029233119916171,
29,SOMERSET,SO,180,Y,SOMERSET,173.090000000000003,1285222.375,473314.01600000000326,"Town of Somerset Chevy Chase, MD",4510 Cumberland Ave.,Chevy Chase,20815,www.townofsomerset.com,"(38.96980266400004, -77.09564785699996)",7606396.647320509888232,
33,GAITHERSBURG,GA,180,Y,GAITHERSBURG,6628.720000000000255,1257396.55199999990873,535016.630000000004657,City of Gaithersburg,31 S Summit Ave.,Gaithersburg,20877-2032,www.gaithersburgmd.org,"(39.15963013600003, -77.18764404999996)",289619666.795801997184753,
34,WASHINGTON GROVE,WG,180,Y,WASHINGTON GROVE,219.308000000000021,1263227.260999999940395,536976.347999999998137,Town of Washington Grove,P.O. Box 216,Washington Grove,20880-0216,www.washingtongrovemd.org,"(39.14745552800008, -77.17549952399997)",9393182.995833579450846,
