"animalid","intype","indate","petname","animaltype","petage","petsize","color","breed","sex","url","crossing"
"A495206","OWNER SUR","2022-09-01T00:00:00.000","LUCAS","DOG","9 MONTHS","MED","TRICOLOR","BEAGLE","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A495206&location=MONT",
"A489858","OWNER SUR","2022-08-30T00:00:00.000","JEWELS","DOG","2 YEARS","MED","TRICOLOR / TAN","BEAGLE","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A489858&location=MONT",
"A479579","OWNER SUR","2022-08-27T00:00:00.000","TAURIOUS","DOG","1 YEAR 10 MONTHS","MED","TAN","AM PIT BULL TER","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A479579&location=MONT",
"A488749","OWNER SUR","2022-08-26T00:00:00.000","POPPY","DOG","3 YEARS","LARGE","BLACK / WHITE","AM PIT BULL TER","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A488749&location=MONT",
"A477632","OWNER SUR","2022-08-26T00:00:00.000","LUCKY","DOG","2 YEARS","MED","TAN","AM PIT BULL TER","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A477632&location=MONT",
"A490769","RETURN","2022-08-26T00:00:00.000","HAZEL","DOG","4 YEARS","LARGE","TAN / WHITE","AM PIT BULL TER","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A490769&location=MONT",
"A482229","OWNER SUR","2022-08-25T00:00:00.000","BRUNO","DOG","3 YEARS","LARGE","BRINDLE","LABRADOR RETR / GERM SHEPHERD","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482229&location=MONT",
"A494658","STRAY","2022-08-19T00:00:00.000","*DAPHNEE","DOG","1 YEAR 7 MONTHS","MED","BROWN / WHITE","LABRADOR RETR / PLOTT HOUND","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494658&location=MONT","8800 PINEY BRANCH RD, SILVER SPRING MD 20903"
"A494588","OWNER SUR","2022-08-17T00:00:00.000","MAGGIE","DOG","3 YEARS","LARGE","WHITE / BROWN","AM PIT BULL TER","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494588&location=MONT",
"A486799","RETURN","2022-08-16T00:00:00.000","*ADDY","DOG","1 YEAR 7 MONTHS","MED","BRINDLE","TENN TR BRINDLE","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A486799&location=MONT",
"A494458","OWNER SUR","2022-08-15T00:00:00.000","MERCEDES","DOG","9 MONTHS","LARGE","BRINDLE / WHITE","AM PIT BULL TER","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494458&location=MONT",
"A494376","OWNER SUR","2022-08-13T00:00:00.000","CHANCE","DOG","11 MONTHS","LARGE","BRINDLE / WHITE","AMER BULLDOG / MIX","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494376&location=MONT",
"A494327","OWNER SUR","2022-08-12T00:00:00.000","HERCULES","DOG","6 YEARS","MED","FAWN / WHITE","ENG BULLDOG","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494327&location=MONT",
"A494326","OWNER SUR","2022-08-12T00:00:00.000","NUGGET","DOG","6 YEARS","MED","BLACK / WHITE","ENG BULLDOG","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494326&location=MONT",
"A490050","OWNER SUR","2022-08-11T00:00:00.000","JASMINE","DOG","6 YEARS","MED","BLACK / WHITE","AM PIT BULL TER","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A490050&location=MONT",
"A494244","STRAY","2022-08-10T00:00:00.000","*MARSHALL","DOG","9 MONTHS","LARGE","BROWN / WHITE","REDBONE HOUND / BOXER","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494244&location=MONT","1700 WHITEHALL DR, SILVER SPRING MD 20904"
"A494212","OWNER SUR","2022-08-09T00:00:00.000","DANE","DOG","5 YEARS","MED","BRINDLE","AM PIT BULL TER","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494212&location=MONT",
"A494125","OWNER SUR","2022-08-07T00:00:00.000","HARLEM","DOG","1 YEAR 1 MONTH","MED","BLACK","AMERICAN STAFF","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494125&location=MONT",
"A494151","STRAY","2022-08-07T00:00:00.000","*KENZO","DOG","7 YEARS","MED","BROWN","AM PIT BULL TER","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494151&location=MONT","0 BENJI CT, GAITHERSBURG MD 20877"
"A494114","STRAY","2022-08-06T00:00:00.000","*LILIT","DOG","2 YEARS","MED","BROWN / WHITE","AM PIT BULL TER","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494114&location=MONT","20300 BRANDERMILL DR, GERMANTOWN MD 20876"
"A493968","STRAY","2022-08-03T00:00:00.000","*MCCOY","DOG","2 YEARS","MED","SEAL / WHITE","AM PIT BULL TER / MIX","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493968&location=MONT","300 MONROE ST ROCKVILLE CITY 20850"
"A493920","STRAY","2022-08-01T00:00:00.000","*HEIGHTS","DOG","2 YEARS","MED","WHITE / TAN","AM PIT BULL TER","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493920&location=MONT","20100 CENTURY BLVD, GERMANTOWN MD 20874"
"A493881","STRAY","2022-07-31T00:00:00.000","*DOT","DOG","2 YEARS","LARGE","TAN / WHITE","STAFFORDSHIRE","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493881&location=MONT","IN THE PARKING LOT 11530 LOCKWOOD DR, SILVER SPRING MD 20904"
"A493740","STRAY","2022-07-27T00:00:00.000","*MILA","DOG","5 YEARS","MED","BRINDLE","AM PIT BULL TER","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493740&location=MONT","0 VEIRS MILL RD, ROCKVILLE MD 20851"
"A493585","STRAY","2022-07-24T00:00:00.000","*BILLIE","DOG","4 YEARS","MED","BLUE MERLE / WHITE","AM PIT BULL TER","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493585&location=MONT","20000 AIRCRAFT DR, GERMANTOWN MD 20874"
"A381014","STRAY","2022-07-12T00:00:00.000","KING","DOG","9 YEARS","MED","BROWN / WHITE","PIT BULL / MIX","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A381014&location=MONT","100 MUNCASTER MILL RD, DERWOOD MD 20855"
"A492934","OWNER SUR","2022-07-08T00:00:00.000","TYSON","DOG","2 YEARS","MED","BLACK","AM PIT BULL TER","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A492934&location=MONT",
"A492379","OWNER SUR","2022-06-25T00:00:00.000","LAILAH","DOG","1 YEAR","LARGE","BLACK","DOBERMAN PINSCH / LABRADOR RETR","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A492379&location=MONT",
"A492319","OWNER SUR","2022-06-24T00:00:00.000","VAQUITA","DOG","5 YEARS","MED","BLUE / WHITE","AM PIT BULL TER","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A492319&location=MONT",
"A468884","TRANSFER","2022-06-17T00:00:00.000","NALA","DOG","9 YEARS","MED","GRAY / WHITE","AM PIT BULL TER","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468884&location=MONT",
"A491670","OWNER SUR","2022-06-09T00:00:00.000","JEFE","DOG","5 YEARS","LARGE","WHITE","AMERICAN STAFF","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A491670&location=MONT",
"A487242","OWNER SUR","2022-02-20T00:00:00.000","KAINE","DOG","1 YEAR 10 MONTHS","MED","WHITE / BROWN","AM PIT BULL TER / MIX","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A487242&location=MONT",
