"fiscal_year","effective_date","salary_schedule","grade","minimum","midpoint","maximum","performance_longevity_maximum","longevity_increment","gwa"
"2020","2019-07-07T00:00:00.000","GSS","10","$33,561","$43,386","$53,210","$54,274","2%","N/A"
"2020","2019-12-08T00:00:00.000","GSS","10","$34,316","$44,362","$54,407","$55,495","2%","2.25%"
"2020","2019-12-08T00:00:00.000","GSS","11","$35,704","$46,336","$56,967","$58,106","2%","2.25%"
"2020","2019-07-07T00:00:00.000","GSS","11","$34,918","$45,316","$55,713","$56,827","2%","N/A"
"2020","2019-12-08T00:00:00.000","GSS","12","$37,150","$48,405","$59,660","$60,853","2%","2.25%"
"2020","2019-07-07T00:00:00.000","GSS","12","$36,333","$47,340","$58,347","$59,514","2%","N/A"
"2020","2019-07-07T00:00:00.000","GSS","13","$37,830","$49,472","$61,113","$62,335","2%","N/A"
"2020","2019-12-08T00:00:00.000","GSS","13","$38,681","$50,585","$62,488","$63,738","2%","2.25%"
"2020","2019-12-08T00:00:00.000","GSS","14","$40,289","$52,877","$65,464","$66,773","2%","2.25%"
"2020","2019-07-07T00:00:00.000","GSS","14","$39,402","$51,713","$64,023","$65,303","2%","N/A"
"2020","2019-12-08T00:00:00.000","GSS","15","$41,971","$55,273","$68,575","$69,946","2%","2.25%"
"2020","2019-07-07T00:00:00.000","GSS","15","$41,047","$54,057","$67,066","$68,407","2%","N/A"
"2020","2019-07-07T00:00:00.000","GSS","16","$42,802","$56,537","$70,271","$71,676","2%","N/A"
"2020","2019-12-08T00:00:00.000","GSS","16","$43,765","$57,809","$71,852","$73,289","2%","2.25%"
"2020","2019-07-07T00:00:00.000","GSS","17","$44,743","$59,188","$73,633","$75,106","2%","N/A"
"2020","2019-12-08T00:00:00.000","GSS","17","$45,750","$60,520","$75,290","$76,796","2%","2.25%"
"2020","2019-07-07T00:00:00.000","GSS","18","$46,795","$61,981","$77,166","$78,709","2%","N/A"
"2020","2019-12-08T00:00:00.000","GSS","18","$47,848","$63,376","$78,902","$80,480","2%","2.25%"
"2020","2019-07-07T00:00:00.000","GSS","19","$49,000","$64,936","$80,871","$82,488","2%","N/A"
"2020","2019-12-08T00:00:00.000","GSS","19","$50,103","$66,397","$82,691","$84,344","2%","2.25%"
"2020","2019-07-07T00:00:00.000","GSS","20","$51,305","$68,034","$84,762","$86,457","2%","N/A"
"2020","2019-12-08T00:00:00.000","GSS","20","$52,459","$69,565","$86,669","$88,403","2%","2.25%"
"2020","2019-12-08T00:00:00.000","GSS","21","$54,947","$72,898","$90,848","$92,665","2%","2.25%"
"2020","2019-07-07T00:00:00.000","GSS","21","$53,738","$71,294","$88,849","$90,626","2%","N/A"
"2020","2019-07-07T00:00:00.000","GSS","22","$56,280","$74,710","$93,140","$95,003","2%","N/A"
"2020","2019-12-08T00:00:00.000","GSS","22","$57,546","$76,391","$95,236","$97,140","2%","2.25%"
"2020","2019-12-08T00:00:00.000","GSS","23","$60,285","$80,069","$99,852","$101,849","2%","2.25%"
"2020","2019-07-07T00:00:00.000","GSS","23","$58,958","$78,307","$97,655","$99,608","2%","N/A"
"2020","2019-12-08T00:00:00.000","GSS","24","$63,155","$83,918","$104,680","$106,774","2%","2.25%"
"2020","2019-07-07T00:00:00.000","GSS","24","$61,765","$82,071","$102,377","$104,425","2%","N/A"
"2020","2019-12-08T00:00:00.000","GSS","25","$66,164","$87,963","$109,761","$111,957","2%","2.25%"
"2020","2019-07-07T00:00:00.000","GSS","25","$64,708","$86,027","$107,346","$109,493","2%","N/A"
"2020","2019-07-07T00:00:00.000","GSS","26","$67,811","$90,189","$112,566","$114,817","2%","N/A"
"2020","2019-12-08T00:00:00.000","GSS","26","$69,337","$92,218","$115,099","$117,401","2%","2.25%"
"2020","2019-12-08T00:00:00.000","GSS","27","$72,636","$96,670","$120,703","$123,117","2%","2.25%"
"2020","2019-07-07T00:00:00.000","GSS","27","$71,038","$94,543","$118,047","$120,408","2%","N/A"
"2020","2019-12-08T00:00:00.000","GSS","28","$75,897","$101,241","$126,584","$129,116","2%","2.25%"
"2020","2019-07-07T00:00:00.000","GSS","28","$74,227","$99,013","$123,799","$126,275","2%","N/A"
"2020","2019-12-08T00:00:00.000","GSS","29","$79,320","$106,040","$132,759","$135,415","2%","2.25%"
"2020","2019-07-07T00:00:00.000","GSS","29","$77,575","$103,707","$129,838","$132,435","2%","N/A"
"2020","2019-07-07T00:00:00.000","GSS","30","$81,096","$108,640","$136,184","$138,908","2%","N/A"
"2020","2019-12-08T00:00:00.000","GSS","30","$82,921","$111,084","$139,248","$142,033","2%","2.25%"
"2020","2019-07-07T00:00:00.000","GSS","31","$84,791","$113,817","$142,843","$145,700","2%","N/A"
"2020","2019-12-08T00:00:00.000","GSS","31","$86,699","$116,378","$146,057","$148,978","2%","2.25%"
"2020","2019-07-07T00:00:00.000","GSS","32","$88,665","$117,940","$147,215","$150,159","2%","N/A"
"2020","2019-12-08T00:00:00.000","GSS","32","$90,660","$120,594","$150,527","$153,538","2%","2.25%"
"2020","2019-07-07T00:00:00.000","GSS","33","$92,737","$122,163","$151,589","$154,621","2%","N/A"
"2020","2019-12-08T00:00:00.000","GSS","33","$94,824","$124,912","$155,000","$158,100","2%","2.25%"
