"animalid","intype","indate","petname","animaltype","petage","petsize","color","breed","sex","url","crossing"
"A493569","FOSTER","2022-08-29T00:00:00.000","*RANGO","CAT","10 WEEKS","KITTE","BLACK / WHITE","DOMESTIC SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493569&location=MONT",
"A495095","OWNER SUR","2022-08-29T00:00:00.000","WINK","CAT","9 MONTHS","SMALL","SLVR TABBY","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A495095&location=MONT",
"A492310","FOSTER","2022-08-29T00:00:00.000","*EVELYN","CAT","1 YEAR 9 MONTHS","MED","BLACK","DOMESTIC SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A492310&location=MONT",
"A493568","FOSTER","2022-08-29T00:00:00.000","*BOBA","CAT","10 WEEKS","KITTE","BLACK","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493568&location=MONT",
"A493570","FOSTER","2022-08-29T00:00:00.000","*JANGO","CAT","10 WEEKS","KITTE","BLACK","DOMESTIC SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493570&location=MONT",
"A495036","OWNER SUR","2022-08-28T00:00:00.000","PAJAMA BOY","CAT","7 YEARS","LARGE","BLACK / WHITE","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A495036&location=MONT",
"A495034","OWNER SUR","2022-08-28T00:00:00.000","KITTYBOO","CAT","7 YEARS","MED","GRAY TAB / WHITE","DOMESTIC SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A495034&location=MONT",
"A495035","OWNER SUR","2022-08-28T00:00:00.000","TIGER","CAT","7 YEARS","LARGE","GRAY TAB","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A495035&location=MONT",
"A494933","OWNER SUR","2022-08-26T00:00:00.000","MILO","CAT","1 YEAR","MED","ORANGE TAB","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494933&location=MONT",
"A494934","OWNER SUR","2022-08-26T00:00:00.000","TOBY","CAT","9 MONTHS","MED","ORANGE TAB","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494934&location=MONT",
"A494896","STRAY","2022-08-25T00:00:00.000","REMI","CAT","6 YEARS","MED","TORTIE","DOMESTIC SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494896&location=MONT","9200 LA BELLE LN, GAITHERSBURG MD 20879"
"A494762","OWNER SUR","2022-08-22T00:00:00.000","*SHANNON","CAT","5 MONTHS","KITTE","WHITE / BLACK","DOMESTIC SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494762&location=MONT",
"A494760","OWNER SUR","2022-08-22T00:00:00.000","*GLEN","CAT","5 MONTHS","KITTE","BLACK / WHITE","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494760&location=MONT",
"A494761","OWNER SUR","2022-08-22T00:00:00.000","*ODESSA","CAT","5 MONTHS","KITTE","BLACK / WHITE","DOMESTIC SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494761&location=MONT",
"A494559","STRAY","2022-08-16T00:00:00.000","*EM","CAT","9 YEARS","MED","BLACK / WHITE","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494559&location=MONT","17200 EMERSON DR, SILVER SPRING MD 20905"
"A493338","FOSTER","2022-08-15T00:00:00.000","*TOMMY","CAT","15 WEEKS","KITTE","BLACK","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493338&location=MONT",
"A489215","OWNER SUR","2022-08-13T00:00:00.000","TOFU","CAT","3 YEARS","MED","ORANGE TAB / WHITE","DOMESTIC MH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A489215&location=MONT",
"A494220","STRAY","2022-08-09T00:00:00.000","*KENT","CAT","2 YEARS","MED","BLACK / WHITE","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494220&location=MONT","200 KENTLANDS BLVD, GAITHERSBURG MD 20878"
"A494054","OWNER SUR","2022-08-05T00:00:00.000","NIGHT","CAT","1 YEAR 1 MONTH","MED","BLACK","DOMESTIC MH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494054&location=MONT",
"A493883","STRAY","2022-07-31T00:00:00.000","*HONEYBEE","CAT","2 YEARS","MED","CALICO","DOMESTIC SH","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493883&location=MONT","FLOWER AVE & PINEY BRANCH, SILVER SPRING MD 20901"
"A493885","STRAY","2022-07-31T00:00:00.000","*JUNE BUG","CAT","1 YEAR 1 MONTH","MED","WHITE / BLACK","TURKISH VAN","S","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493885&location=MONT","FLOWER AVE & PINEY BRANCH, SILVER SPRING MD 20901"
"A493435","STRAY","2022-07-20T00:00:00.000","*LONDON","CAT","12 YEARS","MED","ORANGE TAB","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493435&location=MONT","21400 RIDGECROFT DR, BROOKEVILLE MD 20833"
"A404251","BOARDING","2022-06-28T00:00:00.000","MOSES","CAT","9 YEARS","LARGE","ORANGE TAB / WHITE","DOMESTIC SH","N","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A404251&location=MONT",
