"animalid","intype","indate","petname","animaltype","petage","petsize","color","breed","sex","url","crossing"
"A495039","OWNER SUR","2022-08-28T00:00:00.000","LIONEL","OTHER","8 MONTHS","MED","BROWN / WHITE","RAT","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A495039&location=MONT",
"A494998","OWNER SUR","2022-08-27T00:00:00.000","*SAMMY","OTHER","9 WEEKS","SMALL","TAN / BROWN","HAMSTER","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494998&location=MONT",
"A494995","OWNER SUR","2022-08-27T00:00:00.000","*CLEO","OTHER","9 WEEKS","SMALL","BROWN / WHITE","HAMSTER","F","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494995&location=MONT",
"A494991","OWNER SUR","2022-08-27T00:00:00.000","OREO","OTHER","6 MONTHS","SMALL","GRAY / WHITE","HAMSTER","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494991&location=MONT",
"A494994","OWNER SUR","2022-08-27T00:00:00.000","*LOLA","OTHER","9 WEEKS","SMALL","TAN / WHITE","HAMSTER","F","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494994&location=MONT",
"A494993","OWNER SUR","2022-08-27T00:00:00.000","*DOLLY","OTHER","9 WEEKS","SMALL","SILVER","HAMSTER","F","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494993&location=MONT",
"A494990","OWNER SUR","2022-08-27T00:00:00.000","BROWNIE","OTHER","6 MONTHS","SMALL","BROWN","HAMSTER","F","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494990&location=MONT",
"A494997","OWNER SUR","2022-08-27T00:00:00.000","*JASPER","OTHER","9 WEEKS","SMALL","TRICOLOR","HAMSTER","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494997&location=MONT",
"A494996","OWNER SUR","2022-08-27T00:00:00.000","*HARVEY","OTHER","9 WEEKS","SMALL","BROWN / WHITE","HAMSTER","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494996&location=MONT",
"A494844","STRAY","2022-08-24T00:00:00.000","*SANDY","OTHER","NO AGE","SMALL","TAN","LIZARD","M","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494844&location=MONT","4800 RUGBY AVE, BETHESDA MD 20814"
"A494729","OWNER SUR","2022-08-21T00:00:00.000","*COCO","OTHER","1 YEAR 1 MONTH","MED","GRAY","DEGU","F","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494729&location=MONT",
"A494728","OWNER SUR","2022-08-21T00:00:00.000","*NAOMI","OTHER","1 YEAR 1 MONTH","MED","GRAY","DEGU","F","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494728&location=MONT",
"A494725","OWNER SUR","2022-08-21T00:00:00.000","*MARTINA","OTHER","1 YEAR 1 MONTH","MED","GRAY","DEGU","F","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494725&location=MONT",
"A494724","OWNER SUR","2022-08-21T00:00:00.000","*SERENA","OTHER","2 YEARS","MED","GRAY","DEGU","F","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494724&location=MONT",
"A494730","OWNER SUR","2022-08-21T00:00:00.000","*SLOANE","OTHER","1 YEAR 1 MONTH","MED","GRAY","DEGU","F","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494730&location=MONT",
"A494727","OWNER SUR","2022-08-21T00:00:00.000","*VENUS","OTHER","1 YEAR 1 MONTH","MED","GRAY","DEGU","F","http://www.petharbor.com/get_image.asp?res=DETAIL&id=A494727&location=MONT",
