"idhighwayl","route","direction","poletype","lightprese","sideofroad","image","date","elevation","latitude","longitude","geolocation"
"5491-8537","Fort Sumpter Dr","5","Metal","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13AT0VTIK00/000000000016/000000084032.jpg","20131029","45.17","30.39720325","-90.99607632999999","(30.39720325, -90.99607633)"
"5491-1031","Brightside Ln","6","Wood","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/137C0NE6900/000000000110/000001060159.jpg","20130712","27.027","30.38905912","-91.18823553","(30.38905912, -91.18823553)"
"5491-345","Azrok Ave","5","Metal","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1735/ROW/139C16F2J00/000000000226/000000216170.jpg","20130912","38.25400000000001","30.39560347","-91.07578223","(30.39560347, -91.07578223)"
"5491-1398","Burgin Ave","5","Wood","Unknown","Right","https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/137K19EOU00/000000000167/000000544084.jpg","20130720","49.422","30.39562884","-91.15642679","(30.39562884, -91.15642679)"
"5491-6289","Double Tree Ct","6","Metal","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13B50TTSQ00/000000000032/000000676007.jpg","20131105","41.942","30.3974073","-90.9778772","(30.3974073, -90.9778772)"
"5491-9524","Hundred Oaks Ave","5","Wood","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13CD16TA700/000000000071/000000328065.jpg","20131213","61.63","30.43210577","-91.15735125000001","(30.43210577, -91.15735125)"
"5491-4792","Connells Park Ln","5","Concrete","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13C50STKI00/000000000011/000000148240.jpg","20131205","55.718","30.44571684","-91.09619773","(30.44571684, -91.09619773)"
"5491-12684","Inverrary Dr","6","Metal","Unknown","Right","https://s3.amazonaws.com/5491la13-locals/12a/1749/ForwardRight/13BJ0ST0F20/000000000124/000000004027.jpg","20131119","38.497","30.43943588","-91.03679022","(30.43943588, -91.03679022)"
"5491-29","Anselmo Ln","5","Wood","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/13891AE1E00/000000000066/000000436224.jpg","20130809","43.044","30.39437538","-91.10323351","(30.39437538, -91.10323351)"
"5491-856","Anvil Dr","6","Metal","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/137K14EKH00/000000000167/000000088087.jpg","20130720","29.383","30.40309081","-91.15843864999999","(30.40309081, -91.15843865)"
"5491-16061","Meadowmere Dr","6","Metal","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/137T11EA500/000000000055/000000036084.jpg","20130729","17.854","30.37038279","-91.06921739000001","(30.37038279, -91.06921739)"
"5491-24476","Shadyglen Dr","6","Metal","Unknown","Right","https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13BA0VT6800/000000000021/000000088019.jpg","20131110","46.978","30.45415991","-91.01553598","(30.45415991, -91.01553598)"
"5491-14224","Lobdell Ave","6","Wood","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1749/ForwardRight/13BT19TAW20/000000000165/000000432027.jpg","20131129","28.923","30.4378278","-91.11088941","(30.4378278, -91.11088941)"
"5491-23971","S Pollard Pkwy","5","Metal","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/138215E7100/000000000152/000000252098.jpg","20130802","40.56","30.40017045","-91.13421601","(30.40017045, -91.13421601)"
"5491-27432","W Woodruff Dr","5","Concrete","Unknown","Right","https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/137L1DEAH00/000000000043/000000120150.jpg","20130721","42.932","30.3906393","-91.14531135","(30.3906393, -91.14531135)"
"5491-2494","Briargrove Ave","6","Metal","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1735/ROW/13990VFVN00/000000000161/000000144105.jpg","20130909","51.558","30.36007871","-91.07558207","(30.36007871, -91.07558207)"
"5491-21439","Stanford Ave","6","Wood","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/137K0QEXX00/000000000075/000000188046.jpg","20130720","28.786","30.40852942","-91.16343234","(30.40852942, -91.16343234)"
"5491-11362","Hebert St","6","Wood","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13CF0STLU00/000000004021/000000128199.jpg","20131215","58.267","30.44381209","-91.14046616","(30.44381209, -91.14046616)"
"5491-18343","Ormandy Dr","5","Wood","Unknown","Right","https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13CD0YTI700/000000000163/000000280187.jpg","20131213","57.093","30.43264725","-91.13700095","(30.43264725, -91.13700095)"
"5491-1449","Bristoe Ave","5","Metal","Yes","Median","https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13AU0PT4D00/000000004003/000000160009.jpg","20131030","41.643","30.43578618","-91.00574478999999","(30.43578618, -91.00574479)"
"5491-1510","Briarwood Pl","5","Metal","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13AH0PT7Y00/000000000296/000000468097.jpg","20131017","32.394","30.37067281","-91.03614585","(30.37067281, -91.03614585)"
"5491-24167","Shadow Hill Dr","6","Metal","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13AR0RTRE00/000000004089/000000160058.jpg","20131027","39.845","30.41778842","-90.98965644000001","(30.41778842, -90.98965644)"
"5491-27372","Wooddale Blvd","6","Wood","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13CG0ST9500/000000000084/000001480259.jpg","20131216","56.728","30.45645378","-91.10733798","(30.45645378, -91.10733798)"
"5491-22540","Springridge Ave","6","Metal","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/13790REN600/000000000070/000000184042.jpg","20130709","20.833","30.34088298","-91.11497939","(30.34088298, -91.11497939)"
"5491-21647","Stanley Aubin Ln","5","Wood","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1735/ROW/139F0RF3200/000000000102/000000108140.jpg","20130915","-45.603","30.41905802","-91.06730177","(30.41905802, -91.06730177)"
"5491-8833","Hillrose Ave","5","Metal","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/13790TEJH00/000000000083/000000308107.jpg","20130709","22.818","30.34525744","-91.10622531","(30.34525744, -91.10622531)"
"5491-2058","Bellridge Dr","5","Metal","Unknown","Right","https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13BT0UT0R00/000000000208/000000196167.jpg","20131129","50.27200000000001","30.43886185","-91.06152123","(30.43886185, -91.06152123)"
"5491-9212","Hillyard Ave","6","Metal","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1735/ROW/139C16F2I00/000000000119/000000344137.jpg","20130912","36.407","30.39809675","-91.07426532","(30.39809675, -91.07426532)"
"5491-10171","Hyacinth Ave","6","Wood","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/13820VEYN00/000000000099/000000420081.jpg","20130802","39.727","30.40948952","-91.1469884","(30.40948952, -91.1469884)"
"5491-61","Anselmo Ln","5","Wood","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/13891AE1E00/000000000066/000000924087.jpg","20130809","38.487","30.39042911","-91.09640008","(30.39042911, -91.09640008)"
"5491-27925","World Ministry Ave","6","Metal","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/13891AEGG00/000000000042/000000296027.jpg","20130809","22.434","30.38661091","-91.08998302000001","(30.38661091, -91.08998302)"
"5491-26074","Thurman Dr","6","Wood","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13C70YTX900/000000000003/000000308131.jpg","20131207","55.32400000000001","30.4399297","-91.10088046","(30.4399297, -91.10088046)"
"5491-20725","Rue Crozat","5","Metal","Yes","Right","https://s3.amazonaws.com/5491la13-locals/12a/1735/ROW/13971AFSP00/000000000021/000000072141.jpg","20130907","60.009","30.37064725","-91.08832133","(30.37064725, -91.08832133)"
