"the_geom","id","facility_name","classification","full_address","city","state","zip","parkid"
"MULTIPOLYGON (((-91.183109726799 30.664896507938, -91.180761596392 30.664554018578, -91.179753513135 30.664384371366, -91.178962270104 30.664274529304, -91.179046597736 30.663834685338, -91.178856636729 30.663808313743, -91.178962684773 30.663125299716, -91.180271055128 30.663316729328, -91.18058607133 30.663366064985, -91.180898273254 30.663421113635, -91.181213147736 30.663466668187, -91.181518843342 30.663510893632, -91.181835745452 30.663551894746, -91.182142863783 30.663590664079, -91.182458634344 30.66363504407, -91.18290807614 30.663675166916, -91.183311637059 30.663695429845, -91.183109726799 30.664896507938)))","143","Rita Street Park","Neighborhood","2315 RITA ST","ZACHARY","LOUISIANA","70791","RTAST"
"MULTIPOLYGON (((-91.161495929067 30.504597961587, -91.161503563889 30.504735278266, -91.161532510176 30.505255863539, -91.160718664101 30.505287365373, -91.160560117433 30.505294687999, -91.159741993851 30.50532462579, -91.159736700863 30.505226228039, -91.159683279434 30.50423296837, -91.159839108867 30.504226683311, -91.159997703306 30.504220289835, -91.160156294604 30.504213893458, -91.160314889002 30.504207499601, -91.160331862581 30.504206814574, -91.160473496417 30.504201396036, -91.160632102701 30.504195331971, -91.160854156475 30.504186837275, -91.161107929788 30.504177128721, -91.16126653912 30.504171063899, -91.161471755765 30.504163211996, -91.161495929067 30.504597961587)))","39","Alexander Street Park","Neighborhood","6000 ALEXANDER AVE","BATON ROUGE","LOUISIANA","70805","ALXST"
"MULTIPOLYGON (((-91.146532081024 30.422539808, -91.146460214022 30.422630958754, -91.146436666646 30.422660821501, -91.146344899871 30.422805896011, -91.14633015851 30.42282856984, -91.146015800607 30.423332085929, -91.143843106015 30.423126831721, -91.14368073022 30.423111489882, -91.143730523568 30.423031184542, -91.143880733214 30.422788923679, -91.143955837758 30.422667795432, -91.144030942121 30.422546666236, -91.144178461032 30.422303089518, -91.144325979217 30.422059514423, -91.144473497723 30.421815936442, -91.144547256182 30.421694149186, -91.144606261358 30.42159672061, -91.146075182221 30.422316065922, -91.146438465285 30.421639860199, -91.147020312662 30.421927743216, -91.146938018689 30.422066654029, -91.146753974823 30.422300552528, -91.146718531269 30.422341421129, -91.146569124644 30.42249282647, -91.146532081024 30.422539808)))","99","Nairn Park","Neighborhood","2800 NAIRN DR","BATON ROUGE","LOUISIANA","70808","NAIRN"
"MULTIPOLYGON (((-91.185149715842 30.421398917798, -91.184984735494 30.421402317684, -91.184990286878 30.421564472928, -91.184355924255 30.421577544459, -91.184350374946 30.421415389191, -91.184344824616 30.421253233012, -91.184339274303 30.421091077727, -91.184333724008 30.420928922435, -91.184328173732 30.420766766234, -91.184322623473 30.420604610926, -91.184317074274 30.420442455612, -91.184311524052 30.420280299388, -91.184304185915 30.420065924787, -91.184516694144 30.420061546366, -91.184729202353 30.420057167603, -91.18493853889 30.420052853498, -91.185147874365 30.420048539962, -91.185360382519 30.420044160185, -91.185572890655 30.420039780067, -91.185580230488 30.420254154598, -91.184945877353 30.420267228966, -91.184951428611 30.420429384262, -91.184956979886 30.420591539551, -91.184962530138 30.420753695733, -91.185596887419 30.420740621288, -91.185602439765 30.420902777438, -91.185607991089 30.421064932677, -91.185613543473 30.42122708791, -91.185144361982 30.421236758266, -91.185149715842 30.421398917798)))","38","Alaska Street Park","Neighborhood","3014 ALASKA ST","BATON ROUGE","LOUISIANA","70802","ALAST"
"MULTIPOLYGON (((-90.915902400338 30.340583500233, -90.914184087531 30.350604768489, -90.913536629404 30.350500278492, -90.913291526876 30.350461906835, -90.912944339506 30.350409519551, -90.912594285879 30.350358103719, -90.91238126843 30.35032322537, -90.912306560287 30.350309250016, -90.912191474502 30.350284700408, -90.912123335261 30.3502686972, -90.911952516274 30.350224224343, -90.911515716145 30.350091923756, -90.911237793546 30.350004782857, -90.910826269943 30.349872233262, -90.912360737769 30.340924985504, -90.912576838492 30.340996740409, -90.912742038053 30.341016639275, -90.912944012161 30.341027408325, -90.913175387371 30.341001595271, -90.913528099335 30.340916263687, -90.914547371984 30.340669665482, -90.915902400338 30.340583500233)))","119","Kendalwood Road Conservation Area","Conservation","24700 KENDALWOOD RD","BATON ROUGE","LOUISIANA","70817","KNDLW"
"MULTIPOLYGON (((-91.064252887441 30.371070450433, -91.063861393949 30.371731411516, -91.061916661889 30.370579138737, -91.062046073559 30.370369592216, -91.062141718373 30.370214716609, -91.062245071641 30.370047365359, -91.062335706239 30.369900604539, -91.062434041976 30.369741373468, -91.062490276826 30.36965031436, -91.062897678117 30.369711400892, -91.062891434016 30.369736208501, -91.062887271968 30.369785747841, -91.06289160824 30.369835409215, -91.062904567817 30.369884380989, -91.062926401851 30.369931746238, -91.062953021638 30.369970284301, -91.062993602818 30.370016165148, -91.063064222188 30.370064751474, -91.063088872923 30.370079097469, -91.063117863536 30.37009362734, -91.063939067909 30.370471067453, -91.063731276461 30.370814637898, -91.064252887441 30.371070450433)))","52","Gentilly Court Park","Neighborhood","13750 GENTILLY CT","BATON ROUGE","LOUISIANA","70810","GNTCT"
"MULTIPOLYGON (((-91.096866450671 30.529710319894, -91.096148897327 30.529725377771, -91.094558923303 30.529465441736, -91.09463226173 30.529197627599, -91.094662068148 30.529088788505, -91.09477104327 30.5289405107, -91.094955248939 30.528689867432, -91.095312456428 30.528346836879, -91.095839095744 30.527954234629, -91.096277109886 30.527573527564, -91.096596528517 30.527084788399, -91.096776988103 30.526499588341, -91.0967784112 30.525832464225, -91.09655470034 30.525177988419, -91.096130358153 30.524858478809, -91.095269065603 30.524776155799, -91.09441263465 30.524888353317, -91.093847453079 30.525092978883, -91.093491297365 30.525292487409, -91.093111935456 30.525541364042, -91.092649862194 30.525853140419, -91.092201071447 30.525988304483, -91.091819159242 30.525882313543, -91.091523000325 30.525581882387, -91.091070812902 30.524855393975, -91.09043105692 30.524160553102, -91.089616846438 30.52349112633, -91.089020977845 30.523119986637, -91.088014944761 30.522759458707, -91.087520784198 30.522461556668, -91.087003184935 30.521698229945, -91.086824558177 30.521206620875, -91.096822884426 30.522328675946, -91.096649098149 30.523361500709, -91.097819340664 30.523500531627, -91.097889762279 30.523081983058, -91.09897110423 30.52320327893, -91.098947202769 30.523360228362, -91.098897923064 30.523683865013, -91.09886549175 30.52389682892, -91.098836090466 30.524089908665, -91.098805665578 30.524289714137, -91.098769273239 30.524528710708, -91.098748513552 30.524665031904, -91.098708484459 30.524922517807, -91.098674347369 30.52514749399, -91.09866013551 30.525336561129, -91.098626890107 30.525549647008, -91.098587678011 30.525750454281, -91.098550744247 30.525963733829, -91.098521979988 30.526152619036, -91.098492522305 30.526346069216, -91.098461702299 30.526548455462, -91.09843097956 30.526750195986, -91.098396263106 30.526978164875, -91.098365103985 30.527182780345, -91.098334245394 30.527385400073, -91.098303460724 30.527587552646, -91.098255538028 30.527902249845, -91.098206638089 30.528223342657, -91.098493569931 30.528259227149, -91.098527175401 30.52826342992, -91.098920557527 30.528312628125, -91.099157380569 30.528342243328, -91.099224833814 30.528351785546, -91.099193114394 30.528545775689, -91.099160679104 30.528744128703, -91.09912198134 30.528980787336, -91.099086626587 30.529196987769, -91.0990493114 30.529425196512, -91.09901229634 30.529651558345, -91.099440112127 30.529705061009, -91.099391927253 30.529873545204, -91.099381059364 30.529932533203, -91.099058187134 30.529939316633, -91.099032754314 30.530077366736, -91.098548441566 30.530087538951, -91.098573875055 30.529949492549, -91.098227538087 30.529956765452, -91.097935123763 30.529962908359, -91.097919968434 30.529966419277, -91.098508408088 30.528316070514, -91.097354315524 30.528236958835, -91.097146201052 30.52917703649, -91.096988792964 30.529157699554, -91.096927619908 30.529434007942, -91.096866450671 30.529710319894)))","60","Comite River Conservation Area","Conservation","8900 HOOPER RD","BATON ROUGE","LOUISIANA","70811","CMTRV"
"MULTIPOLYGON (((-91.21954314659 30.683401318617, -91.21952886771 30.683416510633, -91.219513972547 30.683431252919, -91.219498478863 30.683445528349, -91.219482408596 30.683459318904, -91.219465779509 30.683472604753, -91.219448614581 30.683485371484, -91.219430933659 30.683497602878, -91.219412760766 30.683509281817, -91.219394118879 30.683520394791, -91.219375030975 30.683530926484, -91.219355522116 30.683540865193, -91.219335615278 30.683550197406, -91.219315337611 30.683558910519, -91.219294713128 30.683566995531, -91.21927376898 30.683574439839, -91.219252532311 30.683581236249, -91.219231028178 30.68358737486, -91.219209285815 30.68359284758, -91.219187331319 30.683597649018, -91.219165193922 30.683601771083, -91.21914289972 30.683605210187, -91.219120477941 30.683607960945, -91.219097957811 30.683610020674, -91.21907536647 30.683611385791, -91.219030088092 30.683612029584, -91.218880359879 30.683601342391, -91.218839905154 30.683598454406, -91.217891258596 30.682336628562, -91.216954595003 30.680168076082, -91.217292821448 30.679747529557, -91.217411486395 30.679599977816, -91.217745598167 30.67918215143, -91.219052238373 30.679917541739, -91.219499062756 30.67933014798, -91.218225242001 30.678606257683, -91.218680705495 30.678029471638, -91.219163153601 30.677560657178, -91.219650763053 30.676982569315, -91.220059057249 30.676482176036, -91.221020087809 30.677108041782, -91.221333504395 30.676557684748, -91.221838886833 30.67607150063, -91.222824877284 30.675616411476, -91.223874561255 30.676305234185, -91.223889498116 30.676290863037, -91.223905010514 30.676276954192, -91.2239210786 30.676263524772, -91.223937681486 30.676250591898, -91.223954801413 30.676238170889, -91.223972414362 30.67622627706, -91.22399050049 30.676214925727, -91.224009035778 30.676204130402, -91.22402799934 30.676193904596, -91.224047367162 30.676184260919, -91.224067114184 30.676175211076, -91.224087216392 30.676166766771, -91.224107649773 30.676158937909, -91.224128389271 30.67615173439, -91.224149408786 30.676145165213, -91.224170681179 30.676139237571, -91.224192182438 30.676133960464, -91.224213884381 30.676129339282, -91.224235760913 30.676125379415, -91.224257784896 30.676122086252, -91.224279929192 30.676119464281, -91.224302165624 30.676117515284, -91.224324469142 30.676116243748, -91.224346809482 30.67611564965, -91.22436915951 30.676115734771, -91.224391493139 30.676116498188, -91.224413782193 30.676117938975, -91.224435998497 30.676120056208, -91.224458114924 30.676122846256, -91.224480105388 30.676126306391, -91.224501940673 30.67613043208, -91.224523594698 30.67613521789, -91.224545041379 30.676140658386, -91.22456625359 30.676146747233, -91.224587204209 30.67615347629, -91.224607870287 30.676160836519, -91.224628222612 30.67616882068, -91.224648239283 30.676177417029, -91.22466789422 30.676186616523, -91.224687162392 30.676196406516, -91.224706020853 30.676206776164, -91.224724446659 30.676217711918, -91.224742415823 30.676229200228, -91.224759908533 30.676241226647, -91.224776900803 30.676253776722, -91.224793371777 30.676266836006, -91.224809302691 30.676280386441, -91.224824672691 30.676294412678, -91.224839464056 30.676308896661, -91.224853656975 30.676323821236, -91.22486723373 30.676339167448, -91.224880179731 30.676354916341, -91.224892477259 30.676371048057, -91.224904111724 30.676387543642, -91.224915067495 30.676404382338, -91.224925333116 30.676421543389, -91.224934895042 30.676439006037, -91.224943741819 30.676456747723, -91.224951860948 30.67647474679, -91.224959244102 30.676492981581, -91.224965881915 30.676511428636, -91.224971765017 30.676530067204, -91.224976887175 30.67654887202, -91.224981243194 30.676567820533, -91.224987629782 30.676606056616, -91.2249959462 30.67681578834, -91.226933263164 30.676833746016, -91.226836397958 30.675924738052, -91.227099313995 30.675446312579, -91.228538732761 30.67442241427, -91.230074875439 30.674869196625, -91.230149783641 30.67474130271, -91.230158411926 30.674726107813, -91.23016765458 30.674711183997, -91.230177499058 30.674696551097, -91.230187932821 30.674682227142, -91.230198943326 30.674668228359, -91.23021051699 30.674654573681, -91.230222639184 30.674641279331, -91.23023529424 30.674628361533, -91.230248468571 30.674615837415, -91.230262144424 30.674603721395, -91.230276305085 30.674592028795, -91.230290931755 30.674580774031, -91.230306008766 30.674569971523, -91.230321516278 30.674559633885, -91.230337434449 30.67454977463, -91.230353744483 30.674540405471, -91.230370425497 30.674531538117, -91.230387457652 30.674523183376, -91.230404819022 30.674515352957, -91.230422488729 30.674508054061, -91.230440444845 30.674501298397, -91.230458664407 30.674495092259, -91.230477125491 30.674489443751, -91.230495804089 30.67448436097, -91.230514679323 30.674479849313, -91.230533726142 30.674475914172, -91.230552921585 30.674472560942, -91.230572241644 30.674469794113, -91.230591661271 30.674467616373, -91.230611158551 30.67446603041, -91.230630708435 30.674465038912, -91.230650285877 30.674464641858, -91.23066986792 30.674464841034, -91.230689429517 30.674465636423, -91.23070894667 30.674467025298, -91.230728395379 30.674469006739, -91.230747751645 30.674471578924, -91.230766990426 30.674474738225, -91.230786089811 30.674478481018, -91.230805023718 30.67448280187, -91.230823770238 30.674487696254, -91.230842306418 30.674493157838, -91.230860608265 30.674499180291, -91.230878653873 30.674505754574, -91.230896421333 30.674512874358, -91.230913886657 30.674520529701, -91.230931031066 30.674528712471, -91.230947830574 30.674537410923, -91.230964265362 30.674546614219, -91.230980315614 30.674556313322, -91.230995961518 30.674566492884, -91.231011183256 30.674577142967, -91.231025962059 30.674588250027, -91.231040279159 30.674599798714, -91.231054116828 30.674611776388, -91.23106745943 30.6746241668, -91.231080288196 30.674636955504, -91.231092589575 30.674650127155, -91.231104345846 30.6746636637, -91.2311155445 30.674677550696, -91.231126170948 30.674691769191, -91.23113621164 30.674706302035, -91.231145655117 30.67472113118, -91.231154488874 30.674736237675, -91.231162701451 30.674751604371, -91.231170284519 30.674767211419, -91.231177226618 30.674783038965, -91.231183520464 30.674799068063, -91.231189157729 30.67481527886, -91.231194131127 30.674831651508, -91.231198435463 30.674848164354, -91.231202064494 30.674864798451, -91.231205015113 30.674881532149, -91.231207281077 30.674898345598, -91.231208862409 30.674915218052, -91.231209755999 30.674932126959, -91.23120995978 30.674949053375, -91.231209474819 30.674965975652, -91.231208301135 30.674982872142, -91.231206439795 30.674999723002, -91.231203894993 30.675016505684, -91.231200667793 30.675033202149, -91.231196762392 30.675049788947, -91.231192184028 30.675066247142, -91.231186938982 30.67508255599, -91.231181033538 30.675098694751, -91.231167270751 30.67513038446, -91.23084061171 30.675807150966, -91.231716684726 30.678031176505, -91.23153160499 30.678112605187, -91.23186217744 30.678614145862, -91.232159543727 30.67846191072, -91.233285498076 30.67887199316, -91.233890589447 30.678517983368, -91.23554597319 30.678544606341, -91.237980419643 30.677718772745, -91.238573073347 30.678398118915, -91.238761730153 30.679250371581, -91.236316091114 30.68019983775, -91.233659881184 30.679970579651, -91.232835149399 30.680073809111, -91.232701533557 30.680169583354, -91.231759272412 30.681801423006, -91.232150509547 30.682898097919, -91.230167253196 30.683380981982, -91.229992889813 30.68342442046, -91.229648090897 30.683522240271, -91.22928191994 30.682932219581, -91.229292506868 30.681489516366, -91.229257153322 30.680950947056, -91.229273494302 30.680961895856, -91.229273667457 30.680938138846, -91.229388647121 30.680789103292, -91.229521339809 30.680617109102, -91.229640762207 30.68046231475, -91.229667299771 30.680427915688, -91.229786721714 30.680273120291, -91.229919411975 30.680101126572, -91.230052102819 30.679929131808, -91.230180689417 30.679762454669, -91.23018613226 30.679758034542, -91.230334347432 30.67963767182, -91.230505608897 30.679497513237, -91.23068050975 30.679356555357, -91.23079260455 30.679265522781, -91.230827244737 30.6792373924, -91.230481034189 30.678868336216, -91.23052439139 30.678827239952, -91.230564914329 30.678870449732, -91.230874485096 30.679200430239, -91.231177985596 30.678952286742, -91.232653961924 30.680098383119, -91.232767363689 30.680026585265, -91.231246794117 30.678817763325, -91.231808830381 30.678644202421, -91.231470138924 30.678139658898, -91.22967756844 30.676310222349, -91.229516596945 30.675723429683, -91.22997505461 30.674940695309, -91.228742503381 30.674587939314, -91.227965408354 30.675928554611, -91.228296796241 30.677833643252, -91.228746660421 30.67802951436, -91.229064362156 30.677796807584, -91.229079789684 30.677789693828, -91.229095501602 30.677783061967, -91.229111477029 30.677776920105, -91.229127698217 30.677771276343, -91.229144141156 30.67776613788, -91.229160787053 30.677761511015, -91.229177612946 30.677757401142, -91.229194599 30.677753814559, -91.229211722251 30.677750755758, -91.229228961824 30.677748229233, -91.229246294757 30.677746235868, -91.229263698089 30.677744781056, -91.229281150945 30.677743864782, -91.229298631411 30.677743488832, -91.229316115484 30.677743653187, -91.229333581247 30.677744358732, -91.229351007832 30.677745603647, -91.229368371237 30.677747387011, -91.229385648507 30.677749705198, -91.229402819815 30.67775255729, -91.229419862209 30.677755937858, -91.229436753777 30.677759843275, -91.229453472608 30.677764269016, -91.229469997839 30.67776920875, -91.22948630756 30.677774656144, -91.229502381951 30.677780603969, -91.229518199104 30.677787045893, -91.229533740245 30.677793971978, -91.229548984509 30.677801374993, -91.229563912081 30.677809244099, -91.229578505229 30.677817569358, -91.229592743091 30.677826341736, -91.229606610029 30.677835547689, -91.229620086224 30.677845177281, -91.229633156036 30.677855216968, -91.229645801738 30.677865655011, -91.229658006646 30.677876476965, -91.229681035699 30.67789921844, -91.230382570215 30.67867604306, -91.230423096174 30.67871924026, -91.230379734798 30.678760341901, -91.230046042002 30.678404630469, -91.230025465392 30.678382697371, -91.230004889835 30.678360764271, -91.22798493904 30.680613071143, -91.227131865174 30.681563698312, -91.227089619807 30.681610773744, -91.224394230803 30.680741438819, -91.224168499303 30.680668594402, -91.223944998594 30.680596468538, -91.223721498209 30.680524343196, -91.223706480726 30.680519496905, -91.223505086788 30.680435852761, -91.223289185303 30.680346184367, -91.223094834184 30.680265519368, -91.222586530162 30.680054425754, -91.222144558465 30.679870782591, -91.222080732952 30.679844273074, -91.221776753989 30.6803027243, -91.221638830104 30.680513658781, -91.221521449238 30.680693172662, -91.221404067946 30.680872687329, -91.221304288128 30.681025283631, -91.221722291463 30.681267216181, -91.22168071923 30.681309347448, -91.221680704629 30.681309338415, -91.221272816518 30.681073401832, -91.221226871855 30.681143710769, -91.221214648779 30.681142019086, -91.220985896608 30.681110366024, -91.220970984067 30.680945910596, -91.220952342416 30.680740341069, -91.220933700842 30.680534772426, -91.220915059346 30.680329202863, -91.220896416884 30.680123633282, -91.220877179797 30.679911493834, -91.220855904647 30.679656147227, -91.220956622481 30.679405613454, -91.221723967737 30.67901851065, -91.223358838912 30.679367142976, -91.223330934142 30.678008343035, -91.223814650511 30.677694773228, -91.223835774558 30.676348913646, -91.222974137814 30.675783501844, -91.222009338919 30.677827436528, -91.219813930427 30.67884022644, -91.219619089622 30.679083840553, -91.219540727645 30.679373678712, -91.219358254228 30.679600717739, -91.219258884723 30.679724354774, -91.219098453089 30.679927004873, -91.219320419305 30.680403046218, -91.219157363978 30.680579540291, -91.218101196225 30.680673619025, -91.219746142424 30.683164365198, -91.21954314659 30.683401318617)), ((-91.223150799563 30.681402866526, -91.223984985718 30.681686388759, -91.225049646622 30.682047455935, -91.227405590909 30.683134445365, -91.22783889276 30.684152407174, -91.227702667395 30.684203623034, -91.227650777718 30.684228282302, -91.227160507668 30.684424649461, -91.226627999351 30.684635033206, -91.226599459825 30.6846463088, -91.226523311463 30.684676180646, -91.222892712342 30.68246866702, -91.221769167336 30.683207707115, -91.220107020464 30.68432305602, -91.21994939342 30.684093850647, -91.21979177752 30.683864664019, -91.220023882404 30.683626538173, -91.219837377784 30.683287269976, -91.219893766294 30.683260515022, -91.220087757554 30.683561091527, -91.221064568157 30.682492065795, -91.221223339607 30.682329884381, -91.221236733508 30.682316148174, -91.221250126361 30.682302411964, -91.221345912853 30.682235358117, -91.221537302665 30.682101379945, -91.221728691961 30.681967400589, -91.221935051911 30.681822941349, -91.222221707388 30.681622269986, -91.221867019451 30.681417108615, -91.221813797927 30.681386323351, -91.221834570972 30.681365274376, -91.221855344009 30.681344224495, -91.222273350037 30.68158615528, -91.2225093684 30.681421025151, -91.222594355751 30.681418459591, -91.222743795931 30.681414389082, -91.223150799563 30.681402866526)))","179","Beaver Creek Park and Golf Course","Golf Course","22600 BEAVER CREEK BLVD","ZACHARY","LOUISIANA","70791","BVRCK"
"MULTIPOLYGON (((-91.116281034368 30.684493673111, -91.116292953353 30.685805957705, -91.112086823503 30.685730856887, -91.110919985584 30.685711374956, -91.108125844084 30.685664682321, -91.108071548604 30.685307034164, -91.108060309713 30.685122428597, -91.108062577843 30.684010592728, -91.10805748146 30.683845517021, -91.108041463379 30.68368682612, -91.108013126749 30.68352051844, -91.107994434155 30.6833667714, -91.107990915599 30.683305493627, -91.107985061954 30.683203596137, -91.107963910191 30.682895490072, -91.107941028661 30.681281159516, -91.108799046851 30.681448408752, -91.109539873664 30.681599021809, -91.109922817265 30.681677308298, -91.110035260344 30.681699363387, -91.110149833722 30.681715771768, -91.110337339768 30.681738384103, -91.110529732819 30.681748185, -91.110722355176 30.681744667806, -91.110911823833 30.681728065877, -91.111029681078 30.681713131407, -91.111147337709 30.681692238711, -91.111350481488 30.681641370013, -91.111560453718 30.681576430224, -91.11176481918 30.681491020407, -91.112349520833 30.68119867029, -91.112437135234 30.681158403478, -91.112526590799 30.681124094755, -91.112691345682 30.681068288289, -91.11285686526 30.681026119499, -91.113027682612 30.680996397143, -91.113550568764 30.680929068416, -91.113792520844 30.680896609016, -91.114041225399 30.680846996867, -91.114284188936 30.680781257622, -91.114711984622 30.680646391409, -91.116241818006 30.680175755077, -91.116269976689 30.683276153649, -91.116281034368 30.684493673111)))","125","Doyle's Bayou Park","Neighborhood","7801 PORT HUDSON-PRIDE RD","SLAUGHTER","LOUISIANA","70777","DYLBY"
"MULTIPOLYGON (((-91.156799186829 30.450351897552, -91.156824937524 30.451011409983, -91.156829229686 30.451121329461, -91.156833521858 30.451231248033, -91.156842327155 30.451392412481, -91.156847049407 30.451506997167, -91.156851770638 30.451621577337, -91.156856489789 30.451736162011, -91.15722961399 30.451723895841, -91.157234238835 30.451838478568, -91.156861207914 30.451850743974, -91.156865929174 30.451965325937, -91.156870648362 30.452079907893, -91.156875369637 30.452194493456, -91.156879976077 30.452306325719, -91.156880088847 30.452309075404, -91.156550151505 30.452319921618, -91.15637915589 30.452325541125, -91.156212714805 30.452331012255, -91.156008358658 30.45233773134, -91.155992969765 30.451868931338, -91.155990214218 30.451684441809, -91.155986270894 30.451420555153, -91.155984555778 30.451305872529, -91.155980204352 30.451014581053, -91.156114188504 30.451010512763, -91.156138099082 30.450373282221, -91.156799186829 30.450351897552)))","120","Kernan Avenue Park","Neighborhood","333 KERNAN AVE","BATON ROUGE","LOUISIANA","70802","KRNAN"
