"address_no_complete","st_prefix_dir","st_prefix_type","st_name","st_suffix_type","st_suffix_dir","st_ext","full_address","city","zip","district_num","council_person","lot_location"
"500","N",,"10TH","ST",,,"500 N 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"615","S",,"10TH","ST",,,"615 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"639","S",,"10TH","ST",,,"639 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"613","S",,"10TH","ST",,,"613 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"348","S",,"10TH","ST",,,"348 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"600","S",,"10TH","ST",,,"600 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1219","S",,"10TH","ST",,,"1219 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"822","S",,"10TH","ST",,,"822 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"404","N",,"10TH","ST",,,"404 N 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1200-1300","S",,"10TH","ST",,,"1200-1300 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1200-1300","S",,"10TH","ST",,,"1200-1300 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1200-1300","S",,"10TH","ST",,,"1200-1300 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"840","N",,"10TH","ST",,,"840 N 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"300","N",,"10TH","ST",,,"300 N 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1230","S",,"10TH","ST",,,"1230 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"830","N",,"10TH","ST",,,"830 N 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"107","S",,"10TH","ST",,,"107 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"177","S",,"10TH","ST",,,"177 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"BILLBD 510","N",,"10TH","ST",,,"BILLBD 510 N 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1215","S",,"10TH","ST",,,"1215 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"700","N",,"10TH","ST",,,"700 N 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1234","S",,"10TH","ST",,,"1234 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"BILLBD 140","N",,"10TH","ST",,,"BILLBD 140 N 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"T 140","N",,"10TH","ST",,,"T 140 N 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"T 634","N",,"10TH","ST",,,"T 634 N 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1239","S",,"10TH","ST",,,"1239 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1237","S",,"10TH","ST",,,"1237 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"622","S",,"10TH","ST",,,"622 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"621","S",,"10TH","ST",,,"621 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"610","S",,"10TH","ST",,,"610 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"133","S",,"10TH","ST",,,"133 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1100-1200","S",,"10TH","ST",,,"1100-1200 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"604","S",,"10TH","ST",,,"604 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"T 620","N",,"10TH","ST",,,"T 620 N 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"630","S",,"10TH","ST",,,"630 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"T 141","S",,"10TH","ST",,,"T 141 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1232","S",,"10TH","ST",,,"1232 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1150","S",,"10TH","ST",,,"1150 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"BILLBD 551","S",,"10TH","ST",,,"BILLBD 551 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1226","S",,"10TH","ST",,,"1226 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"600-800","N",,"10TH","ST",,,"600-800 N 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"600-800","N",,"10TH","ST",,,"600-800 N 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
