"id","year","month","main","baker","bluebonnet","carver","central","delmont_gardens","eden_park","fairwood","greenwell_springs","jones_creek","pride","river_center","scotlandville","zachary","total"
"202208","2022","August","4312","1113","2332","924","745","2214","1176","1516","1301","2101","170","1334","1336","1608","22182"
"202207","2022","July","4002","990","2080","975","565","1885","1009","1288","1114","1873","134","1132","1208","1116","19371"
"202206","2022","June","3697","964","2052","1011","601","2139","987","1306","1125","1791","144","1082","1184","1073","19156"
"202205","2022","May","3477","911","2047","708","537","1766","860","1290","1003","1478","162","1003","1099","948","17289"
"202204","2022","April","3605","898","2097","810","529","1606","851","1224","1122","1766","135","935","1017","952","17547"
"202203","2022","March","3746","1037","2009","715","489","1736","916","1160","1203","1824","149","867","1150","1022","18023"
"202202","2022","February","3680","1052","1882","710","509","1944","996","1332","1328","1724","161","791","1102","945","18156"
"202201","2022","January","3601","859","1850","702","483","1708","918","1250","1037","1601","92","955","1222","944","17222"
"202112","2021","December","3105","807","1816","638","429","1462","803","1214","989","1456","119","925","1102","846","15711"
"202111","2021","November","3485","865","1932","717","498","1605","889","1149","934","1569","134","1053","1106","885","16821"
"202110","2021","October","3901","934","2043","679","498","1751","1001","1328","1121","1705","157","1016","1180","998","18312"
"202109","2021","September","3417","770","1793","596","435","1352","781","1112","821","1471","119","857","1177","1016","15717"
"202108","2021","August","3588","845","1835","695","468","1584","999","705","1053","1506","52","894","1210","1145","16579"
"202107","2021","July","3743","943","1950","835","507","1730","932","1251","1110","1646","138","1049","1061","1407","18302"
"202106","2021","June","3552","966","1971","723","434","1746","1016","1278","1038","1493","119","464","1213","1001","17014"
"202105","2021","May","2912","813","1651","608","401","1467","831","1116","892","1345","99","600","905","687","14327"
"202104","2021","April","2964","844","1740","641","413","1467","870","1167","941","1360","91","644","963","769","14874"
"202103","2021","March","3526","865","1798","695","483","1851","1086","1370","988","1469","146","825","1195","1009","17306"
"202102","2021","February","2900","758","1528","537","408","1451","888","1011","872","1134","100","572","1003","784","13946"
"202101","2021","January","3393","1003","1826","648","464","1629","1004","1322","993","1175","117","717","1112","807","16210"
"202012","2020","December","3033","781","1716","588","423","1689","935","1108","886","1030","91","772","1055","895","15002"
"202011","2020","November","3113","873","2195","506","393","1646","809","1186","858","1009","84","762","1052","787","15273"
"202010","2020","October","3318","970","1643","564","407","1699","1036","1440","992","1044","123","847","1112","869","16064"
"202009","2020","September","3165","914","1734","524","403","1676","909","1201","915","1183","144","892","1141","898","15699"
"202008","2020","August","2888","776","1435","505","341","1433","892","1061","770","1038","118","668","1052","722","13699"
"202007","2020","July","3132","904","1468","535","336","1459","934","1083","685","1043","86","648","914","701","13928"
"202006","2020","June","2495","757","1169","432","269","1045","708","861","536","786","79","138","788","536","10599"
"202005","2020","May","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202004","2020","April","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202003","2020","March","4655","965","2163","1131","526","1638","1084","1335","944","1475","170","0","1453","1114","18653"
"202002","2020","February","9688","2332","4187","2059","1116","3549","2558","2750","2149","2946","376","1025","3120","2296","40151"
"202001","2020","January","9449","2117","4542","2084","997","3609","2476","2671","2000","2938","344","1575","3224","2657","40683"
"201912","2019","December","7905","1736","3823","1846","833","2993","1991","2359","1734","2168","285","1536","2553","2070","33832"
"201911","2019","November","8608","1766","3845","1632","938","3039","2045","2330","1691","2768","332","1698","2642","2075","35409"
"201910","2019","October","11139","2147","4871","1934","1207","3867","2734","2703","2113","3559","410","1625","3645","2770","44724"
"201909","2019","September","11554","2108","5148","2116","1123","3861","2830","2779","2064","3423","399","1323","3741","2473","44942"
"201908","2019","August","11553","2287","5072","2080","1313","3889","3081","2879","1856","3610","458","1577","3843","3101","46599"
"201907","2019","July","9945","2083","4410","1909","1177","3714","2699","2391","1997","2809","305","1384","3266","2505","40594"
"201906","2019","June","10791","2049","4428","2198","1190","3598","2610","2621","1987","3567","254","1258","3277","2865","42693"
"201905","2019","May","9584","2052","4219","1843","1023","3178","2433","2294","1601","3251","291","1204","3219","2532","38724"
"201904","2019","April","9117","1775","3995","1675","934","2889","2345","2202","1733","3123","269","1012","3247","2252","36568"
"201903","2019","March","9563","1956","4237","1808","875","2865","2413","2317","1330","3181","336","1023","2990","2366","37260"
"201902","2019","February","11244","2242","4766","2027","1239","3747","3277","2967","1136","3671","371","1220","3805","2558","44270"
