"the_geom","id","business_name","full_address","city","state","zip","phone_number","website"
"POINT (-91.136192285144 30.552497321907)","2","DONNA'S GUARDIAN ANGEL DAYCARE CENTER","5557 HALSEY ST","BATON ROUGE","LOUISIANA","70811",,
"POINT (-91.048727934583 30.400537944895)","94","KIDS ARE SPECIAL LEARNING CENTER","5455 PARKVIEW CHURCH RD","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.127912407962 30.449402635853)","41","NEW LIFE CHRISTIAN DAY CARE & LEARNING ACADEMY","170 S ARDENWOOD DR","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.127912407962 30.449402635853)","42","ROBSON'S QUALITY CHILDCARE & LEARNING CENTER","170 S ARDENWOOD DR","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.063767946186 30.36534830479)","63","LADS & LASSIES DAY CARE CENTER","13833 PERKINS RD","BATON ROUGE","LOUISIANA","70810",,
"POINT (-91.112243923418 30.44869542932)","28","BATON ROUGE CHILD DEVELOPMENT CENTER","248 LOBDELL AVE","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.200122331885 30.573561165174)","8","BONNIE'S DAYCARE & LEARNING CENTER","14065 GLYNN RD","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.023324636699 30.436426782688)","90","AMAZING KIDS CABBY LLC","14532 CHIMNEYWOOD AVE","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.127925146441 30.574762220839)","48","CREATIVE TEACHING TOOLS","14010 PLANK RD","BAKER","LOUISIANA","70714",,
"POINT (-91.140122719772 30.474768433191)","27","CINDYS LITTLE ANGELS DAYCARE & PRESCHOOL","2862 N FOSTER DR","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.078716352149 30.488043491391)","68","ROSE OF SHARON DAYCARE & LEARNING CENTER","9725 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814",,
"POINT (-90.99175230787 30.355567779069)","102","CORBAN EARLY CHILDHOOD CENTER","17450 HOO SHOO TOO RD","BATON ROUGE","LOUISIANA","70817",,
"POINT (-91.145682104347 30.448258107739)","95","LITTLE STARS DAYCARE LEARNING CENTER","4244 NORTH BLVD","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.159564397906 30.492407336573)","81","COURTNEYS CHRISTIAN CHILDCARE","3054 EVANGELINE ST","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.075329625341 30.487286231727)","50","TOTS N TODDLERS INC","4006 PLATT DR","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.066668454677 30.367093194383)","129","LATONYAS FAMILY IN HOME","9050 METAIRIE DR","BATON ROUGE","LOUISIANA","70810",,
"POINT (-91.122254520725 30.460179905545)","30","FOOTPRINTS OF LOVE DAYCARE CENTER","6729 CEZANNE AVE","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.140122719772 30.474768433191)","26","CINDY'S LITTLE ANGELS DAYCARE","2862 N FOSTER DR","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.180941286646 30.404586126673)","97","LSU CHILD CARE CENTER","4001 GOURRIER AVE","BATON ROUGE","LOUISIANA","70808",,
"POINT (-91.002589151296 30.362626704334)","9","LINDA'S GUARDIAN ANGEL DAYCARE","17077 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70817",,
"POINT (-91.141358828385 30.50192468076)","1","DAYCARE CENTER","5685 N FOSTER DR","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.144886024372 30.474389347956)","16","GOOD SHEPHERD DAY CARE CENTER","2863 MISSION DR","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.125500706893 30.449572758269)","76","LIGHTHOUSE LEARNING CENTER, THE","162 MARQUETTE AVE","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.119091538503 30.456871057074)","23","VICTORY & POWER DAY CARE","6966 HARRY DR","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.146504396212 30.448720644835)","110","BUSY TOTS AND TODDLERS","4183 NORTH BLVD","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.145509256624 30.522850524943)","18","NIKI'S DAYCARE","8157 PLANK RD","BATON ROUGE","LOUISIANA","70811",,
"POINT (-91.137085134091 30.518204071989)","59","LA CARTA CHILDCARE & LEARNING CENTER","5360 STEARNS ST","BATON ROUGE","LOUISIANA","70811",,
"POINT (-91.013775163342 30.456952781882)","55","MOTHER'S CHOICE DAYCARE","621 SHADYGLEN DR","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.034329200034 30.374710479073)","121","TIGER TOTS,LLC","8216 BRIARWOOD PL","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.020410973168 30.454185611953)","31","RICHARDSON'S DAY CARE","14885 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70819",,
"POINT (-91.122447830555 30.435614287708)","11","RUNNELS SCHOOL PRESCHOOL","6455 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.171105050284 30.586070532731)","136","MS. KIM'S EARLY ACHIEVES CHILDCARE","2918 RAY WEILAND DR","BAKER","LOUISIANA","70714",,
"POINT (-91.156507435105 30.465705037014)","115","JENKINS INFANT & TODDLER","3173 WASHINGTON AVE","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.164652737588 30.469341971447)","108","BATON ROUGE CHRISTIAN ACADEMY","2432 MONROE AVE","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.141106354725 30.51040950174)","60","PAT'S DAYCARE CENTER","6637 N FOSTER DR","BATON ROUGE","LOUISIANA","70811",,
"POINT (-91.11421289763 30.458084107807)","78","GREATER KING DAVID BAPTIST CHURCH INNER CITY MINISTRY","7305 HARRY DR","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.037868516157 30.406339468836)","56","A LIL' ONE'S LEARNING CENTER","4952 STUMBERG LN","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.146872673869 30.52043753137)","29","BRILLIANT BEGINNINGS CHILD DEVELOPMENT AND LEARNING CENTER","4338 HARDING BLVD","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.15803812302 30.486434143327)","84","S & S CHILDCARE","4029 PLANK RD","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.141434523339 30.478656070261)","113","CATERPILLAR'S COLLEGE","4904 WINBOURNE AVE","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.102653561092 30.368961925091)","32","PLAYDATES DROP IN HOURLY CHILD CARE","8821 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","70810",,
"POINT (-91.16896424395 30.521127842737)","44","COMMUNITY DAYCARE CENTER OF SCOTLANDVILLE","2315 HARDING BLVD","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.007421353807 30.456135548135)","99","CHARITY CHRISTIAN PRE-SCHOOL","871 O'NEAL LN","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.072735787595 30.462057477608)","10","MARANATHA DAYCARE","1433 SHARP LN","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.063638650583 30.493403335865)","14","LIL' RUGRATS DAYCARE CENTER INC.","10808 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.083643641924 30.466547384201)","133","BAP'S CHILDCARE & LEARNING CENTER 2","1787 N REDONDO DR","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.170485103324 30.450706348865)","120","A STEP AHEAD CHILD DEVELOPMENT AND LEARNING CENTER","1736 LAUREL ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.063638650583 30.493403335865)","15","LITTLE ROYAL JEEWELS LEARNING ACADEMY","10808 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.022819578878 30.430376830847)","46","KIDZ KORNER DAYCARE #2","14635 S HARRELL'S FERRY RD, STE 3","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.116256539393 30.44953413359)","43","KIDS WORLD CHILDCARE","112 SHIP DR","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.179389080734 30.523597235817)","24","EMMANUEL CHILD DEVELOPMENT AND LEARNING CENTER","1384 SWAN AVE","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.056770799807 30.470165160205)","54","CREATIVE CHILDRENS LEARNING","11375 STAN AVE","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.057758145917 30.468693975925)","19","FAITH CHILD CARE & LEARNING CTR.","2208 N SHERWOOD FOREST DR","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.056770799807 30.470165160205)","53","CHILDREN'S UNIVERSE","11375 STAN AVE","BATON ROUGE","LOUISIANA","70815",,
