"id","year","month","count_type","american","casino","continental","continental_express","delta","emerald","frontier","l_express","northwest","royale","united","us_airways","via","vision_airlines","total_passengers"
"202206E","2022","June","Enplanement","12656","0","0","0","11064","0","0","0","0","0","5387","0","0","0","29107"
"202206D","2022","June","Deplanement","12532","0","0","0","11174","0","0","0","0","0","5439","0","0","0","29145"
"202205E","2022","May","Enplanement","13449","0","0","0","9180","0","0","0","0","0","6917","0","0","0","29546"
"202205D","2022","May","Deplanement","12506","0","0","0","8728","0","0","0","0","0","6356","0","0","0","27590"
"202204E","2022","April","Enplanement","12988","0","0","0","9074","0","0","0","0","0","4959","0","0","0","27021"
"202204D","2022","April","Deplanement","12899","0","0","0","9074","0","0","0","0","0","4886","0","0","0","26859"
"202203E","2022","March","Enplanement","10595","0","0","0","9188","0","0","0","0","0","6246","0","0","0","26029"
"202203D","2022","March","Deplanement","10704","0","0","0","9174","0","0","0","0","0","6434","0","0","0","26312"
"202202E","2022","February","Enplanement","10001","0","0","0","8618","0","0","0","0","0","4889","0","0","0","23508"
"202202D","2022","February","Deplanement","9391","0","0","0","8269","0","0","0","0","0","4699","0","0","0","22359"
"202201E","2022","January","Enplanement","9706","0","0","0","7584","0","0","0","0","0","3117","0","0","0","20407"
"202201D","2022","January","Deplanement","9817","0","0","0","7820","0","0","0","0","0","3324","0","0","0","20961"
"202112E","2021","December","Enplanement","11615","0","0","0","8504","0","0","0","0","0","5400","0","0","0","25519"
"202112D","2021","December","Deplanement","10968","0","0","0","8113","0","0","0","0","0","4870","0","0","0","23951"
"202111E","2021","November","Enplanement","12753","0","0","0","8034","0","0","0","0","0","6453","0","0","0","27240"
"202111D","2021","November","Deplanement","12411","0","0","0","8123","0","0","0","0","0","6386","0","0","0","26920"
"202110E","2021","October","Enplanement","13992","0","0","0","8849","0","0","0","0","0","6608","0","0","0","29449"
"202110D","2021","October","Deplanement","14134","0","0","0","8548","0","0","0","0","0","6731","0","0","0","29413"
"202109E","2021","September","Enplanement","13980","0","0","0","8439","0","0","0","0","0","7295","0","0","0","29714"
"202109D","2021","September","Deplanement","13943","0","0","0","8765","0","0","0","0","0","7376","0","0","0","30084"
"202108E","2021","August","Enplanement","10393","0","0","0","7166","0","0","0","0","0","5371","0","0","0","22930"
"202108D","2021","August","Deplanement","10860","0","0","0","7247","0","0","0","0","0","5586","0","0","0","23693"
"202107E","2021","July","Enplanement","12655","0","0","0","9232","0","0","0","0","0","6345","0","0","0","28232"
"202107D","2021","July","Deplanement","12775","0","0","0","9098","0","0","0","0","0","6433","0","0","0","28306"
"202106E","2021","June","Enplanement","12506","0","0","0","8636","0","0","0","0","0","6579","0","0","0","27721"
"202106D","2021","June","Deplanement","12424","0","0","0","7976","0","0","0","0","0","6366","0","0","0","26766"
"202105E","2021","May","Enplanement","13012","0","0","0","8797","0","0","0","0","0","5887","0","0","0","27696"
"202105D","2021","May","Deplanement","12602","0","0","0","8309","0","0","0","0","0","6018","0","0","0","26929"
"202104E","2021","April","Enplanement","11304","0","0","0","5117","0","0","0","0","0","5446","0","0","0","21867"
"202104D","2021","April","Deplanement","11364","0","0","0","5063","0","0","0","0","0","5504","0","0","0","21931"
"202103E","2021","March","Enplanement","8625","0","0","0","4960","0","0","0","0","0","3777","0","0","0","17362"
"202103D","2021","March","Deplanement","8836","0","0","0","4878","0","0","0","0","0","3849","0","0","0","17563"
"202102E","2021","February","Enplanement","6128","0","0","0","3507","0","0","0","0","0","2321","0","0","0","11956"
"202102D","2021","February","Deplanement","6092","0","0","0","3602","0","0","0","0","0","2224","0","0","0","11918"
"202101E","2021","January","Enplanement","6707","0","0","0","3591","0","0","0","0","0","2333","0","0","0","12631"
"202101D","2021","January","Deplanement","7047","0","0","0","3870","0","0","0","0","0","2580","0","0","0","13497"
"202012E","2020","December","Enplanement","8095","0","0","0","4438","0","0","0","0","0","2940","0","0","0","15473"
"202012D","2020","December","Deplanement","7968","0","0","0","4375","0","0","0","0","0","2683","0","0","0","15026"
