"the_geom","id","address_id","full_address","city","state","zip_code","address_authority","latitude","longitude"
"POINT (-91.033195890393 30.349945468452)","252","0","BILLBD 17455 PERKINS RD","BATON ROUGE","LOUISIANA","70810","PARISH","30","-91"
"POINT (-91.097253119404 30.349074957611)","250","0","12102 BURBANK DR","BATON ROUGE","LOUISIANA","70810","PARISH","30","-91"
"POINT (-91.125065915075 30.360765467237)","251","0","BILLBD 9222 BURBANK DR","BATON ROUGE","LOUISIANA","70820","PARISH","30","-91"
"POINT (-91.127865925425 30.575505513541)","3","0","BILLBD 14030 PLANK RD","BAKER","LOUISIANA","70714","BAKER","31","-91"
"POINT (-91.021465889051 30.407975481457)","5","0","BILLBD 13950 COURSEY BLVD","BATON ROUGE","LOUISIANA","70817","PARISH","30","-91"
"POINT (-91.042743652443 30.373740720117)","82","0","BILLBD 8386 PECUE LN","BATON ROUGE","LOUISIANA","70809","PARISH","30","-91"
"POINT (-91.127765925929 30.577135514009)","214","0","BILLBD 14229 PLANK RD","BAKER","LOUISIANA","70714","BAKER","31","-91"
"POINT (-91.181175935389 30.472585489613)","359","0","BILLBD 913 CHIPPEWA ST","BATON ROUGE","LOUISIANA","70805","BATON ROUGE","30","-91"
"POINT (-91.007555886226 30.425625485461)","335","0","BILLBD 2991 O'NEAL LN","BATON ROUGE","LOUISIANA","70816","BATON ROUGE","30","-91"
"POINT (-91.096765912707 30.481895494759)","306","0","BILLBD 8644 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814","PARISH","30","-91"
"POINT (-91.152225928568 30.501665496862)","391","0","BILLBD 5676 PLANK RD","BATON ROUGE","LOUISIANA","70805","BATON ROUGE","31","-91"
"POINT (-91.179075931457 30.398145473598)","354","0","BILLBD 4245 NICHOLSON DR","BATON ROUGE","LOUISIANA","70820","BATON ROUGE","30","-91"
"POINT (-91.166422931102 30.46132848763)","112","0","BILLBD 1402 PLANK RD","BATON ROUGE","LOUISIANA","70802","BATON ROUGE","30","-91"
"POINT (-91.139395921788 30.423605480232)","177","0","BILLBD 4753 ALDRICH DR","BATON ROUGE","LOUISIANA","70808","BATON ROUGE","30","-91"
"POINT (-91.069355901276 30.374305472833)","4","0","BILLBD 8181 SIEGEN LN","BATON ROUGE","LOUISIANA","70810","PARISH","30","-91"
"POINT (-91.040905893807 30.385505476235)","249","0","BILLBD 12601 AIRLINE HWY","BATON ROUGE","LOUISIANA","70817","BATON ROUGE","30","-91"
"POINT (-91.071595903473 30.41819548179)","6","0","BILLBD 10270 AIRLINE HWY","BATON ROUGE","LOUISIANA","70809","BATON ROUGE","30","-91"
"POINT (-91.058739138618 30.472210498615)","445","0","BILLBD 11210 S CHOCTAW DR","BATON ROUGE","LOUISIANA","70815","BATON ROUGE","30","-91"
"POINT (-91.05947765396 30.392545287426)","446","0","BILLBD 6275 SIEGEN LN","BATON ROUGE","LOUISIANA","70809","PARISH","30","-91"
"POINT (-91.111573386822 30.433904377252)","447","0","7441 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70806","BATON ROUGE","30","-91"
"POINT (-91.037385900319 30.554655511797)","230","0","BILLBD 13561 HOOPER RD","CENTRAL","LOUISIANA","70818","CENTRAL","31","-91"
"POINT (-91.143175925074 30.462185488375)","110","0","BILLBD 4643 GUS YOUNG AVE","BATON ROUGE","LOUISIANA","70802","BATON ROUGE","30","-91"
"POINT (-91.060485899743 30.406615479404)","21","0","BILLBD 10835 AIRLINE HWY","BATON ROUGE","LOUISIANA","70816","PARISH","30","-91"
"POINT (-91.178200933083 30.444470483439)","51","0","BILLBD 336 S 11TH ST","BATON ROUGE","LOUISIANA","70802","BATON ROUGE","30","-91"
"POINT (-91.18679093506 30.43876048264)","71","0","BILLBD 989 NICHOLSON DR","BATON ROUGE","LOUISIANA","70802","BATON ROUGE","30","-91"
"POINT (-91.130245921 30.468275490684)","117","0","BILLBD 2178 N ARDENWOOD DR","BATON ROUGE","LOUISIANA","70806","BATON ROUGE","30","-91"
"POINT (-91.062475903861 30.493695497925)","345","0","BILLBD 10838 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814","BATON ROUGE","30","-91"
"POINT (-91.179645933472 30.448075484525)","309","0","BILLBD 140 N 10TH ST","BATON ROUGE","LOUISIANA","70802","BATON ROUGE","30","-91"
"POINT (-91.084845909392 30.472285492522)","49","0","BILLBD 9313 S CHOCTAW DR","BATON ROUGE","LOUISIANA","70814","BATON ROUGE","30","-91"
"POINT (-91.095275910513 30.442525486141)","344","0","BILLBD 8558 GOODWOOD BLVD","BATON ROUGE","LOUISIANA","70806","BATON ROUGE","30","-91"
"POINT (-91.090505911166 30.471575492186)","222","0","BILLBD 8900 S CHOCTAW DR","BATON ROUGE","LOUISIANA","70815","BATON ROUGE","30","-91"
"POINT (-91.099835912837 30.45912548956)","196","0","BILLBD 8383 AIRLINE HWY","BATON ROUGE","LOUISIANA","70815","BATON ROUGE","30","-91"
"POINT (-91.042795899797 30.504845501468)","367","0","BILLBD 12821 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814","PARISH","31","-91"
"POINT (-91.073618905699 30.456768490202)","210","0","BILLBD 10039 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815","BATON ROUGE","30","-91"
"POINT (-91.038895892104 30.357285469575)","386","0","BILLBD 16255 OLD PERKINS RD","BATON ROUGE","LOUISIANA","70810","PARISH","30","-91"
"POINT (-91.1546259275 30.453865486375)","305","0","BILLBD 622 N ACADIAN THWY E","BATON ROUGE","LOUISIANA","70802","BATON ROUGE","30","-91"
"POINT (-91.06421590686 30.542755508535)","248","0","BILLBD 11154 HOOPER RD","CENTRAL","LOUISIANA","70818","CENTRAL","31","-91"
"POINT (-91.093365906208 30.34779546632)","173","0","12420 BURBANK DR","BATON ROUGE","LOUISIANA","70810","PARISH","30","-91"
"POINT (-91.105965914616 30.452385487469)","299","0","BILLBD 7981 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70806","BATON ROUGE","30","-91"
"POINT (-91.088751847196 30.471473394406)","131","0","BILLBD 8950 S CHOCTAW DR","BATON ROUGE","LOUISIANA","70815","BATON ROUGE","30","-91"
"POINT (-91.067915903774 30.456965489715)","12","0","BILLBD 10550 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815","BATON ROUGE","30","-91"
"POINT (-91.011025888809 30.465995493699)","373","0","BILLBD 15838 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70819","PARISH","30","-91"
"POINT (-91.071595904937 30.456345489819)","142","0","BILLBD 10130 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815","BATON ROUGE","30","-91"
"POINT (-91.145935307956 30.423174245783)","207","0","BILLBD 2800 NAIRN DR","BATON ROUGE","LOUISIANA","70808","BATON ROUGE","30","-91"
"POINT (-91.187449669704 30.436739836476)","118","0","BILLBD 1220 NICHOLSON DR","BATON ROUGE","LOUISIANA","70802","BATON ROUGE","30","-91"
"POINT (-91.014405888321 30.42652548552)","18","0","BILLBD 15454 S HARRELL'S FERRY RD","BATON ROUGE","LOUISIANA","70816","BATON ROUGE","30","-91"
"POINT (-91.119948307187 30.488548467747)","315","0","BILLBD 6985 AIRLINE HWY","BATON ROUGE","LOUISIANA","70812","PARISH","30","-91"
"POINT (-91.041435894572 30.393905477757)","245","0","BILLBD 12768 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70816","PARISH","30","-91"
"POINT (-91.068785902272 30.414025481137)","9","0","BILLBD 10424 AIRLINE HWY","BATON ROUGE","LOUISIANA","70809","PARISH","30","-91"
"POINT (-91.070045900681 30.366355471057)","47","0","BILLBD 13377 HONEY DR","BATON ROUGE","LOUISIANA","70810","PARISH","30","-91"
"POINT (-91.163975931359 30.490795494353)","282","0","BILLBD 2625 CABLE ST","BATON ROUGE","LOUISIANA","70805","BATON ROUGE","30","-91"
"POINT (-91.173935091511 30.390912375844)","353","0","BILLBD 5055 NICHOLSON DR","BATON ROUGE","LOUISIANA","70820","BATON ROUGE","30","-91"
"POINT (-91.096815908229 30.378505472756)","17","0","BILLBD 9990 PERKINS RD","BATON ROUGE","LOUISIANA","70810","PARISH","30","-91"
"POINT (-91.166055930056 30.456565487045)","302","0","BILLBD 2150 FUQUA ST","BATON ROUGE","LOUISIANA","70802","BATON ROUGE","30","-91"
"POINT (-91.150465929792 30.521835501417)","54","0","BILLBD 8011 MERLE GUSTAFSON DR","BATON ROUGE","LOUISIANA","70807","BATON ROUGE","31","-91"
"POINT (-91.027655890242 30.391175477881)","80","0","BILLBD 14050 TIGER BEND RD","BATON ROUGE","LOUISIANA","70817","PARISH","30","-91"
"POINT (-91.075150163586 30.367579157339)","162","0","BILLBD 12860 PERKINS RD","BATON ROUGE","LOUISIANA","70810","PARISH","30","-91"
"POINT (-91.123495914624 30.360985467718)","260","0","BILLBD 9385 BURBANK DR","BATON ROUGE","LOUISIANA","70810","PARISH","30","-91"
"POINT (-91.155575930663 30.521545501313)","141","0","BILLBD 3445 HARDING BLVD","BATON ROUGE","LOUISIANA","70807","BATON ROUGE","31","-91"
"POINT (-91.141662916124 30.423669201295)","258","0","BILLBD 2740 BROWNLEE ST","BATON ROUGE","LOUISIANA","70808","BATON ROUGE","30","-91"
"POINT (-91.066705901807 30.408805479761)","227","0","BILLBD 10423 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70809","PARISH","30","-91"
"POINT (-91.008580717517 30.459075188374)","374","0","BILLBD 763 O'NEAL LN","BATON ROUGE","LOUISIANA","70816","PARISH","30","-91"
"POINT (-91.069065902573 30.425895483196)","188","0","BILLBD 10187 TWIN CEDARS ST","BATON ROUGE","LOUISIANA","70816","BATON ROUGE","30","-91"
"POINT (-91.112035913289 30.389525474325)","134","0","BILLBD 1713 STARING LN","BATON ROUGE","LOUISIANA","70808","BATON ROUGE","30","-91"
"POINT (-91.103765911743 30.404915477928)","137","0","BILLBD 4950 ESSEN LN","BATON ROUGE","LOUISIANA","70808","BATON ROUGE","30","-91"
"POINT (-91.174750932197 30.430895481203)","52","0","BILLBD 1831 KENTUCKY ST","BATON ROUGE","LOUISIANA","70802","BATON ROUGE","30","-91"
"POINT (-91.088435908221 30.419525481584)","158","0","BILLBD 3438 DRUSILLA LN","BATON ROUGE","LOUISIANA","70809","BATON ROUGE","30","-91"
"POINT (-91.161470931089 30.495960495309)","75","0","BILLBD 2900 DOUGLAS AVE","BATON ROUGE","LOUISIANA","70805","BATON ROUGE","30","-91"
"POINT (-91.122685915004 30.360045467469)","259","0","BILLBD 9413 BURBANK DR","BATON ROUGE","LOUISIANA","70810","PARISH","30","-91"
"POINT (-91.177280933002 30.436395482096)","380","0","BILLBD 1145 TERRACE ST","BATON ROUGE","LOUISIANA","70802","BATON ROUGE","30","-91"
"POINT (-91.146385928032 30.519445500766)","58","0","BILLBD 7811 PLANK RD","BATON ROUGE","LOUISIANA","70807","BATON ROUGE","31","-91"
"POINT (-91.186425935415 30.437905481796)","204","0","BILLBD 1100 HIGHLAND RD","BATON ROUGE","LOUISIANA","70802","BATON ROUGE","30","-91"
"POINT (-91.114010528047 30.355309456094)","1","0","10001 PARKWAY DR","BATON ROUGE","LOUISIANA","70810","PARISH","30","-91"
"POINT (-91.099935909809 30.381025472994)","356","0","BILLBD 7514 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","70810","PARISH","30","-91"
"POINT (-91.180705937827 30.522785500027)","358","0","BILLBD 8235 SCENIC HWY","BATON ROUGE","LOUISIANA","70807","BATON ROUGE","31","-91"
"POINT (-91.008268502515 30.463805115756)","98","0","BILLBD 481 O'NEAL LN","BATON ROUGE","LOUISIANA","70819","PARISH","30","-91"
"POINT (-91.008035885376 30.407535481923)","96","0","BILLBD 5115 BLUEWATER DR","BATON ROUGE","LOUISIANA","70817","PARISH","30","-91"
"POINT (-91.157385927284 30.42569548029)","239","0","BILLBD 3040 S EUGENE ST","BATON ROUGE","LOUISIANA","70808","BATON ROUGE","30","-91"
"POINT (-91.107315923812 30.648815529616)","218","0","BILLBD 9522 MAIN ST","ZACHARY","LOUISIANA","70791","ZACHARY","31","-91"
"POINT (-91.17024592878 30.389175472048)","229","0","BILLBD 990 W LEE DR","BATON ROUGE","LOUISIANA","70820","BATON ROUGE","30","-91"
"POINT (-91.151245926674 30.450635485737)","172","0","BILLBD 3829 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70806","BATON ROUGE","30","-91"
"POINT (-91.17776593256 30.439935482457)","72","0","BILLBD 935 S 11TH ST","BATON ROUGE","LOUISIANA","70802","BATON ROUGE","30","-91"
"POINT (-91.106565911074 30.390965474681)","253","0","BILLBD 8150 PERKINS RD","BATON ROUGE","LOUISIANA","70810","BATON ROUGE","30","-91"
"POINT (-91.066443906643 30.434718972638)","40","0","BILLBD 1844 SHARP RD","BATON ROUGE","LOUISIANA","70815","BATON ROUGE","30","-91"
"POINT (-91.073925522295 30.367855407037)","228","0","BILLBD 9031 SIEGEN LN","BATON ROUGE","LOUISIANA","70810","PARISH","30","-91"
"POINT (-91.083140906857 30.434260484891)","14","0","BILLBD 9550 AIRLINE HWY","BATON ROUGE","LOUISIANA","70815","BATON ROUGE","30","-91"
