"budget_line_code","fiscal_year","function","dept_name","fund","appropriation","budget_unit_code","budget_unit","object_class","gov_recommendation","dept_request","adopted_budget"
"2010-0001-0I77-2855177-05A","2010","Education","Iowa Public Television","0001 - General Fund","0I77 - Regional Tele Councils","2855177","Regional Councils","05A - Appropriation","1239280","1364525","1232071"
"2010-0001-0I78-2851000-05A","2010","Education","Iowa Public Television","0001 - General Fund","0I78 - Iowa Public Television","2851000","Engineering and Information Technology","05A - Appropriation","4028960","5056923","4552678"
"2010-0001-0I78-2852000-05A","2010","Education","Iowa Public Television","0001 - General Fund","0I78 - Iowa Public Television","2852000","Programming, Operations and Production","05A - Appropriation","1395013","1395013","1564662"
"2010-0001-0I78-2853000-05A","2010","Education","Iowa Public Television","0001 - General Fund","0I78 - Iowa Public Television","2853000","Communications and Community Engagement","05A - Appropriation","375648","375648","584347"
"2010-0001-0I78-2854000-05A","2010","Education","Iowa Public Television","0001 - General Fund","0I78 - Iowa Public Television","2854000","Educational Services","05A - Appropriation","1038240","1038240","1126165"
"2010-0001-0I78-2856000-05A","2010","Education","Iowa Public Television","0001 - General Fund","0I78 - Iowa Public Television","2856000","Administration","05A - Appropriation","1219317","1219317","1143830"
"2010-0017-003I-28503I0-05A","2010","Education","Iowa Public Television","0017 - Rebuild Iowa Infrastructure Fund","003I - Dubuque Translator Facility","28503I0","Dubuque Translator Facility","05A - Appropriation","0","800000","0"
"2010-0017-004I-28504I0-05A","2010","Education","Iowa Public Television","0017 - Rebuild Iowa Infrastructure Fund","004I - IPTV Building Purchase","28504I0","IPTV Building Purchase","05A - Appropriation","0","1255500","0"
"2011-0001-0I77-2855177-05A","2011","Education","Iowa Public Television","0001 - General Fund","0I77 - Regional Tele Councils","2855177","Regional Councils","05A - Appropriation","1108864","1232071","1065180"
"2011-0001-0I78-2851000-05A","2011","Education","Iowa Public Television","0001 - General Fund","0I78 - Iowa Public Television","2851000","Engineering and Information Technology","05A - Appropriation","3655510","4552678","4122821"
"2011-0001-0I78-2852000-05A","2011","Education","Iowa Public Television","0001 - General Fund","0I78 - Iowa Public Television","2852000","Programming, Operations and Production","05A - Appropriation","1564662","1564662","1224913"
"2011-0001-0I78-2853000-05A","2011","Education","Iowa Public Television","0001 - General Fund","0I78 - Iowa Public Television","2853000","Communications and Community Engagement","05A - Appropriation","584347","584347","590543"
"2011-0001-0I78-2854000-05A","2011","Education","Iowa Public Television","0001 - General Fund","0I78 - Iowa Public Television","2854000","Educational Services","05A - Appropriation","1126165","1126165","732904"
"2011-0001-0I78-2856000-05A","2011","Education","Iowa Public Television","0001 - General Fund","0I78 - Iowa Public Television","2856000","Administration","05A - Appropriation","1143830","1143830","1085236"
"2011-0017-003I-28503I0-05A","2011","Education","Iowa Public Television","0017 - Rebuild Iowa Infrastructure Fund","003I - Dubuque Translator Facility","28503I0","Dubuque Translator Facility","05A - Appropriation","0","800000","0"
"2011-0017-004I-28504I0-05A","2011","Education","Iowa Public Television","0017 - Rebuild Iowa Infrastructure Fund","004I - IPTV Building Purchase","28504I0","IPTV Building Purchase","05A - Appropriation","0","1255500","0"
"2012-0001-0I77-2855177-05A","2012","Education","Iowa Public Television","0001 - General Fund","0I77 - Regional Tele Councils","2855177","Regional Councils","05A - Appropriation","1001269","1065180","992913"
"2012-0001-0I78-2851000-05A","2012","Education","Iowa Public Television","0001 - General Fund","0I78 - Iowa Public Television","2851000","Engineering and Information Technology","05A - Appropriation","3090425","4136825","6654021"
"2012-0001-0I78-2852000-05A","2012","Education","Iowa Public Television","0001 - General Fund","0I78 - Iowa Public Television","2852000","Programming, Operations and Production","05A - Appropriation","1179794","1179794","0"
"2012-0001-0I78-2853000-05A","2012","Education","Iowa Public Television","0001 - General Fund","0I78 - Iowa Public Television","2853000","Communications and Community Engagement","05A - Appropriation","864663","864663","0"
"2012-0001-0I78-2854000-05A","2012","Education","Iowa Public Television","0001 - General Fund","0I78 - Iowa Public Television","2854000","Educational Services","05A - Appropriation","492899","492899","0"
"2012-0001-0I78-2856000-05A","2012","Education","Iowa Public Television","0001 - General Fund","0I78 - Iowa Public Television","2856000","Administration","05A - Appropriation","1082236","1082236","0"
"2012-0017-003I-28503I0-05A","2012","Education","Iowa Public Television","0017 - Rebuild Iowa Infrastructure Fund","003I - Dubuque Translator Facility","28503I0","Dubuque Translator Facility","05A - Appropriation","0","800000","0"
"2012-0017-004I-28504I0-05A","2012","Education","Iowa Public Television","0017 - Rebuild Iowa Infrastructure Fund","004I - IPTV Building Purchase","28504I0","IPTV Building Purchase","05A - Appropriation","1255550","1255550","0"
"2013-0001-I77-2855177-05A","2013","Education","Iowa Public Television","0001 - General Fund","I77 - Regional Tele Councils","2855177","Regional Councils","05A - Appropriation","0","496456","0"
"2013-0001-I77-2855177-05P","2013","Education","Iowa Public Television","0001 - General Fund","I77 - Regional Tele Councils","2855177","Regional Councils","05P - Previously Enacted Appropriation","0","496457","0"
"2013-0001-I78-2851000-05A","2013","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2851000","Engineering and Information Technology","05A - Appropriation","3327010","3327010","3282578"
"2013-0001-I78-2851000-05P","2013","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2851000","Engineering and Information Technology","05P - Previously Enacted Appropriation","-292581","-292581","0"
"2013-0001-I78-2852000-05A","2013","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2852000","Programming, Operations and Production","05A - Appropriation","0","0","1536059"
"2013-0001-I78-2852000-05P","2013","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2852000","Programming, Operations and Production","05P - Previously Enacted Appropriation","1179794","1179794","0"
"2013-0001-I78-2853000-05A","2013","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2853000","Communications and Community Engagement","05A - Appropriation","0","0","839301"
"2013-0001-I78-2853000-05P","2013","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2853000","Communications and Community Engagement","05P - Previously Enacted Appropriation","864663","864663","0"
"2013-0001-I78-2854000-05A","2013","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2854000","Educational Services","05A - Appropriation","0","0","434113"
"2013-0001-I78-2854000-05P","2013","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2854000","Educational Services","05P - Previously Enacted Appropriation","492899","492899","0"
"2013-0001-I78-2856000-05A","2013","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2856000","Administration","05A - Appropriation","0","0","876970"
"2013-0001-I78-2856000-05P","2013","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2856000","Administration","05P - Previously Enacted Appropriation","1082236","1082236","0"
"2014-0001-I78-2851000-05A","2014","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2851000","Engineering and Information Technology","05A - Appropriation","3282578","3282578","3322608"
"2014-0001-I78-2852000-05A","2014","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2852000","Programming, Operations and Production","05A - Appropriation","1536059","1536059","1539602"
"2014-0001-I78-2853000-05A","2014","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2853000","Communications and Community Engagement","05A - Appropriation","839301","839301","820725"
"2014-0001-I78-2854000-05A","2014","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2854000","Educational Services","05A - Appropriation","434113","434113","884736"
"2014-0001-I78-2856000-05A","2014","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2856000","Administration","05A - Appropriation","1351045","876970","875425"
"2014-0001-I78-2856000-05K","2014","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2856000","Administration","05K - DAS Distribution","0","0","7537"
"2014-0943-11I-28511I0-05A","2014","Education","Iowa Public Television","0943 - Technology Reinvestment Fund","11I - IPTV Equipment Replacement","28511I0","IPTV Equipment Replacement","05A - Appropriation","0","0","960000"
"2015-0001-I78-2851000-05A","2015","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2851000","Engineering and Information Technology","05A - Appropriation","3721548","3721548","3347123"
