"cy","month","county_name","county","service_area","cases","recipients","grants","primary_county_lat","primary_county_long","primary_county_coordinates"
"2019","2019-06-30T00:00:00.000","Worth","98","Northern","13","28","3811","43.3773984","-93.2608476","POINT (-93.2608476 43.3773984)"
"2019","2019-06-30T00:00:00.000","Woodbury","97","Western","330","849","114880","42.3897169","-96.0447673","POINT (-96.0447673 42.3897169)"
"2019","2019-06-30T00:00:00.000","Wright","99","Northern","34","78","10857","42.7331189","-93.7351465","POINT (-93.7351465 42.7331189)"
"2019","2019-06-30T00:00:00.000","Winneshiek","96","Northern","18","48","5231","43.2906746","-91.8437074","POINT (-91.8437074 43.2906746)"
"2019","2019-06-30T00:00:00.000","Winnebago","95","Northern","23","51","7272","43.3775678","-93.7341955","POINT (-93.7341955 43.37756780000001)"
"2019","2019-12-31T00:00:00.000","Worth","98","Northern","9","20","3162","43.3773984","-93.2608476","POINT (-93.2608476 43.3773984)"
"2019","2019-12-31T00:00:00.000","Woodbury","97","Western","345","904","124975","42.3897169","-96.0447673","POINT (-96.0447673 42.3897169)"
"2019","2019-12-31T00:00:00.000","Wright","99","Northern","35","79","10989","42.7331189","-93.7351465","POINT (-93.7351465 42.7331189)"
"2019","2019-12-31T00:00:00.000","Winneshiek","96","Northern","10","26","3302","43.2906746","-91.8437074","POINT (-91.8437074 43.2906746)"
"2019","2019-12-31T00:00:00.000","Winnebago","95","Northern","20","39","5886","43.3775678","-93.7341955","POINT (-93.7341955 43.37756780000001)"
"2020","2020-05-31T00:00:00.000","Worth","98","Northern","16","33","5174","43.3773984","-93.2608476","POINT (-93.2608476 43.3773984)"
"2020","2020-05-31T00:00:00.000","Woodbury","97","Western","345","915","125514","42.3897169","-96.0447673","POINT (-96.0447673 42.3897169)"
"2020","2020-05-31T00:00:00.000","Wright","99","Northern","35","85","11640","42.7331189","-93.7351465","POINT (-93.7351465 42.7331189)"
"2020","2020-05-31T00:00:00.000","Winneshiek","96","Northern","10","25","3473","43.2906746","-91.8437074","POINT (-91.8437074 43.2906746)"
"2020","2020-05-31T00:00:00.000","Winnebago","95","Northern","18","44","5705","43.3775678","-93.7341955","POINT (-93.7341955 43.37756780000001)"
"2020","2020-09-30T00:00:00.000","Woodbury","97","Western","349","936","121832.07","42.3897169","-96.0447673","POINT (-96.0447673 42.3897169)"
"2020","2020-09-30T00:00:00.000","Winneshiek","96","Northern","8","18","2564","43.2906746","-91.8437074","POINT (-91.8437074 43.2906746)"
"2020","2020-09-30T00:00:00.000","Worth","98","Northern","12","28","3809","43.3773984","-93.2608476","POINT (-93.2608476 43.3773984)"
"2020","2020-09-30T00:00:00.000","Winnebago","95","Northern","13","31","4485.9","43.3775678","-93.7341955","POINT (-93.7341955 43.37756780000001)"
"2020","2020-09-30T00:00:00.000","Wright","99","Northern","39","98","13562.39","42.7331189","-93.7351465","POINT (-93.7351465 42.7331189)"
"2019","2019-06-30T00:00:00.000","Muscatine","70","Eastern","107","243","33307","41.4839221","-91.1127562","POINT (-91.1127562 41.4839221)"
"2019","2019-06-30T00:00:00.000","Adair","1","Des Moines","14","29","4256","41.3307464","-94.4709413","POINT (-94.4709413 41.3307464)"
