"budget_line_code","fiscal_year","function","dept_name","fund","appropriation","budget_unit_code","budget_unit","object_class","gov_recommendation","dept_request","adopted_budget"
"2010-0017-018G-035018G-05A","2010","Capital","State Fair Authority Capital","0017 - Rebuild Iowa Infrastructure Fund","018G - Agricultural Exhibition Center RIIF","035018G","Agricultural Exhibition Center","05A - Appropriation","0","0","5500000"
"2010-0511-019G-035019G-05A","2010","Capital","State Fair Authority Capital","0511 - Fiscal Year 2009 Tax-Exempt Restricted Capitals Fund","019G - Agricultural Exhibition Center","035019G","Agricultural Exhibition Center","05A - Appropriation","0","5000000","0"
"2011-0017-018G-035018G-05A","2011","Capital","State Fair Authority Capital","0017 - Rebuild Iowa Infrastructure Fund","018G - Agricultural Exhibition Center RIIF","035018G","Agricultural Exhibition Center","05A - Appropriation","0","5500000","0"
"2011-0433-020G-035020G-05A","2011","Capital","State Fair Authority Capital","0433 - Revenue Bonds Capitals Fund","020G - Agricultural Exhibition Center","035020G","Agricultural Exhibition Center","05A - Appropriation","2500000","0","2500000"
"2012-0433-020G-035020G-05A","2012","Capital","State Fair Authority Capital","0433 - Revenue Bonds Capitals Fund","020G - Agricultural Exhibition Center","035020G","Agricultural Exhibition Center","05A - Appropriation","0","2500000","0"
"2013-0017-21G-035021G-05A","2013","Capital","State Fair Authority Capital","0017 - Rebuild Iowa Infrastructure Fund","21G - Cultural Center Renovation & Improvements","035021G","Cultural Center Renovation & Improvements","05A - Appropriation","0","0","250000"
"2014-0017-21G-035021G-05A","2014","Capital","State Fair Authority Capital","0017 - Rebuild Iowa Infrastructure Fund","21G - Cultural Center Renovation & Improvements","035021G","Cultural Center Renovation & Improvements","05A - Appropriation","250000","250000","0"
"2015-0017-24G-035024G-05A","2015","Capital","State Fair Authority Capital","0017 - Rebuild Iowa Infrastructure Fund","24G - Youth Inn Renovation & Improvements","035024G","Youth Inn Renovation & Improvements","05A - Appropriation","1500000","0","825000"
"2016-0017-24G-035024G-05P","2016","Capital","State Fair Authority Capital","0017 - Rebuild Iowa Infrastructure Fund","24G - Youth Inn Renovation & Improvements","035024G","Youth Inn Renovation & Improvements","05P - Previously Enacted Appropriation","2325000","2325000","2325000"
"2017-0017-25G-035025G-05A","2017","Capital","State Fair Authority Capital","0017 - Rebuild Iowa Infrastructure Fund","25G - NW Events Area","035025G","NW Events Area","05A - Appropriation","1000000",,"500000"
"2018-0017-25G-035025G-05A","2018","Capital","State Fair Authority Capital","0017 - Rebuild Iowa Infrastructure Fund","25G - NW Events Area","035025G","NW Events Area","05A - Appropriation","500000","500000","1000000"
"2019-0017-25G-035025G-05A","2019","Capital","State Fair Authority Capital","0017 - Rebuild Iowa Infrastructure Fund","25G - NW Events Area","035025G","NW Events Area","05A - Appropriation","8500000","8500000","8500000"
"2020-0017-26G-035026G-05A","2020","Capital","State Fair Authority Capital","0017 - Rebuild Iowa Infrastructure Fund","26G - Renovation of 4-H Building","035026G","4-H Building Renovation","05A - Appropriation","2500000","2500000","500000"
"2020-0017-27G-035027G-05A","2020","Capital","State Fair Authority Capital","0017 - Rebuild Iowa Infrastructure Fund","27G - Historical Building Task Force","035027G","Historical Building Task Force","05A - Appropriation",,,"500000"
"2021-0017-26G-035026G-05A","2021","Capital","State Fair Authority Capital","0017 - Rebuild Iowa Infrastructure Fund","26G - Renovation of 4-H Building","035026G","4-H Building Renovation","05A - Appropriation","4500000","4500000","4500000"
"2023-0017-28G-035028G-05A","2023","Capital","State Fair Authority Capital","0017 - Rebuild Iowa Infrastructure Fund","28G - Barn Restoration","035028G","Barn Restoration","05A - Appropriation","6000000",,"6000000"
