"invoice_line_no","date","store","name","address","city","zipcode","store_location","county_number","county","category","category_name","vendor_no","vendor_name","itemno","im_desc","pack","bottle_volume_ml","state_bottle_cost","state_bottle_retail","sale_bottles","sale_dollars","sale_liters","sale_gallons"
"S16624300004","2014-01-02T00:00:00.000","4014","Wal-Mart 1732 / Denison","510 C AVE","DENISON","51442",,"24","Crawford","1012100","CANADIAN WHISKIES","115","Constellation Wine Company, Inc.","11788","Black Velvet","6","1750","10.45","15.67","12","188.04","21.00","5.55"
"S16627900047","2014-01-02T00:00:00.000","2551","Hy-Vee Food Store / Chariton","2001 WEST COURT","CHARITON","50049",,"59","Lucas","1032080","IMPORTED VODKA","35","Bacardi U.S.A., Inc.","34433","Grey Goose Vodka","12","750","18.49","27.74","2","55.48","1.50","0.40"
"S16627900128","2014-01-02T00:00:00.000","2551","Hy-Vee Food Store / Chariton","2001 WEST COURT","CHARITON","50049",,"59","Lucas","1081390","IMPORTED SCHNAPPS","421","Sazerac Co., Inc.","69636","Dr. Mcgillicuddy's Cherry Schnapps","12","750","8.67","13.01","3","39.03","2.25","0.59"
"S16640200068","2014-01-02T00:00:00.000","2528","Hy-Vee Food Store #3 / Des Moines","3221 SE 14TH ST","DES MOINES","50315",,"77","Polk","1012100","CANADIAN WHISKIES","115","Constellation Wine Company, Inc.","11773","Black Velvet","48","200","1.56","2.34","48","112.32","9.60","2.54"
"S16627900111","2014-01-02T00:00:00.000","2551","Hy-Vee Food Store / Chariton","2001 WEST COURT","CHARITON","50049",,"59","Lucas","1011200","STRAIGHT BOURBON WHISKIES","65","Jim Beam Brands","19112","Jim Beam Devil's Cut","12","750","15.23","22.85","2","45.70","1.50","0.40"
"S16637800014","2014-01-02T00:00:00.000","3831","The Market Of Madrid","301 ANNEX RD","MADRID","50156","POINT (-93.815365 41.87894000000001)","08","Boone","1012300","IRISH WHISKIES","395","Proximo","15776","Bushmills Irish Whiskey","12","750","13.00","19.50","1","19.50","0.75","0.20"
"S16640500007","2014-01-02T00:00:00.000","4410","Kum & Go #203 / Perry","1219 1ST ST","PERRY","50220",,"08","Boone","1011100","BLENDED WHISKIES","260","Diageo Americas","25606","Seagrams 7 Crown Bl Whiskey","12","750","7.00","10.49","12","125.88","9.00","2.38"
"S16627900036","2014-01-02T00:00:00.000","2551","Hy-Vee Food Store / Chariton","2001 WEST COURT","CHARITON","50049",,"59","Lucas","1011200","STRAIGHT BOURBON WHISKIES","65","Jim Beam Brands","20246","Old Crow","12","750","4.20","6.30","12","75.60","9.00","2.38"
"S16637600024","2014-01-02T00:00:00.000","2549","Hy-Vee Food Store / Indianola","910 N JEFFERSON","INDIANOLA","50125",,"91","Warren","1011200","STRAIGHT BOURBON WHISKIES","55","Sazerac North America","21595","Ten High Traveler","12","750","4.10","6.15","12","73.80","9.00","2.38"
"S16617000008","2014-01-02T00:00:00.000","4161","Fareway Stores #950 / Iowa City","2530 WESTWINDS DR","IOWA CITY","52246","POINT (-91.575636 41.650842)","52","Johnson","1031080","VODKA 80 PROOF","259","Heaven Hill Brands","35416","Burnett's Vodka 80 Prf","12","750","4.84","7.26","12","87.12","9.00","2.38"
