"budget_line_code","fiscal_year","function","dept_name","fund","appropriation","budget_unit_code","budget_unit","object_class","gov_recommendation","dept_request","adopted_budget"
"2010-0001-0P49-2191100-05A","2010","Administration and Regulation","Iowa Utilities Board (Commerce)","0001 - General Fund","0P49 - Utilities Division","2191100","Board","05A - Appropriation","7795527","7795527","0"
"2010-0001-0P49-2191200-05A","2010","Administration and Regulation","Iowa Utilities Board (Commerce)","0001 - General Fund","0P49 - Utilities Division","2191200","IUB Green Building","05A - Appropriation","-871128","0","0"
"2010-0019-0P58-2191100-05A","2010","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","0P58 - Utilities Division","2191100","Board","05A - Appropriation","0","0","7795527"
"2011-0019-0P58-2191100-05A","2011","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","0P58 - Utilities Division","2191100","Board","05A - Appropriation","8173069","8173069","8173069"
"2012-0001-0P49-2191100-05A","2012","Administration and Regulation","Iowa Utilities Board (Commerce)","0001 - General Fund","0P49 - Utilities Division","2191100","Board","05A - Appropriation","7327796","0","0"
"2012-0019-0P58-2191100-05A","2012","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","0P58 - Utilities Division","2191100","Board","05A - Appropriation","845273","8640801","8173069"
"2013-0019-P58-2191100-05A","2013","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","P58 - Utilities Division","2191100","Board","05A - Appropriation","4086534","4086534","7571569"
"2013-0019-P58-2191100-05P","2013","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","P58 - Utilities Division","2191100","Board","05P - Previously Enacted Appropriation","4086535","4086535","0"
"2013-0019-P58-219DEBT-05A","2013","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","P58 - Utilities Division","219DEBT","Debt Service","05A - Appropriation","0","0","555000"
"2013-0019-P58-219DUES-05A","2013","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","P58 - Utilities Division","219DUES","NARUC & NRRI","05A - Appropriation","0","0","46500"
"2014-0019-P58-2191100-05A","2014","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","P58 - Utilities Division","2191100","Board","05A - Appropriation","7413069","7413069","7418069"
"2014-0019-P58-2191100-05K","2014","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","P58 - Utilities Division","2191100","Board","05K - DAS Distribution","0","0","6336"
"2014-0019-P58-219DEBT-05A","2014","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","P58 - Utilities Division","219DEBT","Debt Service","05A - Appropriation","713000","713000","713000"
"2014-0019-P58-219DUES-05A","2014","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","P58 - Utilities Division","219DUES","NARUC & NRRI","05A - Appropriation","47000","47000","42000"
"2015-0019-P58-2191100-05A","2015","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","P58 - Utilities Division","2191100","Board","05A - Appropriation","4086534","4086534","7566655"
"2015-0019-P58-2191100-05K","2015","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","P58 - Utilities Division","2191100","Board","05K - DAS Distribution","6336","6336","0"
"2015-0019-P58-2191100-05P","2015","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","P58 - Utilities Division","2191100","Board","05P - Previously Enacted Appropriation","3706237","3706237","0"
"2015-0019-P58-219DEBT-05A","2015","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","P58 - Utilities Division","219DEBT","Debt Service","05A - Appropriation","0","0","713500"
"2015-0019-P58-219DEBT-05P","2015","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","P58 - Utilities Division","219DEBT","Debt Service","05P - Previously Enacted Appropriation","356750","356750","0"
"2015-0019-P58-219DUES-05A","2015","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","P58 - Utilities Division","219DUES","NARUC & NRRI","05A - Appropriation","0","0","49250"
"2015-0019-P58-219DUES-05P","2015","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","P58 - Utilities Division","219DUES","NARUC & NRRI","05P - Previously Enacted Appropriation","23548","23548","0"
"2016-0019-P58-2191100-05A","2016","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","P58 - Utilities Division","2191100","Board","05A - Appropriation","7795405","7795405","7801405"
"2016-0019-P58-219DEBT-05A","2016","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","P58 - Utilities Division","219DEBT","Debt Service","05A - Appropriation","713500","713500","709500"
"2016-0019-P58-219DUES-05A","2016","Administration and Regulation","Iowa Utilities Board (Commerce)","0019 - Commerce Revolving Fund","P58 - Utilities Division","219DUES","NARUC & NRRI","05A - Appropriation","51500","51500","49500"
