"abbreviation","institution","address","city","state","zip","the_geom"
"ASP","Anamosa State Penitentiary","406 North High Street","Anamosa","Iowa","52205","POINT (-91.28931848699995 42.111149666000074)"
"CCF","Clarinda Correctional Facility","2000 N. 16th Street","Clarinda","Iowa","51632","POINT (-95.03792059599994 40.748100390000054)"
"FDCF","Fort Dodge Correctional Facility","1550 L Street","Fort Dodge","Iowa","50501","POINT (-94.19206133899996 42.48595626700006)"
"ICIW","Iowa Correctional Institution for Women","300 Elm Avenue, SW","Mitchellville","Iowa","50169","POINT (-93.36299704799995 41.66286063500007)"
"IMCC","Iowa Medical and Classification Center","2700 Coral Ridge Ave","Coralville","Iowa","52241","POINT (-91.60800095599997 41.71519157400006)"
"ISP","Iowa State Penitentiary","3 John Bennett Drive","Fort Madison","Iowa","52627","POINT (-91.29724202899996 40.63333761800005)"
"MPCF","Mt. Pleasant Correctional Facility","1200 East Washington","Mt. Pleasant","Iowa","52641","POINT (-91.53654676599996 40.96377196600002)"
"NCF","Newton Correctional Facility","307 S. 60th Avenue W.","Newton","Iowa","50208","POINT (-93.05793043699998 41.630172704000074)"
"NCCF","North Central Correctional Facility","313 Lanedale","Rockwell City","Iowa","50579","POINT (-94.61175148399997 42.39377433900004)"
