"budget_line_code","fiscal_year","function","dept_name","fund","appropriation","budget_unit_code","budget_unit","object_class","gov_recommendation","dept_request","adopted_budget"
"2010-0233-0H20-542H20A-05A","2010","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","0H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05A - Appropriation","38793154","39093154","38793154"
"2011-0233-0H20-542H20A-05A","2011","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","0H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05A - Appropriation","38793154","38793154","38793154"
"2012-0233-0H20-542H20A-05A","2012","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","0H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05A - Appropriation","38793154","39493154","38793154"
"2012-0233-0H20-542H20A-05J","2012","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","0H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05J - Salary Adjustment","0","0","1158017"
"2013-0233-H20-542H20A-05A","2013","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05A - Appropriation","20554594","20554594","39951171"
"2013-0233-H20-542H20A-05J","2013","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05J - Salary Adjustment","0","0","1127063"
"2013-0233-H20-542H20A-05P","2013","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05P - Previously Enacted Appropriation","19396577","19396577","0"
"2014-0233-H20-542H20A-05A","2014","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05A - Appropriation","41078234","41078234","41078234"
"2014-0233-H20-542H20A-05J","2014","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05J - Salary Adjustment","0","0","144991"
"2015-0233-H20-542H20A-05A","2015","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05A - Appropriation","20684108","20684108","41223225"
"2015-0233-H20-542H20A-05P","2015","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05P - Previously Enacted Appropriation","20539117","20539117","0"
"2016-0233-H20-542H20A-05A","2016","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05A - Appropriation","41223225","41223225","41223225"
"2016-0233-H20-542H20A-05J","2016","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05J - Salary Adjustment","0","0","821348"
"2017-0233-H20-542H20A-05A","2017","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05A - Appropriation","42044573","42044573","42044573"
"2017-0233-H20-542H20A-05J","2017","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05J - Salary Adjustment","0","0","1103420"
"2018-0233-H20-542H20A-05A","2018","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05A - Appropriation","43147993","43147993","43147993"
"2018-0233-H20-542H20A-05J","2018","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05J - Salary Adjustment","0","0","620537"
"2019-0233-H20-542H20A-05A","2019","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05A - Appropriation","43768530","43768530","43768530"
"2019-0233-H20-542H20A-05J","2019","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05J - Salary Adjustment","0","0","238514"
"2020-0233-H20-542H20A-05A","2020","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05A - Appropriation","44007044","44007044","44007044"
"2020-0233-H20-542H20A-05J","2020","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05J - Salary Adjustment","0","0","995581"
"2021-0233-H20-542H20A-05A","2021","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05A - Appropriation","45091595","45091595","45091595"
"2021-0233-H20-542H20A-05J","2021","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05J - Salary Adjustment","0","0","1181906"
"2022-0233-H20-542H20A-05A","2022","Agriculture and Natural Resources","Natural Resources, Department of","0233 - Fish And Wildlife Trust Fund","H20 - F&G-DNR Admin Expenses","542H20A","F&G-Dnr Admin Exp","05A - Appropriation","46273501","46273501","46273501"
