"fiscal_year","petition_to_decision","hearing_to_decision"
"2022","665","155"
"2021","634","140"
"2020","604","141"
"2019","605","101"
"2018","610","144"
"2017","583","112"
"2016","558","108"
"2015","571","92"
"2014","526","109"
"2013","558","114"
"2012","453","77"
"2011","513","79"
"2010","477","84"
"2009","437","56"
"2008","473","53"
"2007","502","75"
"2006","569","73"
"2005","607","50"
"2004","617","52"
"2003","620","58"
"2002","651","75"
"2001","424","72"
"2000","491","79"
"1999","548","85"
"1998","495","33"
"1997","531","50"
"1996","636","67"
"1995","601","64"
"1994","573","56"
"1993","529","54"
"1992","621","83"
"1991","725","146"
"1990","803","171"
"1989","855","175"
"1988","714","136"
"1987","593","89"
"1986","561","81"
"1985","596","143"
