"levy_authority_code","levy_authority_name","fiscal_year","urban_renewal_area_number","debt_title","debt_type","principal_remaining_prior_to_yearly_pymt","interest_remaining_prior_to_yearly_pymt","annual_appropriation","fiscal_year_debt_was_incurred","fiscal_year_debt_will_be_paid_in_full","coordinates"
"01G001","ADAIR","2017","1004","Downtown/Bridge Projects","Internal Loans","235000","0","YES","2015-11-18T00:00:00.000","2020","POINT (-94.6435862 41.5005428)"
"01G001","ADAIR","2014","1004","5th St Bridge","Internal Loans","150000","0","YES","2013-11-13T00:00:00.000","2016","POINT (-94.6435862 41.5005428)"
"01G001","ADAIR","2018","1004","Downtown/Bridge Projects","Internal Loans","591985","0","1","2015-11-18T00:00:00.000","2020","POINT (-94.6435862 41.5005428)"
"01G001","ADAIR","2015","1004","5th Street Bridge/Engineering","Internal Loans","150000","0","YES","2013-11-13T00:00:00.000","2015","POINT (-94.6435862 41.5005428)"
"01G001","ADAIR","2017","1004","5th Street Bridge/Engineering","General Obligation Bonds/Notes","485000","148150","YES","2013-11-13T00:00:00.000","2032","POINT (-94.6435862 41.5005428)"
"01G001","ADAIR","2013","1004","5th Street Repaving","Internal Loans","117703","0","YES","2011-12-01T00:00:00.000","2013","POINT (-94.6435862 41.5005428)"
"01G001","ADAIR","2018","1004","5th Street Bridge/Engineering","General Obligation Bonds/Notes","485000","148150","0","2013-11-13T00:00:00.000","2032","POINT (-94.6435862 41.5005428)"
"01G001","ADAIR","2016","1004","Downtown/Bridge Projects","Internal Loans","215000","0","YES","2015-11-18T00:00:00.000","2017","POINT (-94.6435862 41.5005428)"
"01G001","ADAIR","2015","1004","Downtown/Bridge Projects","Internal Loans","115000","0","YES","2014-11-24T00:00:00.000","2016","POINT (-94.6435862 41.5005428)"
"01G001","ADAIR","2018","1010","Housing Programs","Internal Loans","127873","0","1","2016-09-28T00:00:00.000","2035","POINT (-94.6435862 41.5005428)"
"01G001","ADAIR","2013","1004","5th St Bridge","Internal Loans","150000","0","YES","2013-11-13T00:00:00.000","2016","POINT (-94.6435862 41.5005428)"
"01G001","ADAIR","2016","1004","5th Street Bridge/Engineering","Internal Loans","115028","0","YES","2013-11-13T00:00:00.000","2015","POINT (-94.6435862 41.5005428)"
"01G001","ADAIR","2018","1010","Urban Renewal Director","Internal Loans","28000","0","1","2018-07-01T00:00:00.000","2035","POINT (-94.6435862 41.5005428)"
"01G001","ADAIR","2014","1004","2012 Streets and Sidewalk Project","Internal Loans","25793","0","YES","2012-11-28T00:00:00.000","2014","POINT (-94.6435862 41.5005428)"
"01G001","ADAIR","2013","1004","2012 Streets and Sidewalk Project","Internal Loans","25794","0","YES","2012-11-28T00:00:00.000","2014","POINT (-94.6435862 41.5005428)"
