"geography_id","type","name","variable","variable_description","data_collection_period","date","sex","age","value","change_rate","location","previous_data_collection_period"
"0400000US19","state","Iowa","B01001_001E","Total","2008-2012","2012-12-31T00:00:00.000","Both","All","3047646.0",,"POINT (-93.4933473 42.0700243)","2003-2007"
"0500000US19131","county","Mitchell County, Iowa","B01001_024E","Male - 80 to 84 years","2010-2014","2014-12-31T00:00:00.000","Male","80 to 84 Years","150.0",,"POINT (-92.784466 43.348564)","2005-2009"
"0500000US19041","county","Clay County, Iowa","B01001_033E","Female - 21 years","2013-2017","2017-12-31T00:00:00.000","Female","21 Years","86.0","42.0","POINT (-95.149875 43.081224)","2008-2012"
"1600000US1976035","place","Sully, Iowa","B01001_033E","Female - 21 years","2010-2014","2014-12-31T00:00:00.000","Female","21 Years","2.0",,"POINT (-92.846834 41.578001)","2005-2009"
"1600000US1925590","place","Emmetsburg, Iowa","B01001_029E","Female - 10 to 14 years","2010-2014","2014-12-31T00:00:00.000","Female","10 to 14 Years","82.0",,"POINT (-94.679579 43.114798)","2005-2009"
"1600000US1984630","place","Westside, Iowa","B01001_038E","Female - 40 to 44 years","2010-2014","2014-12-31T00:00:00.000","Female","40 to 44 Years","16.0",,"POINT (-95.101348 42.075749)","2005-2009"
"1600000US1916815","place","Coulter, Iowa","B01001_035E","Female - 25 to 29 years","2010-2014","2014-12-31T00:00:00.000","Female","25 to 29 Years","7.0",,"POINT (-93.370047 42.73312)","2005-2009"
"1600000US1958170","place","Oakland Acres, Iowa","B01001_024E","Male - 80 to 84 years","2010-2014","2014-12-31T00:00:00.000","Male","80 to 84 Years","0.0",,"POINT (-92.819877 41.720891)","2005-2009"
"1600000US1926940","place","Farnhamville, Iowa","B01001_035E","Female - 25 to 29 years","2010-2014","2014-12-31T00:00:00.000","Female","25 to 29 Years","8.0",,"POINT (-94.407713 42.276475)","2005-2009"
"1600000US1958530","place","Ocheyedan, Iowa","B01001_025E","Male - 85 years and over","2010-2014","2014-12-31T00:00:00.000","Male","85 Years and Older","7.0",,"POINT (-95.536526 43.418115)","2005-2009"
"1600000US1926985","place","Farragut, Iowa","B01001_039E","Female - 45 to 49 years","2010-2014","2014-12-31T00:00:00.000","Female","45 to 49 Years","20.0",,"POINT (-95.480685 40.720007)","2005-2009"
"1600000US1972345","place","Sheldahl, Iowa","B01001_034E","Female - 22 to 24 years","2010-2014","2014-12-31T00:00:00.000","Female","22 to 24 Years","0.0",,"POINT (-93.69665 41.864285)","2005-2009"
"1600000US1926175","place","Everly, Iowa","B01001_031E","Female - 18 and 19 years","2010-2014","2014-12-31T00:00:00.000","Female","18 to 19 Years","3.0",,"POINT (-95.317533 43.16513)","2005-2009"
"1600000US1953760","place","Montrose, Iowa","B01001_032E","Female - 20 years","2010-2014","2014-12-31T00:00:00.000","Female","20 Years","10.0",,"POINT (-91.416683 40.526767)","2005-2009"
"1600000US1959520","place","Orchard, Iowa","B01001_028E","Female - 5 to 9 years","2010-2014","2014-12-31T00:00:00.000","Female","05 to 09 Years","4.0",,"POINT (-92.775313 43.227386)","2005-2009"
