"fiscal_year","state_name","county","membership_group","refunds_paid","location_1"
"2017","IDAHO",,"REGULAR","20680.61",
"2018","GEORGIA",,"REGULAR","124017.97",
"2017","IOWA","DICKINSON","SPECIAL SERVICE","429702.66",
"2015","IOWA","WASHINGTON","REGULAR","176422.89","POINT (-91.7178676 41.335591)"
"2015","IOWA","FLOYD","SPECIAL SERVICE","4669.68","POINT (-92.78900330000002 43.0599208)"
"2017","IOWA","CEDAR","SPECIAL SERVICE","152823.99",
"2017","IOWA","BREMER","SPECIAL SERVICE","19769.25",
"2018","IDAHO",,"REGULAR","15651.24",
"2015","OHIO",,"REGULAR","110430.99",
"2017","IOWA","WRIGHT","REGULAR","272759.81",
"2017","IOWA","OBRIEN","REGULAR","65359.06",
"2015","NORTH DAKOTA",,"SPECIAL SERVICE","2157.40",
"2015","IOWA","KEOKUK","SPECIAL SERVICE","2490.11","POINT (-92.1786426 41.336465)"
"2015","IOWA","WASHINGTON","SPECIAL SERVICE","9873.04","POINT (-91.7178676 41.335591)"
"2017","IOWA","MONROE","REGULAR","151951.29",
"2015","IOWA","JASPER","SPECIAL SERVICE","408642.93","POINT (-93.053765 41.6860394)"
"2015","CONNECTICUT",,"REGULAR","7304.25",
"2015","NEW HAMPSHIRE",,"REGULAR","570.21",
"2015","IOWA","GRUNDY","REGULAR","227109.06","POINT (-92.7914177 42.4018651)"
"2017","IOWA","MONTGOMERY","SPECIAL SERVICE","134250.81",
"2017","IOWA","POWESHIEK","REGULAR","115639.08",
"2017","IOWA","STORY","REGULAR","952904.86",
"2017","IOWA","BENTON","REGULAR","176850.61",
"2015","IOWA","DES MOINES","REGULAR","477308.24","POINT (-91.1814707 40.9231829)"
"2015","IOWA","JONES","SPECIAL SERVICE","174567.41","POINT (-91.1314352 42.1212397)"
"2016","IOWA","ADAMS","SPECIAL SERVICE","26892.55","POINT (-94.6991849 41.02898390000001)"
"2016","SOUTH DAKOTA",,"REGULAR","239908.34",
"2015","IOWA","CALHOUN","REGULAR","282762.26","POINT (-94.6404136 42.385184800000005)"
"2015","MINNESOTA",,"REGULAR","580834.52",
"2017","IOWA","APPANOOSE","SPECIAL SERVICE","544.19",
"2015","CALIFORNIA",,"REGULAR","276701.29",
"2015","IOWA","ALLAMAKEE","SPECIAL SERVICE","19625.88","POINT (-91.3780923 43.2842838)"
"2015","IOWA","BUTLER","SPECIAL SERVICE","69976.04","POINT (-92.7901934 42.7315661)"
"2015","IOWA","CEDAR","REGULAR","191249.43","POINT (-91.1324125 41.7723207)"
"2017","IOWA","LEE","SPECIAL SERVICE","847855.27",
"2017","DELAWARE",,"REGULAR","2124.01",
"2017","IOWA","ALLAMAKEE","REGULAR","109423.74",
"2017","OREGON",,"REGULAR","89403.34",
"2015","IOWA","POTTAWATTAMIE","REGULAR","799406.82","POINT (-95.5423935 41.3366123)"
"2015","IOWA","PALO ALTO","SPECIAL SERVICE","206.61","POINT (-94.6781371 43.0820643)"
"2017","IOWA","CARROLL","SPECIAL SERVICE","2067.50",
"2016","IOWA","CALHOUN","SPECIAL SERVICE","6395.31","POINT (-94.6404136 42.385184800000005)"
"2017","MAINE",,"REGULAR","9259.37",
"2015","IOWA","UNION","SPECIAL SERVICE","11043.88","POINT (-94.2423792 41.0277304)"
"2016","PENNSYLVANIA",,"SPECIAL SERVICE","9345.98",
"2017","IOWA","LYON","SPECIAL SERVICE","16952.19",
"2015","IOWA","FREMONT","SPECIAL SERVICE","1175.32","POINT (-95.6046765 40.7455892)"
"2016","IOWA","WOODBURY","SPECIAL SERVICE","218127.57","POINT (-96.0447673 42.3897169)"
"2017","IOWA","CLARKE","SPECIAL SERVICE","18601.69",
"2018","NEW HAMPSHIRE",,"REGULAR","965.4",
"2017","IOWA","TAYLOR","SPECIAL SERVICE","1015.92",
"2015","IOWA","RINGGOLD","REGULAR","132630.22","POINT (-94.2439719 40.7352023)"
"2018","DISTRICT OF COLUMBIA",,"REGULAR","4989.66",
"2015","IOWA","TAMA","REGULAR","254451.56","POINT (-92.5325425 42.07981170000001)"
"2015","IOWA","DALLAS","REGULAR","885826.68","POINT (-94.0397374 41.6848862)"
"2015","IOWA","POCAHONTAS","SPECIAL SERVICE","5728.03","POINT (-94.67874660000001 42.73413510000001)"
"2015","MISSISSIPPI",,"REGULAR","6207.83",
"2015","IOWA","CLAY","REGULAR","205914.70","POINT (-95.1509194 43.0825804)"
"2016","IOWA","FAYETTE","REGULAR","150073.73","POINT (-91.8443207 42.8625919)"
"2016","IOWA","FLOYD","REGULAR","186985.03","POINT (-92.78900330000002 43.0599208)"
"2017","IOWA","HARRISON","SPECIAL SERVICE","386.36",
"2017","TEXAS",,"SPECIAL SERVICE","69784.26",
"2017","IOWA","DELAWARE","SPECIAL SERVICE","64612.74",
"2015","IOWA","WOODBURY","SPECIAL SERVICE","163365.29","POINT (-96.0447673 42.3897169)"
"2016","IOWA","MADISON","REGULAR","106695.28","POINT (-94.01556190000001 41.33071420000001)"
"2017","IOWA","DAVIS","SPECIAL SERVICE","206.85",
"2016","WYOMING",,"REGULAR","117865.86",
"2015","MASSACHUSETTS",,"REGULAR","19489.38",
"2016","IOWA","DECATUR","REGULAR","45300.42","POINT (-93.7862815 40.7376827)"
"2017","GUANAJUATO",,"REGULAR","8267.18",
"2017","IOWA","WINNEBAGO","SPECIAL SERVICE","5830.18",
"2016","VERMONT",,"REGULAR","2496.05",
"2016","IOWA","WINNESHIEK","REGULAR","248483.95","POINT (-91.8437074 43.2906746)"
"2017","IOWA","WINNESHIEK","REGULAR","50148.12",
"2015","SOUTH CAROLINA",,"REGULAR","75445.27",
"2016","OREGON",,"REGULAR","75387.43",
"2017","IOWA","FLOYD","SPECIAL SERVICE","3989.86",
"2016","IOWA","RINGGOLD","SPECIAL SERVICE","605.14","POINT (-94.2439719 40.7352023)"
"2016","IOWA","MUSCATINE","REGULAR","286182.97","POINT (-91.1127562 41.4839221)"
"2015","WASHINGTON",,"REGULAR","156522.86",
"2017","IOWA","CHEROKEE","REGULAR","59303.27",
"2015","VIRGINIA",,"REGULAR","126485.87",
"2017","IOWA","JOHNSON","SPECIAL SERVICE","270549.13",
"2015","IOWA","APPANOOSE","REGULAR","407555.39","POINT (-92.8686104 40.7431635)"
"2018","OHIO",,"REGULAR","96646.24",
"2018","PUERTO RICO",,"REGULAR","8423.6",
"2017","IOWA","LUCAS","SPECIAL SERVICE","273.08",
"2017","IOWA","DUBUQUE","REGULAR","656476.02",
"2016","IOWA","MONROE","SPECIAL SERVICE","931.18","POINT (-92.8689877 41.0297826)"
"2017","FLORIDA",,"SPECIAL SERVICE","1814.41",
"2017","IOWA","ADAMS","REGULAR","48334.78",
"2018","NEVADA",,"SPECIAL SERVICE","43.11",
"2016","IOWA","ADAMS","REGULAR","83958.38","POINT (-94.6991849 41.02898390000001)"
"2017","IOWA","WAPELLO","REGULAR","213015.99",
"2018","LOUISIANA",,"REGULAR","7975.8",
"2016","IOWA","SCOTT","SPECIAL SERVICE","57258.16","POINT (-90.6232428 41.6370978)"
"2015","LOUISIANA",,"REGULAR","10222.37",
"2015","IOWA","SHELBY","SPECIAL SERVICE","8791.52","POINT (-95.31021130000002 41.6850926)"
"2017","COLORADO",,"SPECIAL SERVICE","62375.61",
"2016","SOUTH DAKOTA",,"SPECIAL SERVICE","31007.61",
"2016","NORTH DAKOTA",,"REGULAR","169409.08",
"2015","IOWA","HANCOCK","REGULAR","43303.65","POINT (-93.7342723 43.0818861)"
"2016","IOWA","BLACK HAWK","REGULAR","1001915.39","POINT (-92.3088197 42.4700957)"
"2018","OKLAHOMA",,"REGULAR","68245.94",
"2015","NEBRASKA",,"SPECIAL SERVICE","10182.27",
"2015","IOWA","HAMILTON","SPECIAL SERVICE","5374.65","POINT (-93.7068085 42.3837722)"
"2016","VIRGINIA",,"REGULAR","43285.54",
"2015","TEXAS",,"SPECIAL SERVICE","11904.47",
"2016","IOWA","ALLAMAKEE","REGULAR","59011.36","POINT (-91.3780923 43.2842838)"
"2017","IOWA","VAN BUREN","SPECIAL SERVICE","23130.64",
"2015","IOWA","HOWARD","SPECIAL SERVICE","4611.98","POINT (-92.3171989 43.3567673)"
"2015","IOWA","JACKSON","REGULAR","174796.80","POINT (-90.5742294 42.1717426)"
"2017","IOWA","BREMER","REGULAR","333341.81",
"2015","IOWA","BOONE","SPECIAL SERVICE","80607.86","POINT (-93.931671 42.0365493)"
"2015","ILLINOIS",,"SPECIAL SERVICE","70957.76",
"2017","IOWA","RINGGOLD","SPECIAL SERVICE","26747.75",
"2016","IOWA","BUENA VISTA","REGULAR","303291.17","POINT (-95.15114900000002 42.7354936)"
"2016","IOWA","APPANOOSE","REGULAR","127915.55","POINT (-92.8686104 40.7431635)"
"2015","IOWA","DELAWARE","REGULAR","95027.59","POINT (-91.3673502 42.471211)"
"2017","KENTUCKY",,"REGULAR","126446.45",
"2016","IOWA","KEOKUK","SPECIAL SERVICE","85415.13","POINT (-92.1786426 41.336465)"
"2017","COLORADO",,"REGULAR","398689.78",
"2018","VIRGINIA",,"REGULAR","216934.28",
"2015","IOWA","MARSHALL","SPECIAL SERVICE","200.08","POINT (-92.9987706 42.0358499)"
"2017","IOWA","HENRY","SPECIAL SERVICE","85362.92",
"2015","IOWA","DICKINSON","REGULAR","254604.05","POINT (-95.1508301 43.3779848)"
"2016","IOWA","JASPER","SPECIAL SERVICE","216808.62","POINT (-93.053765 41.6860394)"
"2016","SOUTH CAROLINA",,"REGULAR","22770.29",
"2017","IOWA","MILLS","SPECIAL SERVICE","15403.10",
"2016","IOWA","CASS","SPECIAL SERVICE","25967.94","POINT (-94.9278266 41.3314876)"
"2017","IOWA","RINGGOLD","REGULAR","124843.99",
"2017","TEXAS",,"REGULAR","529699.19",
"2015","IOWA","KOSSUTH","SPECIAL SERVICE","183.77","POINT (-94.2067199 43.20413)"
"2017","MISSISSIPPI",,"SPECIAL SERVICE","4886.73",
"2017","SOUTH DAKOTA",,"SPECIAL SERVICE","4945.74",
"2017","IOWA","WASHINGTON","REGULAR","145580.29",
"2016","IOWA","DALLAS","REGULAR","1012543.91","POINT (-94.0397374 41.6848862)"
"2017","IOWA","LOUISA","SPECIAL SERVICE","1074.29",
"2016","IOWA","SAC","SPECIAL SERVICE","24860.52","POINT (-95.1053946 42.3862604)"
"2015","IOWA","FRANKLIN","REGULAR","81618.62","POINT (-93.262473 42.7325458)"
"2016","IOWA","HANCOCK","SPECIAL SERVICE","145972.46","POINT (-93.7342723 43.0818861)"
"2015","KENTUCKY",,"REGULAR","20918.64",
"2016","WISCONSIN",,"SPECIAL SERVICE","31.05",
"2016","IOWA","HARDIN","REGULAR","259619.17","POINT (-93.2404025 42.3838803)"
"2018","NEBRASKA",,"REGULAR","1195175.21",
"2017","IOWA","HARRISON","REGULAR","124510.71",
"2016","NEBRASKA",,"REGULAR","1074302.12",
"2015","INDIANA",,"REGULAR","163689.86",
"2017","IOWA","CRAWFORD","REGULAR","208737.05",
"2016","IOWA","JONES","REGULAR","196995.44","POINT (-91.1314352 42.1212397)"
"2017","IOWA","WINNEBAGO","REGULAR","44661.08",
"2017","WISCONSIN",,"REGULAR","545579.86",
"2017","IOWA","LUCAS","REGULAR","113447.95",
"2015","IOWA","LEE","SPECIAL SERVICE","403646.43","POINT (-91.479264 40.6419764)"
"2016","IOWA","HENRY","SPECIAL SERVICE","109321.84","POINT (-91.5445241 40.9879383)"
"2015","IOWA","TAYLOR","SPECIAL SERVICE","3185.30","POINT (-94.6964148 40.73743240000001)"
"2015","IOWA","CASS","REGULAR","92091.53","POINT (-94.9278266 41.3314876)"
"2017","IOWA","MARION","SPECIAL SERVICE","149857.98",
"2016","IOWA","FLOYD","SPECIAL SERVICE","7849.71","POINT (-92.78900330000002 43.0599208)"
"2016","IOWA","WAYNE","SPECIAL SERVICE","16440.26","POINT (-93.3273639 40.73947020000001)"
"2017","MISSOURI",,"REGULAR","430919.35",
"2015","IOWA","PAGE","SPECIAL SERVICE","81938.14","POINT (-95.1501747 40.7391444)"
"2015","UTAH",,"REGULAR","10754.17",
