"levyauthority","levyauthorityname","fiscal_year","ur_number","countoftd_number","starting_balance","sumofrevenue","sumofrevenue_interest","sumofproperty_tax_replacement","sumofsales_repayments","rebates_amount_sum_sumofamount","expenditure_amount_sum","sumofreturned","ending_balance","primary_lat_dec","primary_long_dec","geocoded_column"
"6","BENTON","2021","06013","1","0","0","0","0","0","0","0","0","0","-92.0656912","42.0801864","POINT (42.0801864 -92.0656912)"
"85G811","AMES","2012","85012",,"0",,"0",,"0",,,"0","0","42.0347081","-93.6199402","POINT (-93.6199402 42.0347081)"
"28G260","EARLVILLE","2021","28007","3","1179","101233","230","0","0","0","100000","0","2642","-91.2723626","42.4816589","POINT (42.4816589 -91.2723626)"
"08G057","BOONE","2012","8002","2","0","0","0",,"0",,,"0","0","42.0597047","-93.8802273","POINT (-93.8802273 42.0597047)"
"86G828","ELBERON","2019","86993","0","0","0","0","0","0","0","0","0","0","42.0054947","-92.3161149","POINT (-92.3161149 42.0054947)"
"62","MAHASKA","2021","62002","2","0","51954","0","0","0","51954","0","0","0","-92.6409094","41.3352035","POINT (41.3352035 -92.6409094)"
"77G726","URBANDALE","2021","77045","4","0","0","0","0","0","0","0","0","0","-93.7121656","41.6266555","POINT (41.6266555 -93.7121656)"
"84G804","HULL","2019","84035","1","0","0","0","0","0","0","0","0","0","43.1894543","-96.1336554","POINT (-96.1336554 43.1894543)"
"99","WRIGHT","2021","99028","4","177371","4923238","0","225999","148","728992","1630295","0","2967469","-93.7351465","42.7331189","POINT (42.7331189 -93.7351465)"
"97G937","SERGEANT BLUFF","2021","97031","2","0","23640","0","0","0","23640","0","0","0","-96.3586397","42.4038823","POINT (42.4038823 -96.3586397)"
"98","WORTH","2021","98012","19","4935109","2960754","33448","248156","0","0","3588180","0","4589287","-93.2608476","43.3773984","POINT (43.3773984 -93.2608476)"
"99G951","EAGLE GROVE","2021","99022","15","53435","323996","0","0","0","0","282551","0","94880","-93.9043905","42.664138","POINT (42.664138 -93.9043905)"
"99G951","EAGLE GROVE","2021","99029","6","0","74687","0","0","0","0","35000","0","39687","-93.9043905","42.664138","POINT (42.664138 -93.9043905)"
"97G937","SERGEANT BLUFF","2021","97025","3","25675","42699","0","0","0","0","67812","0","562","-96.3586397","42.4038823","POINT (42.4038823 -96.3586397)"
"98G946","MANLY","2021","98006","2","0","0","0","0","0","0","0","0","0","-93.2021482","43.2871813","POINT (43.2871813 -93.2021482)"
"99G953","GOLDFIELD","2021","99025","4","312405","0","0","0","0","0","0","0","312405","-93.92078","42.7358045","POINT (42.7358045 -93.92078)"
"97","WOODBURY","2021","97026","11","139675","1601031","0","0","0","0","654448","0","1086258","-96.0447673","42.3897169","POINT (42.3897169 -96.0447673)"
"99G949","CLARION","2021","99013","17","14825","412855","0","0","40000","34000","415485","0","18195","-93.732992","42.7316387","POINT (42.7316387 -93.732992)"
"99G951","EAGLE GROVE","2021","99030","2","0","28574","0","0","0","24877","0","0","3697","-93.9043905","42.664138","POINT (42.664138 -93.9043905)"
"98G946","MANLY","2021","98003","11","179528","194028","380","0","0","0","233758","0","140178","-93.2021482","43.2871813","POINT (43.2871813 -93.2021482)"
"99","WRIGHT","2021","99031","1","15","0","0","0","0","0","0","0","15","-93.7351465","42.7331189","POINT (42.7331189 -93.7351465)"
"97","WOODBURY","2021","97027","2","0","65795","0","0","0","65795","0","0","0","-96.0447673","42.3897169","POINT (42.3897169 -96.0447673)"
"99","WRIGHT","2021","99026","9","147027","729252","0","7958","4142","0","304600","0","583779","-93.7351465","42.7331189","POINT (42.7331189 -93.7351465)"
"98G947","NORTHWOOD","2021","98001","4","31610","255407","0","0","0","0","275000","0","12017","-93.2210371","43.4441245","POINT (43.4441245 -93.2210371)"
"97G928","CORRECTIONVILLE","2021","97029","2","0","16941","0","0","0","0","0","0","16941","-95.785565","42.4749887","POINT (42.4749887 -95.785565)"
