"itemno","category_name","im_desc","vendor_no","vendor_name","bottle_volume_ml","pack","innerpack","age","proof","listdate","upc","scc","state_bottle_cost","state_case_cost","state_bottle_retail","date"
"100015","Whiskey Liqueur","Fireball Cinnamon Whiskey Bag in Box","421","SAZERAC COMPANY  INC","3500","3","1","0","66","2017-10-01T00:00:00.000","88004022723","10086816101923","30.00","90.00","45.00","2022-09-01T00:00:00.000"
"10006","Scotch Whiskies","Scoresby Rare Scotch","421","SAZERAC COMPANY  INC","750","12","1","0","80","1990-04-01T00:00:00.000",,"10088004038226","6.25","75.00","9.38","2022-09-01T00:00:00.000"
"100040","Temporary & Specialty Packages","Grand Marnier Cordon Rouge w/2 Shot Glasses","619","Campari America","750","6","1","0","80","2020-06-01T00:00:00.000","721059002622","10088076183237","23.31","139.86","34.97","2022-09-01T00:00:00.000"
"10008","Scotch Whiskies","Scoresby Rare Scotch","421","SAZERAC COMPANY  INC","1750","6","1","0","80","1977-05-01T00:00:00.000","88004036225","10088004035898","11.00","66.00","16.50","2022-09-01T00:00:00.000"
"10009","Scotch Whiskies","Scoresby Rare Scotch","421","SAZERAC COMPANY  INC","1000","12","1","0","80","1990-05-01T00:00:00.000",,"82000766131","6.74","80.88","10.11","2022-09-01T00:00:00.000"
"100104","100% Agave Tequila","Herradura Ultra Anejo","085","Brown Forman Corp.","750","6","1","0","80","2022-02-01T00:00:00.000","88004036225","10744607105689","29.99","179.94","44.99","2022-09-01T00:00:00.000"
"100077","Temporary & Specialty Packages","Kraken Rum w/ Tiki Glass","395","PROXIMO","750","6","1","0","94","2022-09-01T00:00:00.000","811538014588","10088076183237","10.45","62.70","15.68","2022-09-01T00:00:00.000"
"100148","Tennessee Whiskies","Jack Daniels Single Barrel w/Snifter Glass","085","Brown Forman Corp.","750","6","1","0","94","2022-01-01T00:00:00.000","811538014588","10082184103354","27.59","165.54","41.39","2022-09-01T00:00:00.000"
"100202","Temporary & Specialty Packages","Baileys Original Irish Cream w/2 Dessert Bowls","260","DIAGEO AMERICAS","750","6","1","0","34","2021-10-01T00:00:00.000","80432111956","10082184103354","16.49","98.94","24.74","2022-09-01T00:00:00.000"
"100210","Temporary & Specialty Packages","Clyde Mays Dualpack","305","Mhw LTD","750","6","1","0","85","2020-10-01T00:00:00.000","82000783664","10082184103354","20.00","120.00","30.00","2022-09-01T00:00:00.000"
