"record_key","fiscal_year","county_code","county","gnis_feature_id","city_code","city_name","revenue_type","budget","actual","primary_city_coordinates"
"2007_42G388_Property Taxes","2007","42","HARDIN","454084","42G388","ACKLEY","Property Taxes","449058","465543","POINT (-93.0532553 42.5541451)"
"2007_42G388_TIF Revenues","2007","42","HARDIN","454084","42G388","ACKLEY","TIF Revenues","0","0","POINT (-93.0532553 42.5541451)"
"2007_42G388_Other City Taxes","2007","42","HARDIN","454084","42G388","ACKLEY","Other City Taxes","149971","163508","POINT (-93.0532553 42.5541451)"
"2007_42G388_Licenses/Permits","2007","42","HARDIN","454084","42G388","ACKLEY","Licenses/Permits","3660","3959","POINT (-93.0532553 42.5541451)"
"2007_42G388_Use of Money Property","2007","42","HARDIN","454084","42G388","ACKLEY","Use of Money Property","102592","44016","POINT (-93.0532553 42.5541451)"
"2007_42G388_Intergovernmental","2007","42","HARDIN","454084","42G388","ACKLEY","Intergovernmental","167594","195484","POINT (-93.0532553 42.5541451)"
"2007_42G388_Charges for Service","2007","42","HARDIN","454084","42G388","ACKLEY","Charges for Service","658562","640596","POINT (-93.0532553 42.5541451)"
"2007_42G388_Special Assessments","2007","42","HARDIN","454084","42G388","ACKLEY","Special Assessments","4000","1343","POINT (-93.0532553 42.5541451)"
"2007_42G388_Miscellaneous","2007","42","HARDIN","454084","42G388","ACKLEY","Miscellaneous","46550","52564","POINT (-93.0532553 42.5541451)"
"2007_42G388_Total Transfers In","2007","42","HARDIN","454084","42G388","ACKLEY","Total Transfers In","175291","67926","POINT (-93.0532553 42.5541451)"
"2007_42G388_Proceeds of Debt","2007","42","HARDIN","454084","42G388","ACKLEY","Proceeds of Debt","0","0","POINT (-93.0532553 42.5541451)"
"2007_42G388_Proceeds of Capital Asset Sales","2007","42","HARDIN","454084","42G388","ACKLEY","Proceeds of Capital Asset Sales","0","0","POINT (-93.0532553 42.5541451)"
"2007_91G869_Property Taxes","2007","91","WARREN","454086","91G869","ACKWORTH","Property Taxes","8424","9114","POINT (-94.017453 41.6144325)"
"2007_91G869_TIF Revenues","2007","91","WARREN","454086","91G869","ACKWORTH","TIF Revenues","0","0","POINT (-94.017453 41.6144325)"
"2007_91G869_Other City Taxes","2007","91","WARREN","454086","91G869","ACKWORTH","Other City Taxes","576","0","POINT (-94.017453 41.6144325)"
"2007_91G869_Licenses/Permits","2007","91","WARREN","454086","91G869","ACKWORTH","Licenses/Permits","0","45","POINT (-94.017453 41.6144325)"
"2007_91G869_Use of Money Property","2007","91","WARREN","454086","91G869","ACKWORTH","Use of Money Property","500","2214","POINT (-94.017453 41.6144325)"
"2007_91G869_Intergovernmental","2007","91","WARREN","454086","91G869","ACKWORTH","Intergovernmental","55700","50553","POINT (-94.017453 41.6144325)"
"2007_91G869_Charges for Service","2007","91","WARREN","454086","91G869","ACKWORTH","Charges for Service","0","0","POINT (-94.017453 41.6144325)"
