"fiscal_year","service_ordered","applicant","tax_dollars_approved","tax_percentage_approved"
"2022","Data Transmission and/or Internet Access","NODAWAY VALLEY CSD","13994.40","70.0"
"2022","Data Transmission and/or Internet Access","MAQUOKETA VALLEY COMMUNITY SCHOOL DIST.","8241.60","60.0"
"2022","Data Transmission and/or Internet Access","EDDYVILLE BLAKESBURG FREMONT CSD","4116.00","70.0"
"2022","Data Transmission and/or Internet Access","BECKMAN HIGH SCHOOL/DYERSVILLE","8626.00","50.0"
"2022","Data Transmission and/or Internet Access","WOODBINE COMMUNITY SCHOOL DISTRICT","6021.65","70.0"
"2022","Data Transmission and/or Internet Access","WEST MARSHALL COMM SCHOOL DIST","10368.00","60.0"
"2022","Data Transmission and/or Internet Access","PELLA CHRISTIAN HIGH SCHOOL","4251.18","50.0"
"2022","Data Transmission and/or Internet Access","ALDEN COMMUNITY SCHOOL DIST","2592.00","60.0"
"2022","Data Transmission and/or Internet Access","WAYNE COMMUNITY SCHOOL DISTRICT","13824.00","80.0"
"2022","Data Transmission and/or Internet Access","NORTHWEST AREA EDUCATION  AGENCY/SIOUX CITY","720.00","60.0"
"2022","Data Transmission and/or Internet Access","CLARKE COMMUNITY SCHOOL DIST","18208.00","80.0"
"2022","Data Transmission and/or Internet Access","MISSOURI VALLEY COMM SCH DIST","5564.16","70.0"
"2022","Data Transmission and/or Internet Access","CLEAR CREEK AMANA COMM S D","10941.60","60.0"
"2022","Data Transmission and/or Internet Access","CENTRAL CITY COMM SCHOOL DIST","10315.20","60.0"
"2022","Data Transmission and/or Internet Access","SOUTH CENTRAL CALHOUN COMMUNITY SCHOOL DISTRICT","12011.72","70.0"
"2022","Data Transmission and/or Internet Access","PELLA CHRISTIAN GRADE SCHOOL","3271.68","50.0"
"2022","Data Transmission and/or Internet Access","NORTH BUTLER COMMUNITY SCHOOL DIST","9878.40","60.0"
"2022","Data Transmission and/or Internet Access","REGINA SCHOOL SYSTEM/IOWA CITY","9216.00","40.0"
"2022","Data Transmission and/or Internet Access","HUBBARD-RADCLIFFE COMM SCHS","8104.32","70.0"
"2022","Data Transmission and/or Internet Access","HUMBOLDT COMM SCHOOL DISTRICT","10160.64","70.0"
"2022","Data Transmission and/or Internet Access","AUDUBON COMMUNITY SCHOOL DIST","10920.00","70.0"
"2022","Data Transmission and/or Internet Access","PRAIRIE LAKES AREA ED AGENCY 08","19236.00","70.0"
"2022","Data Transmission and/or Internet Access","FORT DODGE PUBLIC LIBRARY","12155.20","80.0"
"2022","Data Transmission and/or Internet Access","KEOTA COMMUNITY SCHOOL DIST","6955.20","70.0"
"2022","Data Transmission and/or Internet Access","Keystone AEA1 Internet Access Consortium","43582.56","68.00"
"2022","Data Transmission and/or Internet Access","Odebolt Arthur Battle Creek Ida Grove Community Sc","14196.00","70.0"
"2022","Data Transmission and/or Internet Access","PERRY COMMUNITY SCHOOL DIST","29030.40","90.0"
"2022","Data Transmission and/or Internet Access","NORTH BUTLER COMMUNITY SCHOOL DIST","15393.60","60.0"
"2022","Data Transmission and/or Internet Access","SUMNER-FREDERICKSBURG COMMUNITY SCHOOL DISTRICT","10368.00","60.0"
"2022","Data Transmission and/or Internet Access","Central Rivers AEA","7761.60","60.0"
"2022","Data Transmission and/or Internet Access","VAN METER COMM SCHOOL DISTRICT","6818.00","50.0"
"2022","Data Transmission and/or Internet Access","DIAGONAL COMM SCHOOL DISTRICT","10195.20","80.0"
"2022","Data Transmission and/or Internet Access","RIVER VALLEY COMMUNITY SCHOOL DISTRICT","9545.20","70.0"
"2022","Data Transmission and/or Internet Access","SCHLESWIG COMM SCHOOL DISTRICT","5725.44","70.0"
"2022","Data Transmission and/or Internet Access","SOUTH WINNESHIEK COMMUNITY SCHOOL DISTRICT","11524.80","70.0"
"2022","Data Transmission and/or Internet Access","CENTERVILLE COMM SCHOOL DIST","11059.20","80.0"
"2022","Data Transmission and/or Internet Access","ALBERT CITY-TRUESDALE CSD","4599.00","70.0"
"2022","Data Transmission and/or Internet Access","PRINCE OF PEACE EDUCATION SYSTEM/CLINTON","3492.72","50.0"
"2022","Data Transmission and/or Internet Access","TWIN RIVERS COMM SCHOOL DIST","3024.00","70.0"
"2022","Data Transmission and/or Internet Access","ALLAMAKEE COMM SCHOOL DIST","9816.80","70.0"
"2022","Data Transmission and/or Internet Access","TWIN CEDARS COMM SCHOOL DIST","9475.20","70.0"
"2022","Data Transmission and/or Internet Access","KEYSTONE AREA ED AGENCY 01","12096.00","70.0"
"2022","Data Transmission and/or Internet Access","HAMPTON-DUMONT COMM SCH DIST","20102.40","80.0"
"2022","Data Transmission and/or Internet Access","LOGAN-MAGNOLIA COMM SCH DIST","7066.56","60.0"
"2022","Data Transmission and/or Internet Access","Central Rivers AEA","10368.00","60.0"
"2022","Data Transmission and/or Internet Access","MANSON-NW WEBSTER COMM SCHOOLS","10368.00","60.0"
"2022","Data Transmission and/or Internet Access","DIKE-NEW HARTFORD SCHOOL DIST","17755.20","60.0"
"2022","Data Transmission and/or Internet Access","LOUISA-MUSCATINE SCHOOL DIST","3024.00","70.0"
"2022","Data Transmission and/or Internet Access","MORMON TRAIL COMM SCHOOL DIST","18448.00","80.0"
"2022","Data Transmission and/or Internet Access","MARTENSDALE-ST MARYS COMM S D","10368.00","60.0"
"2022","Data Transmission and/or Internet Access","MFL MarMac Community School District","16052.40","70.0"
"2022","Data Transmission and/or Internet Access","Keystone AEA1 Internet Access Consortium","15667.20","68.00"
"2022","Managed Internal Broadband Services","MADRID COMMUNITY SCHOOL DIST","1555.20","60.0"
"2022","Data Transmission and/or Internet Access","CAM COMMUNITY SCHOOL DIST","14200.20","70.0"
"2022","Data Transmission and/or Internet Access","CLARION-GOLDFIELD DOWS COMMUNITY SCHOOLS","21724.80","80.0"
"2022","Data Transmission and/or Internet Access","SAC CITY PUBLIC LIBRARY","2769.20","70.0"
"2022","Data Transmission and/or Internet Access","NORTH TAMA CO COMM SCHOOL DIST","6955.20","70.0"
"2022","Data Transmission and/or Internet Access","WASHINGTON COMM SCHOOL DIST","20160.00","70.0"
"2022","Data Transmission and/or Internet Access","WAPELLO COMMUNITY SCHOOL DIST","8104.32","70.0"
"2022","Data Transmission and/or Internet Access","NORTH LINN COMM SCHOOL DIST","8294.40","60.0"
"2022","Data Transmission and/or Internet Access","WESTWOOD COMM SCHOOL DISTRICT","12096.00","70.0"
"2022","Data Transmission and/or Internet Access","CAMANCHE COMMUNITY SCHOOL DIST","8294.40","60.0"
"2022","Managed Internal Broadband Services","CENTRAL LEE COMM SCHOOL DIST","1386.00","70.0"
"2022","Data Transmission and/or Internet Access","MADRID COMMUNITY SCHOOL DIST","13826.40","60.0"
"2022","Data Transmission and/or Internet Access","EASTERN ALLAMAKEE SCHOOL DIST","16052.40","70.0"
"2022","Data Transmission and/or Internet Access","NORTH CEDAR COMM SCH DIST","5725.44","70.0"
"2022","Data Transmission and/or Internet Access","VINTON-SHELLSBURG COMM SCH DST","8128.51","70.0"
"2022","Data Transmission and/or Internet Access","JANESVILLE CONS SCHOOL DIST","10368.00","60.0"
"2022","Data Transmission and/or Internet Access","NORTHWEST AREA EDUCATION  AGENCY/SIOUX CITY","3060.00","60.0"
"2022","Data Transmission and/or Internet Access","PLEASANTVILLE COMM SCHOOL DIST","10368.00","60.0"
