"recno","sex","veteransstatus","releasestatus","countyofadmission","currentage","war"
"18494","Male","Veteran","Present","MONONA","55-64 years old","Vietnam"
"18129","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"13559","Male","Veteran","Present","MARSHALL","75-84 years old","Korean"
"18488","Female","Veteran","Present","MONROE","55-64 years old","Vietnam"
"18652","Male","Veteran","Present","MARION","75-84 years old","Peace Time"
"18670","Female","Veteran","Present","POLK","85+ years old","WWII"
"18659","Male","Veteran","Present","SCOTT","65-74 years old","Vietnam"
"17810","Male","Veteran","Present","MAHASKA","75-84 years old","Peace Time"
"18465","Male","Veteran","Present","MONONA","75-84 years old","Peace Time"
"18381","Male","Veteran","Present","BUENA VISTA","65-74 years old","Vietnam"
"18699","Male","Veteran","Present","MARSHALL","75-84 years old","Peace Time"
"17523","Male","Veteran","Present","SCOTT","65-74 years old","Vietnam"
"17892","Male","Veteran","Present","POLK","75-84 years old","Vietnam"
"18435","Male","Veteran","Present","MARSHALL","85+ years old","WWII"
"18567","Male","Veteran","Present","CERRO GORDO","65-74 years old","Vietnam"
"14129","Male","Veteran","Present","DES MOINES","75-84 years old","Vietnam"
"12747","Male","Veteran","Present","TAMA","65-74 years old","Vietnam"
"18532","Male","Veteran","Present","GUTHRIE","75-84 years old","Korean"
"14195","Male","Veteran","Present","MARSHALL","55-64 years old","Peace Time"
"18107","Male","Veteran","Present","LEE","65-74 years old","Vietnam"
"18658","Male","Veteran","Present","LEE","75-84 years old","Korean"
"13983","Male","Veteran","Present","TAMA","85+ years old","Korean"
"18619","Male","Veteran","Present","MARSHALL","75-84 years old","Peace Time"
"18557","Male","Veteran","Present","MADISON","85+ years old","Korean"
"13860","Male","Veteran","Present","HOWARD","25-54 years old","Peace Time"
"13568","Male","Veteran","Present","BLACK HAWK","65-74 years old","Vietnam"
"18313","Male","Veteran","Present","MARSHALL","55-64 years old","Vietnam"
"18211","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"17915","Female","Veteran","Present","ALLAMAKEE","85+ years old","Korean"
"17612","Male","Veteran","Present","CLINTON","55-64 years old","Peace Time"
"17545","Male","Veteran","Present","KEOKUK","85+ years old","Korean"
"18449","Female","Veteran","Present","LINN","65-74 years old","Vietnam"
"18671","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18665","Male","Veteran","Present","HARDIN","85+ years old","WWII"
"18266","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18681","Male","Veteran","Present","TAMA","65-74 years old","Vietnam"
"12107","Male","Veteran","Present","LINN","65-74 years old","Vietnam"
"14111","Male","Veteran","Present","WAYNE","55-64 years old","Vietnam"
"18689","Male","Veteran","Present","POLK","75-84 years old","Peace Time"
"18374","Male","Veteran","Present","MARSHALL","85+ years old","WWII"
"17767","Male","Veteran","Present","LINN","65-74 years old","Vietnam"
"18122","Male","Veteran","Present","BLACK HAWK","25-54 years old","Peace Time"
"17642","Male","Veteran","Present","GRUNDY","75-84 years old","Korean"
"18280","Male","Veteran","Present","TAMA","65-74 years old","Vietnam"
"18655","Male","Veteran","Present","MARSHALL","85+ years old","WWII"
"17947","Male","Veteran","Present","LINN","85+ years old","Korean"
"12837","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
