"recno","sex","veteransstatus","releasestatus","countyofadmission","currentage","war"
"13855","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18214","Male","Veteran","Present","SAC","65-74 years old","Vietnam"
"11686","Male","Veteran","Present","EMMET","75-84 years old","Peace Time"
"18541","Male","Veteran","Present","SCOTT","75-84 years old","Peace Time"
"18645","Female","Veteran","Present","WARREN","55-64 years old","Peace Time"
"18215","Male","Veteran","Present","LINN","65-74 years old","Vietnam"
"18113","Male","Veteran","Present","WARREN","85+ years old","WWII"
"18422","Male","Veteran","Present","WEBSTER","75-84 years old","Peace Time"
"18309","Male","Veteran","Present","POLK","75-84 years old","Peace Time"
"18223","Male","Veteran","Present","BLACK HAWK","75-84 years old","Peace Time"
"18273","Male","Veteran","Present","JOHNSON","65-74 years old","Vietnam"
"18136","Male","Veteran","Present","DUBUQUE","55-64 years old","Vietnam"
"18115","Male","Veteran","Present","LINN","75-84 years old","Korean"
"18378","Male","Veteran","Present","POLK","65-74 years old","Peace Time"
"18384","Female","Veteran","Present","LINN","75-84 years old","Korean"
"13872","Male","Veteran","Present","POLK","75-84 years old","Korean"
"18696","Male","Veteran","Present","MARSHALL","65-74 years old","Vietnam"
"18525","Male","Veteran","Present","TAMA","75-84 years old","Korean"
"18551","Male","Veteran","Present","BREMER","65-74 years old","Vietnam"
"18015","Male","Veteran","Present","BLACK HAWK","85+ years old","WWII"
"18376","Male","Veteran","Present","LINN","85+ years old","WWII"
"18152","Male","Veteran","Present","HARDIN","85+ years old","WWII"
"17541","Male","Veteran","Present","MARSHALL","25-54 years old","Gulf"
"18675","Male","Veteran","Present","POTTAWATTAMIE","75-84 years old","Korean"
"11448","Male","Veteran","Present","POLK","85+ years old","Korean"
"17563","Male","Veteran","Present","POLK","85+ years old","Korean"
"18687","Male","Veteran","Present","MARION","65-74 years old","Peace Time"
"12117","Male","Veteran","Present",,"65-74 years old","Vietnam"
"14229","Male","Veteran","Present","LINN","65-74 years old","Vietnam"
"18317","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"17714","Male","Veteran","Present","LINN","55-64 years old","Vietnam"
"2745","Female","Veteran","Present","POLK","75-84 years old","Peace Time"
"17967","Male","Veteran","Present","POLK","75-84 years old","Korean"
"10733","Male","Veteran","Present","MARSHALL","65-74 years old","Vietnam"
"17620","Male","Veteran","Present","WOODBURY","65-74 years old","Vietnam"
"14032","Male","Veteran","Present","MARSHALL","65-74 years old","Vietnam"
"18528","Male","Veteran","Present","LINN","65-74 years old","Vietnam"
"14240","Male","Veteran","Present","CLINTON","25-54 years old","Peace Time"
"14251","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18576","Male","Veteran","Present","BLACK HAWK","75-84 years old","Korean"
"17811","Male","Veteran","Present","DELAWARE","65-74 years old","Vietnam"
"12405","Male","Veteran","Present","SCOTT","55-64 years old","Vietnam"
"18258","Male","Veteran","Present","FAYETTE","55-64 years old","Vietnam"
"18232","Male","Veteran","Present","CERRO GORDO","85+ years old","WWII"
"18195","Male","Veteran","Present","POWESHIEK","65-74 years old","Vietnam"
"18146","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"17589","Male","Veteran","Present","BUCHANAN","75-84 years old","Peace Time"
"18630","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18692","Male","Veteran","Present","TAMA","65-74 years old","Vietnam"
"18499","Male","Veteran","Present","CERRO GORDO","65-74 years old","Vietnam"
"18261","Male","Veteran","Present","FRANKLIN","65-74 years old","Vietnam"
"18560","Male","Veteran","Present","MARSHALL","65-74 years old","Vietnam"
"18513","Male","Veteran","Present","BLACK HAWK","85+ years old","WWII"
"18206","Male","Veteran","Present","SCOTT","85+ years old","Peace Time"
"14225","Male","Veteran","Present","MARSHALL","65-74 years old","Vietnam"
"18377","Male","Veteran","Present","JASPER","65-74 years old","Vietnam"
"18414","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18679","Male","Veteran","Present","POLK","85+ years old","WWII"
"13425","Male","Veteran","Present","CLAYTON","65-74 years old","Vietnam"
"17840","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18694","Male","Veteran","Present","LINN","65-74 years old","Vietnam"
"18500","Male","Veteran","Present","MARSHALL","85+ years old","WWII"
"18682","Male","Veteran","Present","TAMA","75-84 years old","Korean"
"18594","Male","Veteran","Present","LEE","25-54 years old","Peace Time"
"18181","Male","Veteran","Present","MARSHALL","65-74 years old","Vietnam"
"17674","Male","Veteran","Present","BLACK HAWK","65-74 years old","Vietnam"
"12533","Male","Veteran","Present","LINN","65-74 years old","Vietnam"
"13489","Male","Veteran","Present","CERRO GORDO","65-74 years old","Vietnam"
"17792","Male","Veteran","Present","MARSHALL","65-74 years old","Vietnam"
"17847","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18419","Male","Veteran","Present","WAPELLO","85+ years old","WWII"
"18240","Male","Veteran","Present","POLK","65-74 years old","Peace Time"
"18482","Male","Veteran","Present","POLK","55-64 years old","Peace Time"
"14040","Male","Veteran","Present","WAPELLO","65-74 years old","Vietnam"
"13205","Male","Veteran","Present","POTTAWATTAMIE","65-74 years old","Vietnam"
"18425","Male","Veteran","Present","POLK","85+ years old","WWII"
"18498","Male","Veteran","Present","HENRY","65-74 years old","Vietnam"
"18490","Male","Veteran","Present","MONONA","75-84 years old","Korean"
"18663","Male","Veteran","Present","POLK","85+ years old","WWII"
"18393","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"13166","Male","Veteran","Present","LINN","65-74 years old","Vietnam"
"18239","Male","Veteran","Present","LINN","75-84 years old","Korean"
"12248","Male","Veteran","Present","MARION","75-84 years old","Korean"
"14177","Male","Veteran","Present","POLK","85+ years old","Korean"
"18607","Male","Veteran","Present","IDA","75-84 years old","Peace Time"
"17593","Male","Veteran","Present","MARION","65-74 years old","Vietnam"
"18458","Male","Veteran","Present","MARSHALL","75-84 years old","Korean"
"13910","Male","Veteran","Present","JOHNSON","75-84 years old","Peace Time"
"14281","Male","Veteran","Present","MARSHALL","55-64 years old","Vietnam"
"18496","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18662","Male","Veteran","Present","BLACK HAWK","75-84 years old","Korean"
"18634","Male","Veteran","Present","POLK","75-84 years old","Peace Time"
"18411","Male","Veteran","Present","BREMER","85+ years old","WWII"
"10667","Male","Veteran","Present","EMMET","65-74 years old","Vietnam"
"18353","Male","Veteran","Present","POLK","85+ years old","WWII"
"18348","Male","Veteran","Present","TAMA","65-74 years old","Vietnam"
"18145","Male","Veteran","Present","POLK","75-84 years old","Peace Time"
"18637","Male","Veteran","Present","MARSHALL","85+ years old","WWII"
"17867","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"13450","Male","Veteran","Present","POCAHONTAS","65-74 years old","Vietnam"
"18334","Male","Veteran","Present","WARREN","85+ years old","WWII"
"18217","Male","Veteran","Present","LEE","55-64 years old","Vietnam"
"18468","Male","Veteran","Present","MARSHALL","85+ years old","WWII"
"17862","Male","Veteran","Present","STORY","65-74 years old","Vietnam"
"18453","Male","Veteran","Present","JOHNSON","65-74 years old","Vietnam"
"18173","Male","Veteran","Present","POTTAWATTAMIE","65-74 years old","Peace Time"
"18387","Male","Veteran","Present","WEBSTER","85+ years old","WWII"
"13807","Male","Veteran","Present","DES MOINES","85+ years old","WWII"
"13430","Male","Veteran","Present","GRUNDY","65-74 years old","Vietnam"
"13612","Male","Veteran","Present","MONTGOMERY","85+ years old","Korean"
"18578","Male","Veteran","Present","MARSHALL","65-74 years old","Vietnam"
"18615","Male","Veteran","Present","JOHNSON","85+ years old","WWII"
"18319","Male","Veteran","Present","MARSHALL","85+ years old","WWII"
"14269","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18362","Male","Veteran","Present","BLACK HAWK","55-64 years old","Vietnam"
"18690","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"13784","Male","Veteran","Present","WEBSTER","65-74 years old","Vietnam"
"18587","Male","Veteran","Present","ADAIR","75-84 years old","Korean"
"18282","Male","Veteran","Present","LINN","65-74 years old","Vietnam"
"18244","Male","Veteran","Present","POLK","85+ years old","WWII"
"14037","Male","Veteran","Present","CERRO GORDO","65-74 years old","Vietnam"
"12889","Male","Veteran","Present","SAC","65-74 years old","Vietnam"
"18471","Male","Veteran","Present","MARION","65-74 years old","Vietnam"
"18650","Male","Veteran","Present","POLK","55-64 years old","Vietnam"
"13196","Male","Veteran","Present","STORY","25-54 years old","Peace Time"
"18616","Female","Veteran","Present","JOHNSON","85+ years old","WWII"
"18323","Male","Veteran","Present","FAYETTE","75-84 years old","Peace Time"
"14069","Male","Veteran","Present","MARSHALL","55-64 years old","Vietnam"
"18386","Female","Veteran","Present","JOHNSON","85+ years old","WWII"
"14138","Male","Veteran","Present","CLINTON","75-84 years old","Vietnam"
"18123","Male","Veteran","Present","KOSSUTH","65-74 years old","Vietnam"
"18504","Male","Veteran","Present","LEE","65-74 years old","Vietnam"
"18543","Male","Veteran","Present","POLK","55-64 years old","Vietnam"
"18207","Male","Veteran","Present","POWESHIEK","85+ years old","WWII"
"17880","Male","Veteran","Present","MARION","65-74 years old","Vietnam"
"18656","Male","Veteran","Present","PAGE","85+ years old","WWII"
"18651","Female","Veteran","Present","MARSHALL","85+ years old","WWII"
"17861","Male","Veteran","Present","POLK","75-84 years old","Peace Time"
"13302","Male","Veteran","Present","POLK","85+ years old","WWII"
"13966","Male","Veteran","Present","POLK","55-64 years old","Vietnam"
"12814","Male","Veteran","Present","MARSHALL","55-64 years old","Peace Time"
"18298","Male","Veteran","Present","JASPER","65-74 years old","Vietnam"
"12094","Male","Veteran","Present","MONTGOMERY","75-84 years old","Peace Time"
"18623","Male","Veteran","Present","WAPELLO","65-74 years old","Vietnam"
"13962","Male","Veteran","Present","CERRO GORDO","75-84 years old","Korean"
"18697","Male","Veteran","Present","BUCHANAN","75-84 years old","Peace Time"
"17995","Male","Veteran","Present","POLK","75-84 years old","Peace Time"
"17664","Male","Veteran","Present","TAMA","85+ years old","Korean"
"13951","Male","Veteran","Present","MARION","75-84 years old","Peace Time"
"18618","Male","Veteran","Present","BUTLER","75-84 years old","Peace Time"
"17778","Male","Veteran","Present","POLK","55-64 years old","Vietnam"
"13574","Male","Veteran","Present","WAPELLO","55-64 years old","Vietnam"
"18193","Male","Veteran","Present","POLK","75-84 years old","Peace Time"
"18410","Male","Veteran","Present","POLK","55-64 years old","Vietnam"
"18104","Male","Veteran","Present","HARDIN","65-74 years old","Vietnam"
"18486","Male","Veteran","Present","BLACK HAWK","55-64 years old","Peace Time"
"12828","Male","Veteran","Present","POLK","75-84 years old","Vietnam"
"12998","Male","Veteran","Present","MUSCATINE","65-74 years old","Vietnam"
"18229","Male","Veteran","Present","DICKINSON","75-84 years old","Peace Time"
"13653","Male","Veteran","Present","HARDIN","85+ years old","WWII"
"18614","Male","Veteran","Present","HARDIN","55-64 years old","Peace Time"
"10409","Male","Veteran","Present",,"65-74 years old","Vietnam"
"18204","Female","Veteran","Present","LINN","65-74 years old","Vietnam"
"13914","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"14167","Male","Veteran","Present","MARION","75-84 years old","Peace Time"
"17603","Male","Veteran","Present","LINN","75-84 years old","Peace Time"
"17679","Male","Veteran","Present","POLK","85+ years old","WWII"
"13162","Male","Veteran","Present","MARSHALL","65-74 years old","Vietnam"
"18579","Male","Veteran","Present","LINN","75-84 years old","Vietnam"
"13338","Male","Veteran","Present","LINN","85+ years old","Korean"
