"budget_line_code","fiscal_year","function","dept_name","fund","appropriation","budget_unit_code","budget_unit","object_class","gov_recommendation","dept_request","adopted_budget"
"2010-0943-070R-596070R-05A","2010","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","070R - AFIS - TRF 0943","596070R","AFIS - TRF 0943","05A - Appropriation","350000","350000","350000"
"2011-0017-01AR-5961AR1-05A","2011","Capital","Public Safety Capital","0017 - Rebuild Iowa Infrastructure Fund","01AR - DPS-ISP Post 9 & 10 Consolidation - 0017","5961AR1","DPS-ISP Post 9 & 10 Consolidation - 0017","05A - Appropriation","0","9000000","0"
"2011-0017-01BR-5961BR1-05A","2011","Capital","Public Safety Capital","0017 - Rebuild Iowa Infrastructure Fund","01BR - DPS-ISP Fleet & Supply w/Dist. 15 Consolidation - 0017","5961BR1","DPS-ISP Fleet & Supply w/Dist. 15 Consolidation - 0017","05A - Appropriation","0","500000","0"
"2011-0017-01CR-5961CR1-05A","2011","Capital","Public Safety Capital","0017 - Rebuild Iowa Infrastructure Fund","01CR - DPS Digital/700Mhz Communications Conversion per FCC - 0017","5961CR1","DPS Digital/700Mhz Communications Conversion per FCC - 0017","05A - Appropriation","0","5000000","0"
"2011-0943-071R-59671R1-05A","2011","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","071R - DPS Tech Projects - TRF 0943","59671R1","DPS-Digital In-Car Video FY 2011 - TRF 0943","05A - Appropriation","0","4500000","0"
"2012-0017-01AR-5961AR1-05A","2012","Capital","Public Safety Capital","0017 - Rebuild Iowa Infrastructure Fund","01AR - DPS-ISP Post 9 & 10 Consolidation - 0017","5961AR1","DPS-ISP Post 9 & 10 Consolidation - 0017","05A - Appropriation","0","9000000","0"
"2012-0017-01CR-5961CR1-05A","2012","Capital","Public Safety Capital","0017 - Rebuild Iowa Infrastructure Fund","01CR - DPS Digital/700Mhz Communications Conversion per FCC - 0017","5961CR1","DPS Digital/700Mhz Communications Conversion per FCC - 0017","05A - Appropriation","2500000","8000000","0"
"2012-0943-071R-59671R1-05A","2012","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","071R - DPS Tech Projects - TRF 0943","59671R1","DPS-Digital In-Car Video FY 2011 - TRF 0943","05A - Appropriation","0","1300000","0"
"2012-0943-093R-59693R1-05A","2012","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","093R - DPS Radio Replacement-TRF-0943","59693R1","DPS Radio Replacement-TRF-0943","05A - Appropriation","0","0","2500000"
"2012-0943-096R-59696R1-05A","2012","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","096R - DPS-Dubuque Fire Training Simulator-TRF-0943","59696R1","DPS-Dubuque Fire Training Simulator-TRF-0943","05A - Appropriation","0","0","80000"
"2013-0943-93R-59693R1-05A","2013","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","93R - DPS Radio Replacement-TRF-0943","59693R1","DPS Radio Replacement-TRF-0943","05A - Appropriation","0","0","2500000"
"2013-0943-93R-59693R1-05P","2013","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","93R - DPS Radio Replacement-TRF-0943","59693R1","DPS Radio Replacement-TRF-0943","05P - Previously Enacted Appropriation","2500000","2500000","0"
"2014-0943-93R-59693R1-05A","2014","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","93R - DPS Radio Replacement-TRF-0943","59693R1","DPS Radio Replacement-TRF-0943","05A - Appropriation","2500000","2500000","2500000"
"2015-0943-54R-59654R1-05A","2015","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","54R - DPS-ISP Critical Comm. Tower Repair/Replacement - TRF 0943","59654R1","DPS-ISP Critical Comm. Tower Repair/Replacement - TRF 0943","05A - Appropriation","275000","0","0"
"2016-0017-60R-59660R1-05A","2016","Capital","Public Safety Capital","0017 - Rebuild Iowa Infrastructure Fund","60R - DPS-FSTB Mobile Equipment Grant Match-0017","59660R1","DPS-FSTB Mobile Equipment Grant Match 0017","05A - Appropriation","0","0","100000"
"2016-0943-93R-59693R1-05A","2016","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","93R - DPS Radio Replacement-TRF-0943","59693R1","DPS Radio Replacement-TRF-0943","05A - Appropriation","2500000","0","0"
"2017-0017-1RR-5961RR1-05A","2017","Capital","Public Safety Capital","0017 - Rebuild Iowa Infrastructure Fund","1RR - Iowa Statewide Interoperable Communication System-DPS-0017","5961RR1","Iowa Statewide Interoperable Communication System-DPS-0017","05A - Appropriation","4383000",,
"2017-0943-71R-59671R2-05A","2017","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","71R - DPS Tech Projects - TRF 0943","59671R2","DPS UCR Replacement FY2017 - TRF 0943","05A - Appropriation","0","475000",
"2018-0943-71R-596071R-05A","2018","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","71R - DPS Tech Projects - TRF 0943","596071R","DPS Tech Projects - TRF 0943","05A - Appropriation","0","1122500",
"2018-0943-93R-59693R1-05A","2018","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","93R - DPS Radio Replacement-TRF-0943","59693R1","DPS Radio Replacement-TRF-0943","05A - Appropriation","1985000","1985000","1116377"
"2019-0943-71R-596071R-05A","2019","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","71R - DPS Tech Projects - TRF 0943","596071R","DPS Tech Projects - TRF 0943","05A - Appropriation","125000","125000","125000"
"2019-0943-93R-59693R1-05A","2019","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","93R - DPS Radio Replacement-TRF-0943","59693R1","DPS Radio Replacement-TRF-0943","05A - Appropriation","860000","860000","860000"
"2020-0017-2GR-5962GR1-05A","2020","Capital","Public Safety Capital","0017 - Rebuild Iowa Infrastructure Fund","2GR - DPS - ISP Aircrafts - 0017","5962GR1","DPS Aircraft - 0017","05A - Appropriation","1750000","3500000",
"2020-0017-2HR-5962HR1-05A","2020","Capital","Public Safety Capital","0017 - Rebuild Iowa Infrastructure Fund","2HR - DPS - Investigation Tools - 0017","5962HR1","DPS - Investigation Tools - 0017","05A - Appropriation","0","261000",
"2020-0017-2IR-5962IR1-05A","2020","Capital","Public Safety Capital","0017 - Rebuild Iowa Infrastructure Fund","2IR - DPS - ISP Emergency Rescue Vehicles - 0017","5962IR1","DPS - ISP Emergency Rescue Vehicles - 0017","05A - Appropriation","0","1300000",
"2020-0017-2JR-5962JR1-05A","2020","Capital","Public Safety Capital","0017 - Rebuild Iowa Infrastructure Fund","2JR - DCI Lab Liquid Chromatograph Tandem Mass Spectrometer-0017","5962JR1","DCI Lab Liquid Chromatograph Tandem Mass Spectrometer - 0017","05A - Appropriation","325000","325000","325000"
"2020-0017-2LR-5962LR1-05A","2020","Capital","Public Safety Capital","0017 - Rebuild Iowa Infrastructure Fund","2LR - Explosives Trace Detectors - 0017","5962LR1","Explosives Trace Detectors - 0017","05A - Appropriation","29000","29000","29000"
"2020-0943-2AR-5962AR1-05A","2020","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","2AR - DPS Laboratory Info Management System (LIMS) Upgrade-0943","5962AR1","DPS Laboratory Info Management System (LIMS) - 0943","05A - Appropriation","300000","300000","300000"
"2020-0943-2BR-5962BR1-05A","2020","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","2BR - DPS Virtual Storage Archival System - 0943","5962BR1","DPS Virtual Storage Archival System - 0943","05A - Appropriation","290000","290000","290000"
"2020-0943-2CR-5962CR1-05A","2020","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","2CR - DPS - DCI Lab Digital Evidence Management System - 0943","5962CR1","DPS-DCI Lab Digital Evidence Management System - 0943","05A - Appropriation","80000","80000","80000"
