"fiscal_year","county","srf_construction_loan_program","srf_construction_loan_program_1","srf_planning_design_loan","srf_planning_design_loan_1","local_water_protection_program","local_water_protection_program_1","livestock_water_quality","livestock_water_quality_1","on_site_wastewater_assistance","on_site_wastewater_assistance_1","general_non_point_source","general_non_point_source_1","total_by_county","total_of_projects_by_county"
"2018","Adair","5193000","1",,,"97519","5",,,,,,,"5290519","6"
"2018","Adams",,,,,"44533","4",,,,,,,"44533","4"
"2018","Allamakee",,,"658000","1",,,"44011","1",,,,,"702011","2"
"2018","Appanoose",,,,,"19819","3",,,"10000","1",,,"29819","4"
"2018","Audubon",,,,,,,,,"7859","1",,,"7859","1"
"2018","Benton","6404000","4","147500","1",,,,,"12500","1",,,"6564000","6"
"2018","Black Hawk","1600000","1",,,,,,,"6090","1",,,"1606090","2"
"2018","Boone","5429000","1","460000","1",,,,,,,,,"5889000","2"
"2018","Bremer","1576000","2",,,,,,,"15630","2",,,"1591630","4"
"2018","Buchanan",,,,,,,,,,,,,"0","0"
"2018","Buena Vista","1502000","1",,,,,,,,,,,"1502000","1"
"2018","Butler","2112000","1",,,,,,,"46131","5",,,"2158131","6"
"2018","Calhoun",,,,,,,,,"7000","1",,,"7000","1"
"2018","Carroll",,,,,,,"269329","2",,,,,"269329","2"
"2018","Cass",,,,,"62288","5",,,,,,,"62288","5"
"2018","Cedar",,,"1099000","3",,,,,"18173","2",,,"1117173","5"
"2018","Cerro Gordo",,,,,,,,,,,,,"0","0"
"2018","Cherokee",,,,,,,,,"6305","1",,,"6305","1"
"2018","Chickasaw",,,,,,,,,"32733","2",,,"32733","2"
"2018","Clarke",,,"1220000","1",,,,,,,,,"1220000","1"
"2018","Clay","1508000","1",,,,,,,"9450","1","360000","1","1877450","3"
"2018","Clayton","322000","1","156700","1",,,,,"40226","4",,,"518926","6"
"2018","Clinton",,,"88750","1",,,,,,,,,"88750","1"
"2018","Crawford",,,"180000","1","90464","1",,,,,,,"270464","2"
"2018","Dallas","15606000","3","1605050","2",,,,,"17900","1",,,"17228950","6"
"2018","Davis",,,,,"60660","5",,,,,,,"60660","5"
"2018","Decatur","314000","1",,,"48412","2",,,,,,,"362412","3"
"2018","Delaware",,,,,,,"152158","1","59788","3",,,"211946","4"
"2018","Des Moines","12092000","2",,,"11654","2",,,"6835","1",,,"12110489","5"
"2018","Dickinson",,,"80000","1",,,,,,,,,"80000","1"
"2018","Dubuque","13205000","3","475000","1",,,"98525","1",,,"1400000","1","15178525","6"
"2018","Emmet",,,"238000","1",,,,,"30140","3",,,"268140","4"
"2018","Fayette","2119000","3","480000","2",,,,,"5251","1",,,"2604251","6"
"2018","Floyd",,,"108000","1",,,,,"31194","2",,,"139194","3"
"2018","Franklin","1200000","1",,,,,,,"17700","3",,,"1217700","4"
"2018","Fremont",,,,,,,,,"7365","1",,,"7365","1"
"2018","Greene",,,,,,,,,"4800","1",,,"4800","1"
"2018","Grundy",,,,,,,,,"23873","3",,,"23873","3"
"2018","Guthrie",,,"150000","1",,,,,,,,,"150000","1"
"2018","Hamilton","1711000","1","135000","1",,,,,,,,,"1846000","2"
"2018","Hancock",,,,,,,,,,,,,"0","0"
