"budget_line_code","fiscal_year","function","dept_name","fund","appropriation","budget_unit_code","budget_unit","object_class","gov_recommendation","dept_request","adopted_budget"
"2010-0001-0P43-2130006-05A","2010","Administration and Regulation","Iowa Division of Banking (Commerce)","0001 - General Fund","0P43 - Banking Division","2130006","Bank Bureau","05A - Appropriation","6770393","7727901","0"
"2010-0001-0P43-2130008-05A","2010","Administration and Regulation","Iowa Division of Banking (Commerce)","0001 - General Fund","0P43 - Banking Division","2130008","Finance Bureau","05A - Appropriation","934769","934769","0"
"2010-0019-0P55-213BK01-05A","2010","Administration and Regulation","Iowa Division of Banking (Commerce)","0019 - Commerce Revolving Fund","0P55 - Banking Division","213BK01","Bank Bureau","05A - Appropriation","0","0","7727901"
"2010-0019-0P55-213FB01-05A","2010","Administration and Regulation","Iowa Division of Banking (Commerce)","0019 - Commerce Revolving Fund","0P55 - Banking Division","213FB01","Finance Bureau","05A - Appropriation","0","0","934769"
"2011-0019-0P55-213BK01-05A","2011","Administration and Regulation","Iowa Division of Banking (Commerce)","0019 - Commerce Revolving Fund","0P55 - Banking Division","213BK01","Bank Bureau","05A - Appropriation","7940560","7940560","8030560"
"2011-0019-0P55-213FB01-05A","2011","Administration and Regulation","Iowa Division of Banking (Commerce)","0019 - Commerce Revolving Fund","0P55 - Banking Division","213FB01","Finance Bureau","05A - Appropriation","911110","911110","821110"
"2012-0001-0P43-2130006-05A","2012","Administration and Regulation","Iowa Division of Banking (Commerce)","0001 - General Fund","0P43 - Banking Division","2130006","Bank Bureau","05A - Appropriation","8320570","0","0"
"2012-0019-0P55-213BCHK-05A","2012","Administration and Regulation","Iowa Division of Banking (Commerce)","0019 - Commerce Revolving Fund","0P55 - Banking Division","213BCHK","Finance Bureau Background Checks","05A - Appropriation","0","0","8851670"
"2012-0019-0P55-213BK01-05A","2012","Administration and Regulation","Iowa Division of Banking (Commerce)","0019 - Commerce Revolving Fund","0P55 - Banking Division","213BK01","Bank Bureau","05A - Appropriation","0","8780560","0"
"2012-0019-0P55-213FB01-05A","2012","Administration and Regulation","Iowa Division of Banking (Commerce)","0019 - Commerce Revolving Fund","0P55 - Banking Division","213FB01","Finance Bureau","05A - Appropriation","0","821110","0"
"2013-0019-P55-213BK01-05A","2013","Administration and Regulation","Iowa Division of Banking (Commerce)","0019 - Commerce Revolving Fund","P55 - Banking Division","213BK01","Bank Bureau","05A - Appropriation","4672335","4425835","8370362"
"2013-0019-P55-213BK01-05P","2013","Administration and Regulation","Iowa Division of Banking (Commerce)","0019 - Commerce Revolving Fund","P55 - Banking Division","213BK01","Bank Bureau","05P - Previously Enacted Appropriation","4425835","4425835","0"
"2013-0019-P55-213FB01-05A","2013","Administration and Regulation","Iowa Division of Banking (Commerce)","0019 - Commerce Revolving Fund","P55 - Banking Division","213FB01","Finance Bureau","05A - Appropriation","0","0","727808"
"2014-0019-P55-213BK01-05A","2014","Administration and Regulation","Iowa Division of Banking (Commerce)","0019 - Commerce Revolving Fund","P55 - Banking Division","213BK01","Bank Bureau","05A - Appropriation","8432390","8370362","8439607"
"2014-0019-P55-213BK01-05K","2014","Administration and Regulation","Iowa Division of Banking (Commerce)","0019 - Commerce Revolving Fund","P55 - Banking Division","213BK01","Bank Bureau","05K - DAS Distribution","0","0","7037"
"2014-0019-P55-213FB01-05A","2014","Administration and Regulation","Iowa Division of Banking (Commerce)","0019 - Commerce Revolving Fund","P55 - Banking Division","213FB01","Finance Bureau","05A - Appropriation","727808","727808","720591"
"2015-0019-P55-213BK01-05A","2015","Administration and Regulation","Iowa Division of Banking (Commerce)","0019 - Commerce Revolving Fund","P55 - Banking Division","213BK01","Bank Bureau","05A - Appropriation","4730099","4580099","8560227"
"2015-0019-P55-213BK01-05K","2015","Administration and Regulation","Iowa Division of Banking (Commerce)","0019 - Commerce Revolving Fund","P55 - Banking Division","213BK01","Bank Bureau","05K - DAS Distribution","7037","7037","0"
"2015-0019-P55-213BK01-05P","2015","Administration and Regulation","Iowa Division of Banking (Commerce)","0019 - Commerce Revolving Fund","P55 - Banking Division","213BK01","Bank Bureau","05P - Previously Enacted Appropriation","3859508","3859508","0"
"2015-0019-P55-213FB01-05A","2015","Administration and Regulation","Iowa Division of Banking (Commerce)","0019 - Commerce Revolving Fund","P55 - Banking Division","213FB01","Finance Bureau","05A - Appropriation","0","0","757008"
"2015-0019-P55-213FB01-05P","2015","Administration and Regulation","Iowa Division of Banking (Commerce)","0019 - Commerce Revolving Fund","P55 - Banking Division","213FB01","Finance Bureau","05P - Previously Enacted Appropriation","720591","720591","0"
"2016-0019-P55-213BK01-05A","2016","Administration and Regulation","Iowa Division of Banking (Commerce)","0019 - Commerce Revolving Fund","P55 - Banking Division Commerce Fund","213BK01","Bank Bureau","05A - Appropriation","8910227","8910227","8887883"
"2016-0019-P55-213FB01-05A","2016","Administration and Regulation","Iowa Division of Banking (Commerce)","0019 - Commerce Revolving Fund","P55 - Banking Division Commerce Fund","213FB01","Finance Bureau","05A - Appropriation","757008","757008","779352"
