"budget_line_code","fiscal_year","function","dept_name","fund","appropriation","budget_unit_code","budget_unit","object_class","gov_recommendation","dept_request","adopted_budget"
"2012-0433-0I18-2650029-05A","2012","Capital","Cultural Affairs Capital","0433 - Revenue Bonds Capitals Fund","0I18 - Great Places","2650029","Great Places","05A - Appropriation","0","2000000","0"
"2015-0017-IM8-2650025-05A","2015","Capital","Cultural Affairs Capital","0017 - Rebuild Iowa Infrastructure Fund","IM8 - 25th Anniversary Museum Renovation","2650025","25th Anniversary Museum Renovation","05A - Appropriation","0","21200000","0"
"2015-0017-IM8-2650025-05P","2015","Capital","Cultural Affairs Capital","0017 - Rebuild Iowa Infrastructure Fund","IM8 - 25th Anniversary Museum Renovation","2650025","25th Anniversary Museum Renovation","05P - Previously Enacted Appropriation","3800000","3800000","0"
"2016-0017-IM9-2650050-05A","2016","Capital","Cultural Affairs Capital","0017 - Rebuild Iowa Infrastructure Fund","IM9 - Historical Building Renovation","2650050","Historical Building Renovation","05A - Appropriation","8630000","0","0"
"2016-0017-IN3-2650031-05A","2016","Capital","Cultural Affairs Capital","0017 - Rebuild Iowa Infrastructure Fund","IN3 - Strengthen Community Grants","2650031","Strengthen Comm Grants","05A - Appropriation","0","0","500000"
"2016-0017-IN4-2650032-05A","2016","Capital","Cultural Affairs Capital","0017 - Rebuild Iowa Infrastructure Fund","IN4 - Civil War Memorial","2650032","Civil War Memorial","05A - Appropriation","0","0","150000"
"2016-0017-IN5-2650033-05A","2016","Capital","Cultural Affairs Capital","0017 - Rebuild Iowa Infrastructure Fund","IN5 - Vet Memorial Drakesville","2650033","Vet Memorial Drakesville","05A - Appropriation","0","0","12000"
"2017-0017-IM9-2650050-05A","2017","Capital","Cultural Affairs Capital","0017 - Rebuild Iowa Infrastructure Fund","IM9 - Historical Building Renovation","2650050","Historical Building Renovation","05A - Appropriation","7762353","9000000",
"2018-0017-IM9-2650050-05A","2018","Capital","Cultural Affairs Capital","0017 - Rebuild Iowa Infrastructure Fund","IM9 - Historical Building Renovation","2650050","Historical Building Renovation","05A - Appropriation","5000000","7994320","1000000"
"2019-0017-IM9-2650050-05A","2019","Capital","Cultural Affairs Capital","0017 - Rebuild Iowa Infrastructure Fund","IM9 - Historical Building Renovation","2650050","Historical Building Renovation","05A - Appropriation","6489763","11496067",
"2019-0017-Z02-2650051-05A","2019","Capital","Cultural Affairs Capital","0017 - Rebuild Iowa Infrastructure Fund","Z02 - Collections Storage Infrastructure","2650051","Collections Storage Infrastructure","05A - Appropriation","1500000",,
"2020-0017-IM9-2650050-05A","2020","Capital","Cultural Affairs Capital","0017 - Rebuild Iowa Infrastructure Fund","IM9 - Historical Building Renovation","2650050","Historical Building Renovation","05A - Appropriation","13700000","28444766",
"2021-0017-IM9-2650050-05A","2021","Capital","Cultural Affairs Capital","0017 - Rebuild Iowa Infrastructure Fund","IM9 - Historical Building Renovation","2650050","Historical Building Renovation","05A - Appropriation","0","13700000","0"
"2022-0017-IM9-2650050-05A","2022","Capital","Cultural Affairs Capital","0017 - Rebuild Iowa Infrastructure Fund","IM9 - Historical Building Renovation","2650050","Historical Building Renovation","05A - Appropriation","0","13700000",
"2023-0017-IM9-2650050-05A","2023","Capital","Cultural Affairs Capital","0017 - Rebuild Iowa Infrastructure Fund","IM9 - Historical Building Renovation","2650050","Historical Building Renovation","05A - Appropriation","0","13700000","0"
